rollout/ep_rew_mean,custom/mean_confidence,time/time_elapsed,custom/mean_entropy,time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,custom/images_selected,train/approx_kl,train/clip_fraction,train/value_loss,train/loss,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
130.0250191618673,0.597768863721285,141,0.7576662060746457,1,500.0,14,2048,417,,,,,,,,,,,,
244.45321180652186,0.5977941876044497,284,0.7526269160262018,2,1012.0,14,4096,776,0.060757503,0.258544921875,1.9764902845374308,0.8837528824806213,-0.3175466961445636,0.5910013914108276,0.0001,0.2,0.01378586893551983,10,,
59.092476570667216,0.600438834372021,426,0.7531291626748584,3,197.75,14,6144,202,0.030658726,0.21796875,1.1494657569099218,0.7589938044548035,-0.49033916792832316,0.17052477598190308,0.0001,0.2,-0.012333284154010471,20,,
212.38668486685606,0.59920936356456,567,0.7578020168679903,4,709.75,14,8192,691,0.05474732,0.141259765625,2.1014585554308725,1.565260410308838,-0.3923660350847058,-1.4481055736541748,0.0001,0.2,-0.004647243231738684,30,,
37.30984317150923,0.6022428183232323,706,0.7287238513009023,5,118.25,14,10240,118,0.0069344738,0.03056640625,1.7954995652195067,2.509462356567383,-0.15899254127725726,-0.0073359012603759766,0.0001,0.2,-5.721457782783546e-05,40,,
195.88386008931073,0.5974359182611344,845,0.745123578832736,6,630.25,14,12288,626,0.038439043,0.12646484375,2.0502349388902075,0.8309223651885986,-0.3784573105047457,0.8869377374649048,0.0001,0.2,-0.007891022766852985,50,,
42.546028798662476,0.5631803221172756,982,0.723889171856421,7,138.75,14,14336,135,0.0015936035,0.00361328125,2.2134104175958784,0.6099739074707031,-0.024053598204409353,0.7003974914550781,0.0001,0.2,0.0015242493256664603,60,,
204.2323155224848,0.5817408446550738,1118,0.7467048953084341,8,650.75,14,16384,647,0.030434867,0.040966796875,2.677860200149007,2.5038459300994873,-0.21451155418180862,0.9367622137069702,0.0001,0.2,-0.003919153905735584,70,,
56.89387346150329,0.5970343331821629,1254,0.7403159957440173,9,180.5,14,18432,183,1.9111845e-05,0.000341796875,3.480891709588468,0.8878157734870911,-0.0003000575818848716,0.14573454856872559,0.0001,0.2,-0.00017327720488538034,80,,
,0.5919896765037697,,0.7482942720219649,,,,20000,574,0.004233485,0.006396484375,4.243414776836289,0.9571760892868042,-0.14881416940188502,0.8833478093147278,0.0001,0.2,-8.344695961568505e-05,90,294.41455078125,945.0
33.74979755843381,0.5870980655153593,1865,0.7634332605948051,10,108.0,10,20480,120,,,,,,,,,,,,
194.1053560838061,0.5801549853780602,1998,0.76475405737852,11,620.0,11,22528,632,0.0,0.0,4.941549385059625,1.4253933429718018,-6.861879449615582e-06,-0.13169729709625244,0.0001,0.2,2.9721923056058584e-08,100,,
50.55934411706996,0.5980534977034518,2131,0.772838002059892,12,160.25,11,24576,171,0.0,0.0,4.293812880932819,3.4875402450561523,-2.5659573398617574e-05,0.08495205640792847,0.0001,0.2,6.546906661242246e-09,110,,
209.53904420293864,0.6030021304616467,2265,0.7524196260975534,13,672.25,11,26624,683,0.001340006,0.010498046875,3.750904545001686,0.32748472690582275,-0.13240777063874704,0.9372912645339966,0.0001,0.2,0.0012101618252927438,120,,
62.59928020081128,0.6172447395489512,2397,0.7344304555984137,14,205.25,11,28672,217,0.0,0.0,4.33198879333213,0.13764961063861847,-4.5285055860699866e-05,-0.7926263809204102,0.0001,0.2,9.983050404116511e-07,130,,
221.9706953521459,0.608558124352875,2531,0.7417650827614205,15,717.25,12,30720,729,1.6252146e-05,0.010693359375,4.790378114709165,2.5201897621154785,-0.11296917690719965,0.970470666885376,0.0001,0.2,5.813626848976128e-05,140,,
81.40098021049252,0.6003098303416989,2664,0.7637595285784523,16,258.75,12,32768,265,2.2700988e-09,0.0,3.194673605938442,0.46870186924934387,-0.00020085271219882905,-0.022716403007507324,0.0001,0.2,-3.995366569142789e-07,150,,
239.2776299404211,0.6023690957897265,2797,0.7544839546285771,17,770.75,12,34816,777,0.015987549,0.010009765625,3.0781890458776617,0.891770601272583,-0.13276634147587174,0.9823479056358337,0.0001,0.2,0.0006670848961221054,160,,
95.07329004688899,0.6124026843264133,2929,0.7369902996888643,18,309.25,12,36864,316,3.980822e-07,0.0,3.0444196258205922,1.869602918624878,-0.003707186583966404,-0.4912874698638916,0.0001,0.2,-3.701100940816105e-05,170,,
252.16220933638036,0.6067228511623715,3062,0.74685504236641,19,821.25,12,38912,813,0.021764519,0.0248046875,3.4222002486465497,1.5616843700408936,-0.17116118325950608,0.9744794964790344,0.0001,0.2,0.0004375365999294445,180,,
,0.5501943833856697,,0.7619169103093895,,,,40000,83,0.015035348,0.023779296875,1.8604414252447896,0.16292411088943481,-0.060014677881190436,0.60616534948349,0.0001,0.2,0.0014564458586391992,190,293.59332275390625,945.0
74.15122370743691,0.5692997383574645,3664,0.7769816529005766,20,228.0,11,40960,240,,,,,,,,,,,,
232.84318164602618,0.5880761541663966,3797,0.7503091394604045,21,740.0,11,43008,752,0.00062203367,0.00146484375,3.796784126304556,1.1295530796051025,-0.1850986754880914,0.9946255087852478,0.0001,0.2,-0.0011037538890377619,200,,
83.22082936839004,0.5812895530868175,3929,0.7430262475618324,22,266.75,11,45056,279,0.0004227615,0.000390625,2.4268120513879694,1.097814679145813,-0.0042969745186496764,0.8451995253562927,0.0001,0.2,-0.00048295184242306275,210,,
