time/total_timesteps,time/fps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,custom/mean_entropy,rollout/ep_len_mean,custom/images_selected,custom/mean_confidence,train/explained_variance,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
80000,,,,,0.7181682716177397,,191,0.6093039016449014,0.9943568110466003,0.0011988806,390,-4.775277557200752e-05,1.4266555683745537,0.0001,0.006689453125,-0.03847213082697927,1.408571720123291,0.2,286.8206481933594,946.0
81920,11,40,7173,140.94786521820302,0.7438775963770846,468.0,480,0.6076397119089961,,,,,,,,,,,,
83968,11,41,7304,7.929416241684206,0.7700141660678081,26.75,39,0.6079119619650718,0.7267181277275085,0.0,400,1.1932570487260817e-10,2.760491403983906,0.0001,0.0,-1.032348416068143e-24,1.926279902458191,0.2,,
86016,11,42,7435,167.17002578843335,0.7421530494618546,538.75,551,0.6057001248461797,0.9956020712852478,0.0004467065,410,-0.00018610324841574765,1.1845582147536333,0.0001,0.001904296875,-0.03126118422305404,0.6326035857200623,0.2,,
88064,11,43,7566,28.637155619091992,0.7677638928551193,95.75,109,0.635940691746703,0.25241392850875854,0.0,420,-1.5497789718210698e-10,1.2710028686327859,0.0001,0.0,-5.518409977045591e-25,0.6467906832695007,0.2,,
90112,11,44,7697,183.46407353592286,0.7486455131700074,607.75,621,0.6058636011132872,0.9931438565254211,0.0007220647,430,-0.0005250712097222276,1.6848507147748024,0.0001,0.00380859375,-0.027772163243235892,0.5397680401802063,0.2,,
92160,11,45,7828,50.688803079684924,0.7398975200828959,169.75,183,0.6058783939953059,0.4766620397567749,0.0,440,-4.4165062718093397e-10,2.075577059062198,0.0001,0.0,-1.4262480617826588e-24,0.39488089084625244,0.2,,
94208,11,46,7959,208.09217962406376,0.7374223685414671,681.75,695,0.6052449051853565,0.9958469271659851,0.00061138114,450,-0.0005683859453711193,2.195122091041412,0.0001,0.002392578125,-0.019058251782115197,0.17427301406860352,0.2,,
96256,11,47,8090,74.50301252347163,0.7516717854742856,242.5,258,0.5949290838352469,0.10546499490737915,0.0,460,8.833012543618679e-10,1.1723019228724296,0.0001,0.0,-2.8544864699967115e-24,0.7000565528869629,0.2,,
98304,11,48,8222,232.80385855072655,0.7532319117095563,754.5,770,0.6033257872640313,0.9933077096939087,4.68528e-06,470,-2.3537882952950896e-06,1.9742156959429848,0.0001,0.0,-0.01959391722049431,0.7224012017250061,0.2,,
100000,,,,,0.7539387063916064,,242,0.5959387531211554,0.4424327611923218,0.0,480,-6.439222488552332e-10,0.9939517670427449,0.0001,0.0,-1.4086801243207472e-18,0.18968108296394348,0.2,288.0561218261719,946.0
100352,11,49,8814,24.369321041591597,0.7667866179888899,76.0,88,0.5992196605286815,,,,,,,,,,,,
