rollout/ep_len_mean,time/fps,custom/mean_confidence,time/iterations,time/time_elapsed,custom/mean_entropy,custom/images_selected,time/total_timesteps,rollout/ep_rew_mean,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/loss,train/value_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
500.0,14,0.5991271527600475,1,142,0.7396423164755106,417,2048,125.13026718379811,,,,,,,,,,,,
1012.0,14,0.6075235406460706,2,288,0.7449172962660668,764,4096,235.3414370913159,0.2,0.5866944789886475,0.432470703125,10,0.4341011941432953,1.733263146376703,0.0001,0.27586132,0.028881297577027,-0.21180276096984016,,
194.75,14,0.61470546315356,3,433,0.7388696451739567,201,6144,57.58559255293488,0.2,0.2898957133293152,0.281103515625,20,0.3198884427547455,1.1766988719231448,0.0001,0.030683856,-0.017818744709074963,-0.5049616989679635,,
706.75,14,0.5947514451946674,4,577,0.7449288830846922,700,8192,208.64949397317886,0.2,0.003449678421020508,0.08720703125,30,2.163830280303955,2.420624545356259,0.0001,0.022241855,-0.0034112289620679805,-0.3839474637294188,,
150.5,14,0.6018796640121384,5,719,0.7411463683014674,151,10240,44.82268750622525,0.2,-0.17188453674316406,0.019189453125,40,0.6089058518409729,2.376990419765934,0.0001,0.0015514978,0.004550231843677466,-0.14419736319832738,,
662.5,14,0.594042401328166,6,860,0.7438184739867306,662,12288,202.24769920197642,0.2,0.5115785598754883,0.106201171875,50,0.31078916788101196,2.6499683992704375,0.0001,0.03680688,-0.004502805734227877,-0.2978301061084494,,
126.25,14,0.5835562606807798,7,1001,0.7599134785123169,128,14336,38.53850838992234,0.2,-0.06854617595672607,0.030859375,60,2.142925262451172,2.3821423819172196,0.0001,0.117731586,0.0018541507168265525,-0.16322039496353682,,
638.25,14,0.6004316079430282,8,1140,0.7413345259148627,640,16384,194.91975639449132,0.2,0.8563327789306641,0.10703125,70,0.40156304836273193,2.604813525703503,0.0001,0.03813232,-0.006584105074580293,-0.33858436063164843,,
80.5,14,0.5943855679035187,9,1280,0.7783411163091659,100,18432,25.6593498434932,0.2,-0.4627058506011963,0.00478515625,80,0.19638624787330627,3.034039961686358,0.0001,0.0068508713,0.00491581429814687,-0.07441087074475945,,
,,0.6115671705204212,,,0.7548592760703714,491,20000,,0.2,0.9109989404678345,0.111767578125,90,0.5516104698181152,2.2898247480625287,0.0001,0.013240283,-0.005795548811147455,-0.3571404415299185,946.0,288.8360290527344
108.0,10,0.6244232676923275,10,1903,0.742027540008227,120,20480,33.7859986215281,,,,,,,,,,,,
620.0,11,0.6131012026173405,11,2041,0.7476508020883119,628,22528,190.92586517179126,0.2,-0.8907167911529541,0.00234375,100,0.8911828994750977,3.968403440399561,0.0001,0.0010797076,0.0019317744627187494,-0.026534718040966253,,
151.0,11,0.6292087861985871,12,2179,0.728220654166106,165,24576,45.877288428170786,0.2,0.028058767318725586,0.005126953125,110,1.3376785516738892,3.7211309283971787,0.0001,0.02520958,0.0009555025018926245,-0.0022700211256619696,,
663.0,11,0.6048615538299171,13,2316,0.7477951998680697,677,26624,201.6466962245144,0.2,0.9591109752655029,0.00537109375,120,0.266947865486145,3.3428156581823716,0.0001,0.0001779236,0.00038215564600250216,-0.15652209251056776,,
179.25,11,0.6254874053272871,14,2454,0.7107689390235609,202,28672,53.572972775209436,0.2,0.312982439994812,0.0,130,1.0985029935836792,3.876886010100134,0.0001,3.929017e-09,-1.7446036508772523e-07,-0.0010592476003296269,,
691.25,11,0.6055318172655854,15,2590,0.7449082750774899,714,30720,214.92293233297346,0.2,0.9792594909667969,0.016162109375,140,0.44387510418891907,2.71475598179386,0.0001,0.002431493,-0.0022925047305761836,-0.16899112634491759,,
226.0,12,0.6027752047777176,16,2727,0.7400005343854428,250,32768,67.707316999622,0.2,0.562614917755127,0.0,150,4.9359612464904785,2.6886087644961663,0.0001,0.0,-4.20826836489141e-08,-0.000398283837287039,,
