epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1576.73,2.36782,3.75125,2.16559,0.44118,0.05571,0.03357,0.01606,2.13178,3.24994,2.01361,0.067009,0.000333242,0.000333242
2,3173.59,1.85433,3.05935,1.81652,0.28503,0.11626,0.07372,0.04122,1.78208,2.69826,1.77228,0.0340083,0.000665925,0.000665925
3,4892.36,1.70378,2.77771,1.71179,0.26808,0.16286,0.11773,0.06895,1.63299,2.40037,1.65535,0.0010051,0.000996006,0.000996006
4,6560.33,1.61098,2.56695,1.64691,0.32701,0.19077,0.14774,0.08894,1.54218,2.1971,1.59311,0.000991232,0.000991232,0.000991232
5,8136.11,1.54776,2.42701,1.60173,0.32338,0.22232,0.18677,0.11397,1.49644,2.0694,1.56866,0.000984449,0.000984449,0.000984449
6,9617.17,1.49951,2.32268,1.56939,0.34262,0.24054,0.20811,0.1306,1.44269,1.99452,1.51668,0.000975773,0.000975773,0.000975773
7,11097,1.46553,2.23215,1.54232,0.40879,0.24887,0.23164,0.14806,1.40457,1.88829,1.48914,0.000965239,0.000965239,0.000965239
8,12578.2,1.43212,2.13733,1.5158,0.40374,0.26535,0.24771,0.15977,1.37003,1.8281,1.46493,0.000952889,0.000952889,0.000952889
9,14057.1,1.41049,2.09097,1.50135,0.39908,0.28544,0.26737,0.17413,1.33705,1.76856,1.44827,0.000938772,0.000938772,0.000938772
10,15537.7,1.3841,2.01567,1.48064,0.43946,0.28621,0.28336,0.1857,1.31535,1.70761,1.42752,0.000922942,0.000922942,0.000922942
11,17016.2,1.36612,1.96557,1.46709,0.4343,0.30065,0.29468,0.19416,1.29511,1.66053,1.41484,0.000905463,0.000905463,0.000905463
12,18497.5,1.34822,1.9232,1.45668,0.44675,0.31762,0.30797,0.20502,1.27555,1.62195,1.39997,0.000886404,0.000886404,0.000886404
13,19982.2,1.33098,1.88732,1.44446,0.4371,0.32228,0.31841,0.21281,1.25865,1.58898,1.38487,0.000865839,0.000865839,0.000865839
14,21461.1,1.31047,1.83656,1.43128,0.45911,0.33129,0.33306,0.22378,1.24028,1.55237,1.3704,0.000843851,0.000843851,0.000843851
15,22940.8,1.29922,1.80099,1.41658,0.48435,0.33327,0.34303,0.23179,1.22782,1.51975,1.36012,0.000820525,0.000820525,0.000820525
16,24421.2,1.28238,1.76952,1.41162,0.46794,0.3481,0.35148,0.23773,1.21656,1.4938,1.35339,0.000795954,0.000795954,0.000795954
17,25904.2,1.27092,1.73667,1.40256,0.49339,0.34665,0.36035,0.24526,1.20798,1.4714,1.34752,0.000770234,0.000770234,0.000770234
18,27384,1.25789,1.70906,1.39325,0.5103,0.3541,0.36876,0.25117,1.19887,1.45181,1.3417,0.000743468,0.000743468,0.000743468
19,28863.7,1.24708,1.6768,1.38401,0.50439,0.35826,0.3759,0.25712,1.18832,1.43275,1.33343,0.000715761,0.000715761,0.000715761
20,30341.8,1.23561,1.65259,1.37478,0.51107,0.364,0.38362,0.26343,1.17879,1.41247,1.32505,0.000687222,0.000687222,0.000687222
21,31821.5,1.22486,1.62097,1.36501,0.50365,0.37776,0.38957,0.26681,1.17132,1.39636,1.32185,0.000657963,0.000657963,0.000657963
22,33355,1.21798,1.59798,1.36027,0.50665,0.38323,0.39322,0.27054,1.16575,1.38157,1.31634,0.000628101,0.000628101,0.000628101
23,34925.2,1.20175,1.56411,1.35375,0.51181,0.38403,0.39919,0.27522,1.15982,1.36966,1.31285,0.000597754,0.000597754,0.000597754
24,36442,1.19617,1.55056,1.34526,0.52508,0.38465,0.40396,0.27847,1.15391,1.35735,1.30698,0.00056704,0.00056704,0.00056704
25,37955.4,1.18639,1.52235,1.33794,0.52519,0.39007,0.40801,0.28122,1.14899,1.34781,1.30282,0.000536081,0.000536081,0.000536081
26,39476.4,1.17868,1.50229,1.33055,0.52059,0.39593,0.4107,0.28367,1.14594,1.33983,1.30051,0.000505,0.000505,0.000505
27,40980.7,1.16642,1.47682,1.32477,0.52557,0.3974,0.41463,0.28685,1.14223,1.33142,1.29835,0.000473919,0.000473919,0.000473919
28,42474.8,1.15735,1.46189,1.31884,0.51785,0.40558,0.41764,0.28964,1.13788,1.32367,1.29486,0.00044296,0.00044296,0.00044296
29,43984.3,1.15307,1.44289,1.31329,0.52578,0.40723,0.42061,0.29195,1.13436,1.31642,1.29214,0.000412246,0.000412246,0.000412246
30,45480.8,1.14181,1.41438,1.30501,0.53051,0.40834,0.42269,0.29322,1.1322,1.31098,1.29011,0.000381899,0.000381899,0.000381899
31,46982.9,1.13455,1.40318,1.29953,0.53582,0.40912,0.42494,0.29478,1.13055,1.30561,1.28848,0.000352037,0.000352037,0.000352037
32,48463.6,1.12839,1.38318,1.29658,0.53868,0.41071,0.42797,0.29667,1.12838,1.30036,1.28703,0.000322778,0.000322778,0.000322778
