epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1758.02,2.34934,3.72136,2.1522,0.43107,0.05722,0.03646,0.01867,2.00802,3.10351,1.9901,0.067008,0.000333253,0.000333253
2,3437.04,1.83384,3.05883,1.8105,0.31806,0.11258,0.07417,0.04101,1.74709,2.67882,1.74655,0.0340073,0.000665935,0.000665935
3,5095.01,1.68984,2.78227,1.70627,0.31768,0.16949,0.1189,0.06928,1.60229,2.35903,1.64024,0.00100406,0.000996017,0.000996017
4,6761.38,1.59356,2.57259,1.63839,0.30462,0.19222,0.15177,0.09306,1.53858,2.20526,1.58734,0.000991232,0.000991232,0.000991232
5,8429.64,1.53012,2.42866,1.59568,0.36474,0.22127,0.18832,0.11569,1.46615,2.03199,1.53434,0.000984449,0.000984449,0.000984449
6,10097.2,1.48591,2.31358,1.56006,0.37923,0.24773,0.21352,0.13527,1.41008,1.92237,1.4963,0.000975773,0.000975773,0.000975773
7,11767.1,1.45237,2.21628,1.53531,0.38668,0.26426,0.24031,0.15317,1.37803,1.8479,1.47436,0.000965239,0.000965239,0.000965239
8,13434.5,1.42765,2.14598,1.5149,0.37435,0.2804,0.2587,0.1672,1.34457,1.77971,1.44956,0.000952889,0.000952889,0.000952889
9,15104.3,1.39658,2.08051,1.49405,0.42069,0.28989,0.27782,0.1816,1.31414,1.71571,1.42768,0.000938772,0.000938772,0.000938772
10,16770.9,1.37561,2.02916,1.47701,0.41723,0.30206,0.29189,0.19246,1.29154,1.67163,1.4082,0.000922942,0.000922942,0.000922942
11,18438.6,1.35589,1.973,1.46418,0.44668,0.31237,0.31062,0.20557,1.27073,1.62108,1.3965,0.000905463,0.000905463,0.000905463
12,20141,1.33637,1.92436,1.45132,0.44858,0.32267,0.31958,0.213,1.25624,1.58253,1.38639,0.000886404,0.000886404,0.000886404
13,21907.4,1.3206,1.88624,1.43888,0.45756,0.32979,0.33226,0.22203,1.23806,1.54772,1.37083,0.000865839,0.000865839,0.000865839
14,23671.6,1.30589,1.85304,1.43098,0.48264,0.33522,0.34261,0.23044,1.22383,1.514,1.36057,0.000843851,0.000843851,0.000843851
15,25435.1,1.29362,1.80886,1.41931,0.48534,0.34333,0.3544,0.23901,1.2126,1.48623,1.35548,0.000820525,0.000820525,0.000820525
16,27171.9,1.27762,1.77765,1.40639,0.48751,0.35715,0.36223,0.24415,1.19962,1.4619,1.34447,0.000795954,0.000795954,0.000795954
17,28912.8,1.26567,1.74541,1.39787,0.48002,0.36139,0.36959,0.25023,1.18834,1.43593,1.33463,0.000770234,0.000770234,0.000770234
18,30643.9,1.25461,1.71728,1.39119,0.4851,0.36808,0.37601,0.25634,1.18001,1.419,1.32852,0.000743468,0.000743468,0.000743468
19,32382.5,1.24316,1.69081,1.38248,0.49243,0.3758,0.38317,0.26141,1.17217,1.40211,1.32333,0.000715761,0.000715761,0.000715761
20,34149.2,1.22944,1.65358,1.37128,0.50711,0.3761,0.38945,0.26622,1.16564,1.38463,1.31758,0.000687222,0.000687222,0.000687222
21,35889.5,1.22206,1.6348,1.36459,0.50757,0.38255,0.39443,0.2705,1.15815,1.36947,1.3115,0.000657963,0.000657963,0.000657963
