epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1636.26,2.37053,3.73534,2.18194,0.56342,0.04145,0.02824,0.01384,2.18046,3.37478,2.04232,0.0670087,0.000333245,0.000333245
2,3204.95,1.84644,3.05715,1.82545,0.28659,0.12124,0.07455,0.0416,1.78704,2.65633,1.76175,0.0340081,0.000665928,0.000665928
3,4747.59,1.70889,2.78119,1.72339,0.32211,0.15447,0.11578,0.06805,1.63919,2.39169,1.67744,0.00100482,0.000996009,0.000996009
4,6286.79,1.6127,2.57104,1.65833,0.30649,0.19027,0.14892,0.08867,1.54157,2.20457,1.60569,0.000991232,0.000991232,0.000991232
5,7827.45,1.54581,2.43366,1.61431,0.36492,0.22035,0.1812,0.11224,1.48781,2.06099,1.55674,0.000984449,0.000984449,0.000984449
6,9365.21,1.4987,2.31681,1.57742,0.36344,0.23254,0.20787,0.12985,1.43405,1.96834,1.5254,0.000975773,0.000975773,0.000975773
7,10903.6,1.46422,2.22717,1.55096,0.36066,0.25304,0.2287,0.14691,1.39789,1.87222,1.49759,0.000965239,0.000965239,0.000965239
8,12438.2,1.43503,2.14628,1.52806,0.37223,0.26342,0.24339,0.15682,1.36471,1.82703,1.4622,0.000952889,0.000952889,0.000952889
9,13977.3,1.4138,2.09866,1.51039,0.42347,0.27951,0.2684,0.17541,1.3401,1.75306,1.44815,0.000938772,0.000938772,0.000938772
10,15511.8,1.38498,2.02485,1.49246,0.42468,0.28824,0.27989,0.18279,1.32254,1.70496,1.43694,0.000922942,0.000922942,0.000922942
11,17048.6,1.36312,1.97895,1.47792,0.43918,0.30007,0.29761,0.19611,1.29515,1.65551,1.42078,0.000905463,0.000905463,0.000905463
12,18585.4,1.34532,1.92652,1.46323,0.44738,0.3102,0.30666,0.20435,1.27516,1.61979,1.403,0.000886404,0.000886404,0.000886404
13,20123.1,1.32922,1.8851,1.45278,0.46613,0.31744,0.32127,0.21403,1.25862,1.57608,1.39254,0.000865839,0.000865839,0.000865839
14,21663.2,1.31272,1.84316,1.43802,0.46218,0.3355,0.33323,0.22403,1.2423,1.54808,1.3806,0.000843851,0.000843851,0.000843851
