epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1652.14,2.38652,3.76605,2.21024,0.39955,0.04137,0.02806,0.0136,2.13127,3.20329,2.01905,0.067009,0.000333243,0.000333243
2,3231.35,1.86459,3.11239,1.84456,0.34549,0.10503,0.06918,0.03866,1.77669,2.68359,1.78484,0.0340083,0.000665925,0.000665925
3,4801.23,1.71337,2.83532,1.7431,0.28695,0.15747,0.10442,0.06014,1.6393,2.43042,1.69816,0.00100508,0.000996006,0.000996006
4,6362.76,1.62409,2.64201,1.67496,0.2942,0.18509,0.13703,0.08164,1.56005,2.22857,1.61387,0.000991232,0.000991232,0.000991232
5,7918.7,1.55854,2.50184,1.62964,0.32399,0.20607,0.16784,0.1016,1.50164,2.11299,1.5748,0.000984449,0.000984449,0.000984449
6,9483.85,1.51433,2.38685,1.59148,0.33882,0.23315,0.19266,0.11915,1.45077,2.01517,1.53676,0.000975773,0.000975773,0.000975773
7,11040,1.47556,2.29962,1.56576,0.36075,0.24635,0.21296,0.1344,1.40877,1.92935,1.50546,0.000965239,0.000965239,0.000965239
8,12604.5,1.43864,2.21601,1.53673,0.37003,0.25697,0.23048,0.14605,1.37163,1.86194,1.48452,0.000952889,0.000952889,0.000952889
9,14172.9,1.42114,2.15826,1.52353,0.40481,0.26829,0.25047,0.16158,1.34453,1.79952,1.45948,0.000938772,0.000938772,0.000938772
10,15742.7,1.39513,2.09266,1.4999,0.3961,0.28586,0.26715,0.17483,1.3151,1.74265,1.43704,0.000922942,0.000922942,0.000922942
11,17307.6,1.37943,2.05207,1.48979,0.40429,0.3002,0.28197,0.18438,1.30184,1.69808,1.42439,0.000905463,0.000905463,0.000905463
12,18876.5,1.35926,1.99669,1.47195,0.42452,0.31117,0.29658,0.19523,1.28126,1.65566,1.41378,0.000886404,0.000886404,0.000886404
13,20441.4,1.33921,1.95581,1.46238,0.43823,0.31648,0.30541,0.20248,1.26296,1.61833,1.39458,0.000865839,0.000865839,0.000865839
14,22008,1.32677,1.91175,1.45124,0.44675,0.33026,0.32377,0.21623,1.2521,1.57678,1.38758,0.000843851,0.000843851,0.000843851
15,23584,1.315,1.8806,1.44205,0.4606,0.33225,0.33286,0.22301,1.23462,1.54776,1.3768,0.000820525,0.000820525,0.000820525
16,25155.5,1.30102,1.83943,1.434,0.45959,0.33546,0.33925,0.22768,1.22407,1.52564,1.36747,0.000795954,0.000795954,0.000795954
17,26723.1,1.28848,1.80323,1.42174,0.46659,0.35771,0.35042,0.23602,1.2127,1.49859,1.35895,0.000770234,0.000770234,0.000770234
18,28293.8,1.27714,1.77052,1.41137,0.47111,0.36253,0.35844,0.24136,1.20258,1.47461,1.35037,0.000743468,0.000743468,0.000743468
19,29865.9,1.26137,1.75075,1.4013,0.46894,0.36513,0.36329,0.2463,1.19368,1.45436,1.34525,0.000715761,0.000715761,0.000715761
20,31436.8,1.24529,1.71798,1.39242,0.48725,0.36395,0.37181,0.25213,1.18587,1.43537,1.33965,0.000687222,0.000687222,0.000687222
21,33007.2,1.24341,1.68851,1.38576,0.49292,0.37107,0.37767,0.25725,1.17927,1.41941,1.33486,0.000657963,0.000657963,0.000657963
22,34578,1.23232,1.66247,1.38082,0.50658,0.37183,0.38247,0.2614,1.17021,1.40521,1.32898,0.000628101,0.000628101,0.000628101
23,36148.3,1.21913,1.63989,1.3708,0.50749,0.37567,0.38749,0.26573,1.16435,1.3912,1.32437,0.000597754,0.000597754,0.000597754
24,37712.8,1.21042,1.62294,1.36906,0.52447,0.37707,0.39223,0.26892,1.15931,1.3789,1.32028,0.00056704,0.00056704,0.00056704
25,39281.6,1.19982,1.59118,1.35939,0.52814,0.38329,0.39731,0.2731,1.15571,1.36871,1.31701,0.000536081,0.000536081,0.000536081
26,40846.1,1.18901,1.56725,1.34939,0.5285,0.38693,0.40191,0.27608,1.15373,1.35917,1.31507,0.000505,0.000505,0.000505
27,42416,1.18656,1.54967,1.34502,0.5312,0.38476,0.40582,0.27884,1.1511,1.34964,1.31326,0.000473919,0.000473919,0.000473919
28,43980.2,1.17928,1.53021,1.34148,0.53625,0.38678,0.40861,0.28115,1.148,1.34105,1.31083,0.00044296,0.00044296,0.00044296
29,45552.8,1.16902,1.50592,1.33358,0.54587,0.38844,0.41086,0.28303,1.14637,1.33532,1.30953,0.000412246,0.000412246,0.000412246
30,47117.8,1.15739,1.48214,1.32536,0.54423,0.39142,0.41329,0.28499,1.14308,1.32857,1.30658,0.000381899,0.000381899,0.000381899
31,48690.5,1.1536,1.46635,1.32375,0.55586,0.39075,0.41574,0.28696,1.14001,1.3227,1.30456,0.000352037,0.000352037,0.000352037
32,50257,1.14407,1.44816,1.31693,0.5508,0.3942,0.41706,0.28802,1.1373,1.31828,1.30225,0.000322778,0.000322778,0.000322778
33,51829.2,1.1355,1.42926,1.31202,0.55458,0.39606,0.41919,0.28943,1.1356,1.31396,1.3006,0.000294239,0.000294239,0.000294239
34,53395.6,1.13263,1.41661,1.30786,0.55524,0.39855,0.42128,0.29078,1.1342,1.30968,1.29928,0.000266532,0.000266532,0.000266532
35,54961.9,1.12178,1.39767,1.30281,0.55624,0.40079,0.42267,0.29186,1.13298,1.30591,1.29811,0.000239766,0.000239766,0.000239766
36,56531.9,1.11961,1.38531,1.29866,0.55167,0.40238,0.4236,0.29292,1.13165,1.30249,1.29728,0.000214046,0.000214046,0.000214046
37,58092.2,1.10842,1.36405,1.29114,0.55011,0.40325,0.42471,0.29394,1.13051,1.2996,1.29633,0.000189475,0.000189475,0.000189475
38,59664.2,1.10641,1.35833,1.29067,0.55105,0.40383,0.42593,0.29474,1.12936,1.2971,1.2954,0.000166149,0.000166149,0.000166149
39,61224.1,1.10491,1.3469,1.28935,0.54257,0.41035,0.42661,0.29538,1.12853,1.2947,1.29483,0.000144161,0.000144161,0.000144161
40,62793.4,1.09755,1.33322,1.28442,0.54174,0.41167,0.42743,0.29605,1.12759,1.29255,1.29408,0.000123596,0.000123596,0.000123596
41,64379.6,1.07092,1.22105,1.2637,0.54837,0.40933,0.42882,0.29705,1.12712,1.29083,1.29381,0.000104537,0.000104537,0.000104537
42,65947.6,1.0587,1.19099,1.2547,0.54791,0.40936,0.42923,0.29778,1.12661,1.289,1.29352,8.70577e-05,8.70577e-05,8.70577e-05
43,67503.4,1.05479,1.18181,1.25265,0.55359,0.40757,0.43015,0.29852,1.12628,1.28714,1.29328,7.12282e-05,7.12282e-05,7.12282e-05
44,69062.8,1.05109,1.17176,1.24712,0.55412,0.40834,0.43098,0.29915,1.12595,1.28556,1.29297,5.71106e-05,5.71106e-05,5.71106e-05
45,70626.1,1.04762,1.161,1.24743,0.55616,0.40773,0.43178,0.29955,1.12553,1.28412,1.29275,4.47606e-05,4.47606e-05,4.47606e-05
46,72192.6,1.04463,1.15898,1.24585,0.5589,0.40907,0.43278,0.29995,1.12525,1.28313,1.29261,3.4227e-05,3.4227e-05,3.4227e-05
47,73753.1,1.04314,1.15059,1.24316,0.56193,0.40892,0.4333,0.30024,1.12536,1.28193,1.29264,2.55513e-05,2.55513e-05,2.55513e-05
48,75309.8,1.0424,1.14603,1.24204,0.56217,0.40929,0.43376,0.30067,1.12511,1.28089,1.29249,1.87678e-05,1.87678e-05,1.87678e-05
49,76869.7,1.04185,1.14487,1.24129,0.56008,0.41119,0.4342,0.30092,1.12493,1.27984,1.29249,1.39032e-05,1.39032e-05,1.39032e-05
50,78439.9,1.03764,1.14316,1.24067,0.56274,0.41076,0.43444,0.30122,1.12492,1.27879,1.29246,1.09768e-05,1.09768e-05,1.09768e-05
