custom/images_selected,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,custom/mean_entropy,custom/mean_confidence,time/fps,train/clip_range,train/clip_fraction,train/loss,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/approx_kl,train/n_updates,train/explained_variance,train/value_loss,eval/mean_reward,eval/mean_ep_length
835,4511,873.75,263.9590558459157,25,51200,0.7431709690008335,0.5959021927353865,11,0.2,0.0017578125,0.8337358236312866,9.710971353342757e-05,0.0001,-0.09453579491777402,0.0012188252,240,0.9948275089263916,2.8228130890987813,,
391,4651,423.0,130.19703870532442,26,53248,0.7438349259631408,0.6072584110147813,11,0.2,0.00400390625,0.5299405455589294,9.566397275193595e-05,0.0001,-0.025560305942033866,0.0010382525,250,0.9881854057312012,1.4733494855521712,,
902,4790,455.0,139.97915541344213,27,55296,0.7539649104755186,0.6053753296864257,11,0.2,0.0021484375,1.0579792261123657,-0.00021445401580422185,0.0001,-0.046097770813375384,0.00028143218,260,0.9920269250869751,1.7662464386434293,,
454,4930,484.75,148.27925312974844,28,57344,0.7569019432273993,0.5978676886810605,11,0.2,0.00302734375,0.17640559375286102,0.00047267523696064017,0.0001,-0.03344696599165563,0.000350904,270,0.9923580884933472,1.4008621569606476,,
3,5064,485.11,148.46338405080894,29,59392,0.8137251734733582,0.5669352610905966,11,0.2,0.0,2.320979356765747,3.7383113522082566e-06,0.0001,-0.034324362222395946,1.8713763e-08,280,0.991117537021637,3.29655050864676,,
154,,,,,60000,0.7617858113213019,0.5940699474765109,,0.2,0.002392578125,0.5531355142593384,0.00020235215015418362,0.0001,-0.06109393349692951,0.00031050318,290,0.9915526509284973,1.7623944184801075,286.8763427734375,964.4
360,5702,361.75,108.32413756525652,30,61440,0.743899850298961,0.6168883748352527,10,,,,,,,,,,,,
872,5840,873.75,264.59043722453845,31,63488,0.7532909040450366,0.6048799842732762,10,0.2,0.0,0.32119497656822205,-5.534334195544943e-06,0.0001,-0.007788537457261331,2.264278e-07,300,0.9659805297851562,6.401047817949438,,
427,5979,428.25,131.24800431667424,32,65536,0.7569353316999989,0.5971922951224816,10,0.2,0.002294921875,0.07201708853244781,-0.00014327008393593131,0.0001,-0.00614076488948753,0.0026486856,310,0.9717934727668762,1.0378706269781106,,
932,6114,738.44,223.220946290592,33,67584,0.7435934528414878,0.6042988745930096,11,0.2,0.00126953125,0.25585058331489563,-0.00018392292986391112,0.0001,-0.05317344608947686,0.0001450551,320,0.9937004446983337,2.000140277785249,,
489,6250,490.25,147.48901993744263,34,69632,0.7350682422732039,0.61728104607703,11,0.2,0.002099609375,0.2066696435213089,0.00014024317133589647,0.0001,-0.043066244592248726,2.736313e-05,330,0.9925837516784668,0.8054690436052624,,
38,6387,38.0,12.026919346357255,35,71680,0.7219378101198297,0.5541504621505737,11,0.2,0.0,0.8031908273696899,-1.9077268007094972e-05,0.0001,-0.01974712158602669,1.7210114e-06,340,0.9878650903701782,1.569892123984755,,
550,6520,550.0,169.0296775920391,36,73728,0.7392514196038246,0.6130708998983556,11,0.2,0.005322265625,0.865489661693573,-0.0003885606187395751,0.0001,-0.06345459972437979,0.00035265007,350,0.9945831894874573,1.1856726361380425,,
101,6654,99.75,30.177215580127164,37,75776,0.7322182543206923,0.625878250539893,11,0.2,0.0,1.2495559453964233,-2.8958311304450033e-10,0.0001,-3.333275050755792e-12,0.0,360,0.3781154751777649,2.8303599063074216,,
613,6790,611.75,185.53140177268156,38,77824,0.7330953062650235,0.6040135283162893,11,0.2,0.00234375,0.3093111515045166,0.00018110090895788743,0.0001,-0.0641750815065869,0.00076341064,370,0.9937244057655334,1.5901698802248574,,
169,6923,166.5,49.65091033529543,39,79872,0.7423684813919857,0.5959779572557415,11,0.2,0.0,1.4631218910217285,-1.2958480510860681e-09,0.0001,-8.354573994765832e-12,0.0,380,0.018683254718780518,1.6424731406208593,,
200,,,,,80000,0.7406583108007908,0.5983325797319412,,0.2,0.0044921875,1.1971019506454468,-0.0010241715048323386,0.0001,-0.06233675012456423,0.0021865158,390,0.9906817078590393,2.5041762106935495,282.70245361328125,945.6
480,7520,469.25,143.58618138363525,40,81920,0.7449016536585986,0.6009596788013974,10,,,,,,,,,,,,
34,7653,36.4,10.980341014166806,41,83968,0.7948784670409035,0.5697653232251897,10,0.2,0.0,0.26453590393066406,6.686605047434569e-10,0.0001,-3.948628843121149e-11,0.0,400,0.05319070816040039,0.5858899256505538,,
546,7785,529.0,162.7866356483363,42,86016,0.7403453936725309,0.6125851762054604,11,0.2,0.006005859375,0.355058878660202,0.0009999447160225828,0.0001,-0.08298115656732677,0.0006047315,410,0.994620680809021,0.954456601163838,,
85,7918,70.0,21.614355348119332,43,88064,0.7196743761791903,0.573190569527009,11,0.2,0.0,0.1531950682401657,2.8085196390748025e-10,0.0001,-1.0676486608656742e-08,0.0,420,0.34931284189224243,2.722216949693393,,
597,8051,582.0,179.9426561622035,44,90112,0.7485831982457708,0.598393044529648,11,0.2,0.009375,0.2503795325756073,0.00022834466362837703,0.0001,-0.08943411023210501,0.00012315181,430,0.9957372546195984,1.0876569197280332,,
142,8186,129.75,39.43914545060119,45,92160,0.7532713543361341,0.6220346563298937,11,0.2,0.0,0.954086184501648,7.676135282963514e-10,0.0001,-2.3798701692002983e-08,0.0,440,0.44576847553253174,1.7868140202655922,,
654,8320,641.75,195.54214211518268,46,94208,0.7440190992634231,0.6024920670628913,11,0.2,0.0072265625,2.319608688354492,0.00023577045576530508,0.0001,-0.08125786927729406,0.0009197438,450,0.9966036677360535,1.5081683765864,,
207,8452,193.0,58.71412832478925,47,96256,0.7427501093938155,0.5994849035129455,11,0.2,0.0,1.0089313983917236,1.021544449031353e-09,0.0001,-6.001408279687469e-08,0.0,460,0.06760472059249878,2.5690136029617863,,
719,8583,705.0,218.50278706829846,48,98304,0.751973238127288,0.6038502986557129,11,0.2,0.0095703125,0.10686524212360382,-0.0004669125963118859,0.0001,-0.0617948505550352,0.0056794975,470,0.9962971210479736,1.6502590903081,,
186,,,,,100000,0.7597192080431087,0.5903206232093996,,0.2,0.0,0.8686391115188599,-5.638867150992155e-10,0.0001,-7.736253450937869e-10,0.0,480,0.6048460006713867,1.5280815624108073,285.57769775390625,945.0
88,9176,76.0,23.234981760507978,49,100352,0.7169194109314545,0.6008936010978438,10,,,,,,,,,,,,
