time/iterations,rollout/ep_rew_mean,custom/images_selected,time/total_timesteps,custom/mean_entropy,rollout/ep_len_mean,time/time_elapsed,custom/mean_confidence,time/fps,train/value_loss,train/entropy_loss,train/clip_fraction,train/approx_kl,train/loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_range,eval/mean_ep_length,eval/mean_reward
21,223.60443841066936,752,43008,0.7380969727193897,740.0,3939,0.6169075157414091,10,2.541930382460123,-0.11307412548819036,0.00361328125,0.00018600923,3.016038417816162,200,0.00035775220858340616,0.0001,0.9926946759223938,0.2,,
22,89.46747560139907,301,45056,0.7454206444496332,284.0,4077,0.6000863221594661,11,1.989553681842517,-0.00015121694777768812,0.0,0.0,0.6748477220535278,210,-8.275310392491519e-07,0.0001,0.7388420701026917,0.2,,
23,244.69948417937138,812,47104,0.7504354321098855,796.0,4214,0.6015351462701444,11,2.660394986462779,-0.10218447201229992,0.00458984375,0.0010330311,0.24310904741287231,220,0.00040156323520932344,0.0001,0.9949439167976379,0.2,,
24,102.74141427323437,350,49152,0.7424651028428759,338.75,4350,0.6093953073876245,11,1.2427699168852997,-0.004451155717527832,0.00068359375,0.0006029821,1.2499785423278809,230,0.0001560202483233297,0.0001,0.8521277904510498,0.2,,
25,257.24791612153274,862,51200,0.7385191374011079,850.75,4487,0.615931240941145,11,3.3382970843929796,-0.08690920527360504,0.004833984375,0.00015579283,1.5488474369049072,240,0.0005020159769628663,0.0001,0.9928074479103088,0.2,,
26,121.73417055740367,418,53248,0.7362999871872259,400.5,4624,0.6038000658510975,11,1.5527915424085221,-0.003857017732044987,0.000537109375,2.5448127e-05,0.7354151010513306,250,-2.3874434555182232e-05,0.0001,0.8985328674316406,0.2,,
27,277.35023166694526,925,55296,0.7468120454139607,912.5,4760,0.605145596272202,11,5.457866137276869,-0.08331783236253106,0.003076171875,1.74702e-05,6.063105583190918,260,0.00034693370544118806,0.0001,0.9927146434783936,0.2,,
28,137.93981537322014,469,57344,0.748559292294641,457.25,4897,0.6218833058500595,11,0.9190653467434459,-0.06316913132415039,0.00673828125,0.0066283466,1.8218581676483154,270,-0.0027487742561788766,0.0001,0.9797414541244507,0.2,,
29,212.78774990143694,7,59392,0.7910700610705784,723.81,5034,0.5900205756936755,11,2.6642388227104674,-0.05629393896192706,0.001025390625,0.0007297511,1.5600847005844116,280,0.0005245671320153634,0.0001,0.987468957901001,0.2,,
,,158,60000,0.7549534372136563,,,0.6140424409244634,,1.0488819592690561,-0.11295831123052266,0.007958984375,0.00041549723,0.26263225078582764,290,0.000325851644447539,0.0001,0.9893094897270203,0.2,946.0,286.7695007324219
30,103.46947956425875,360,61440,0.7456513936734862,348.0,5645,0.6087230257689953,10,,,,,,,,,,,,
31,258.3996483741594,871,63488,0.7341707785348963,860.0,5780,0.6036075835176017,10,2.243682348617585,-0.003348519714969653,0.0,4.170579e-08,3.2992985248565674,300,-1.3497338659362868e-05,0.0001,0.8776796460151672,0.2,,
32,123.79571796193277,416,65536,0.7475440918396299,403.75,5915,0.6043407511539184,11,1.7090601105359382,-0.011276056796228317,0.00439453125,0.0002047861,1.6421641111373901,310,-0.0009280835365643725,0.0001,0.925565242767334,0.2,,
33,271.0244094434805,913,67584,0.7450368933315421,915.75,6050,0.6062897915855564,11,3.729077405750286,-0.10447758691226924,0.011328125,0.003951734,1.0314464569091797,320,-0.0017027052479534177,0.0001,0.9943113923072815,0.2,,
34,131.98447790864503,460,69632,0.7490062045662299,440.5,6185,0.6032576843448307,11,0.9898290771932807,-0.11275140249799734,0.012646484375,0.0008338338,0.09185012429952621,330,0.0018364252460742136,0.0001,0.9888255596160889,0.2,,
35,282.2674433090687,944,71680,0.7524681271939182,952.5,6320,0.6060642741712523,11,1.7249745715875178,-0.07451533686073737,0.000537109375,0.00046166155,0.4933691620826721,340,-0.0008795839989033993,0.0001,0.9953466653823853,0.2,,
36,148.5945095165488,502,73728,0.7674609205696687,481.5,6455,0.5964264048641896,11,0.8334241311938968,-0.08408396982567864,0.02578125,0.001630411,0.38258838653564453,350,-0.0018606643960083602,0.0001,0.9958716630935669,0.2,,
37,73.89029696838415,47,75776,0.7253883823435358,254.41,6589,0.642433191233493,11,1.8789912861713673,-0.02477555700608743,0.0,5.4068223e-06,0.6536935567855835,360,-7.700675851083361e-05,0.0001,0.9897063970565796,0.2,,
38,163.79683116512797,559,77824,0.759525252022982,530.25,6724,0.6093835685142251,11,1.018806521431543,-0.11383614200276497,0.007861328125,0.0018593234,0.5643508434295654,370,0.0003515800621244125,0.0001,0.9954690933227539,0.2,,
39,23.0548650839792,99,79872,0.7520582120526921,75.0,6862,0.6205497880776724,11,3.8876628855941817,-1.281161460958756e-07,0.0,0.0,2.3720409870147705,380,1.0848452802747488e-09,0.0001,0.03059476613998413,0.2,,
,,130,80000,0.7485787932689373,,,0.6085192286051236,,1.8334949315001723,-0.1358320740131603,0.01875,0.010310373,0.6470820307731628,390,0.0013012011993851047,0.0001,0.9944697022438049,0.2,946.0,290.87725830078125
40,144.6742224326018,480,81920,0.7517377632359664,468.0,7478,0.6134036880607406,10,,,,,,,,,,,,
41,258.71933436398893,848,83968,0.7442800606105237,980.0,7617,0.6166357160395672,11,3.3086016959976403,-0.005833923628767934,0.0,0.00012817682,0.09889005124568939,400,-0.000242467565840343,0.0001,0.2809064984321594,0.2,,
42,102.78678888815666,344,86016,0.7338123595008271,347.5,7756,0.5998924301366586,11,0.9535512136411853,-0.45603720426443034,0.160986328125,0.0190421,0.3179051876068115,410,-0.011666481694555841,0.0001,0.9277436137199402,0.2,,
43,246.01921307082114,818,88064,0.745396356760483,859.5,7892,0.6095234439784275,11,2.5953053693927357,-0.21143238472141093,0.0087890625,0.0121975215,1.7800006866455078,420,-0.00165837722379365,0.0001,0.9869813919067383,0.2,,
44,96.13996827162417,308,90112,0.7254339036132608,315.0,8027,0.6117983503968685,11,1.2108943124650977,-0.15793739197833928,0.047802734375,0.0049075177,2.7596702575683594,430,-0.0034997409893549047,0.0001,0.9270261526107788,0.2,,
45,247.63307379707533,813,92160,0.7369688554689652,827.0,8162,0.6118530066638458,11,1.3275170063599944,-0.2211054542671036,0.00361328125,0.0017172106,1.2974035739898682,440,-0.0015200677058601285,0.0001,0.996464192867279,0.2,,
46,103.12988051481088,334,94208,0.7651020510646398,337.75,8297,0.6065855011968555,11,1.3645656561595387,-0.06371437002817401,0.011669921875,0.013204129,0.6662579774856567,450,6.307814837782643e-05,0.0001,0.9590017199516296,0.2,,
47,255.7315222147382,842,96256,0.7494877218742179,849.75,8432,0.608874772739185,11,1.8654542348813266,-0.14888981735024648,0.024169921875,0.0009972883,4.90205192565918,460,-0.0019644942738523243,0.0001,0.9960209131240845,0.2,,
48,113.62990131618888,369,98304,0.7577662573355001,374.0,8566,0.5976513822065782,11,1.3166726167139131,-0.030474687897935837,0.004638671875,0.0007743994,0.4548575282096863,470,-0.00014898252411512657,0.0001,0.9538902044296265,0.2,,
,,792,100000,0.7549365972535629,,,0.6016952742756617,,2.804416773986304,-0.12911458709553789,0.00185546875,0.0004998869,0.8518698215484619,480,-0.0001300820891628973,0.0001,0.9940339922904968,0.2,946.0,287.3095703125
49,23.735137392036687,88,100352,0.7633601562543348,76.0,9170,0.5988445363261483,10,,,,,,,,,,,,
