time/iterations,custom/mean_entropy,custom/mean_confidence,time/time_elapsed,custom/images_selected,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/n_updates,train/explained_variance,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/approx_kl,train/clip_fraction,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
1,0.7529216791299405,0.5997558172675781,140,417,500.0,129.42154845452194,14,2048,,,,,,,,,,,,
2,0.7473977034314885,0.6038644633954391,284,766,1012.0,239.2514891301381,14,4096,10,0.6471714973449707,2.1552976034698075,0.2171497941017151,0.02772563131438801,0.0001,0.2,0.16743165,0.47783203125,-0.1600713455328787,,
3,0.7492059860474024,0.5787677822968899,426,187,186.75,54.48463262381259,14,6144,20,0.18058747053146362,1.0952497208141723,0.33255234360694885,-0.015584122139262035,0.0001,0.2,0.030335348,0.28662109375,-0.4998890641960315,,
4,0.7598993645867668,0.584846887300173,566,679,698.75,210.18028923851335,14,8192,30,-0.09158825874328613,2.2533712818287315,0.4349408447742462,-0.0048043082977528686,0.0001,0.2,0.019284673,0.067578125,-0.417161229706835,,
5,0.7434515074032162,0.5920960859421196,705,109,117.25,35.95245199415894,14,10240,40,-0.5361536741256714,1.844605239329394,1.8205393552780151,0.001061943372042151,0.0001,0.2,0.00081302196,0.02275390625,-0.15653758202970494,,
6,0.7663822791474645,0.5899792783886146,844,620,629.25,192.7468871756033,14,12288,50,0.7759647369384766,2.1257611701264976,1.0352752208709717,-0.00836287588608684,0.0001,0.2,0.038377486,0.1546875,-0.34359436318045483,,
7,0.7692977705396208,0.5645251475778738,982,133,140.25,43.898580127452625,14,14336,60,0.24461454153060913,2.888359148497693,0.7493447661399841,0.00030464421943179334,0.0001,0.2,1.7170067e-05,0.000439453125,-0.010625430245727329,,
8,0.7594755940832371,0.5912857181342073,1119,645,652.25,201.72206378289752,14,16384,70,0.9070121049880981,2.9797830600873567,0.27177655696868896,-0.0032270640273054595,0.0001,0.2,0.0035338043,0.03330078125,-0.2207881283306051,,
9,0.7568053854572261,0.5861778262934071,1255,163,169.5,55.38397397561724,14,18432,80,0.4216238856315613,3.185970282740891,1.2740705013275146,1.3262368156574667e-06,0.0001,0.2,0.0002265563,0.000146484375,-0.00253863461094852,,
,0.7470725137700027,0.599927035856333,,554,,,,20000,90,0.9595856666564941,3.461783458315767,0.30682802200317383,-0.002342607416358078,0.0001,0.2,0.0095392745,0.027978515625,-0.16724258284739335,945.0,292.06304931640625
10,0.7607125985125701,0.6002338754634062,1865,120,108.0,34.40720688103055,10,20480,,,,,,,,,,,,
11,0.7366569639666926,0.584642440599354,1999,632,620.0,191.43757534836914,11,22528,100,0.1519518494606018,5.373222029441967,1.5899443626403809,4.214295768179e-06,0.0001,0.2,2.2118911e-09,0.0,-6.568473271619801e-05,,
12,0.7520170012222869,0.6037703984904856,2134,168,152.5,45.68990084924113,11,24576,110,0.20074129104614258,5.051878459658473,1.355032205581665,-1.0677860700525343e-06,0.0001,0.2,3.5797711e-09,0.0,-0.0002458679257564711,,
13,0.7483371641486883,0.5884156719726674,2266,680,664.5,208.52863063606725,11,26624,120,0.9689725041389465,3.0437041037599557,0.5198767781257629,-0.0004566022420476656,0.0001,0.2,0.00014204321,0.01728515625,-0.14510060190732474,,
14,0.7548251045294679,0.6137207832473975,2400,208,183.75,54.88844081133298,11,28672,130,0.6473909020423889,3.878998963080812,1.5830364227294922,1.396681909682229e-07,0.0001,0.2,4.0745363e-09,0.0,-0.0005956057964411343,,
15,0.7582398888551527,0.5928140219300986,2533,720,695.75,216.94961818223183,12,30720,140,0.9814573526382446,3.1141206058789974,2.111788511276245,-0.0016971828867099249,0.0001,0.2,0.0079058185,0.027685546875,-0.14450306300641386,,
16,0.7282208998569812,0.5857128134404106,2666,261,236.5,73.15729862531612,12,32768,150,0.7628426551818848,2.831786226038821,1.1000289916992188,1.1645897757261992e-07,0.0001,0.2,0.0,0.0,-0.00010926084890603427,,
17,0.7440707907321613,0.5911868572389324,2799,773,748.5,232.70704745966665,12,34816,160,0.9865906238555908,4.014150930126197,1.360085368156433,-0.0005995706473186146,0.0001,0.2,0.002700233,0.011376953125,-0.10059631862950483,,
18,0.7502687125930966,0.5803715268085743,2932,319,297.75,92.66706645665322,12,36864,170,0.7953372001647949,2.163851761899423,0.19880540668964386,1.5862678992561997e-08,0.0001,0.2,0.0,0.0,-0.00013887297331531545,,
19,0.7563730986468341,0.588019324948498,3065,831,809.75,251.9755238069499,12,38912,180,0.9902834296226501,2.9169281986251008,0.2944127917289734,-0.00035019251008634457,0.0001,0.2,0.0001291585,0.00458984375,-0.08212498866779469,,
,0.7428303562608877,0.6198362941132453,,133,,,,40000,190,0.76081383228302,1.6424051128095016,0.24110756814479828,-1.2252870510565117e-05,0.0001,0.2,1.4793477e-07,0.0,-0.0009913705255166771,945.0,296.07269287109375
20,0.7505759932721655,0.5962076855202516,3667,240,228.0,71.11937090403664,11,40960,,,,,,,,,,,,
21,0.7440632076072011,0.6035813216040743,3799,752,740.0,229.50975739046288,11,43008,200,0.9949278235435486,3.9741280364454723,0.8472071290016174,0.00014385550166480244,0.0001,0.2,0.00024438347,0.003369140625,-0.10259531459105661,,
22,0.7389352013205372,0.584883488095876,3932,301,284.75,88.3010833791359,11,45056,210,0.8084990382194519,1.2074803483556025,0.531792938709259,-7.934271707199514e-07,0.0001,0.2,0.0,0.0,-0.0002598672476976205,,
