time/iterations,custom/mean_entropy,custom/mean_confidence,time/time_elapsed,custom/images_selected,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/n_updates,train/explained_variance,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/approx_kl,train/clip_fraction,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
23,0.7490906167917439,0.5967123831036932,4064,813,796.75,247.52401990979266,11,47104,220,0.9918697476387024,2.2531161239196082,0.5539701581001282,0.0004377887198643293,0.0001,0.2,0.00015204122,0.005419921875,-0.09662563264530492,,
24,0.7432643681849268,0.6024441217834299,4196,352,342.25,106.71573203784632,11,49152,230,0.7419484853744507,1.2077488957846072,0.6691741347312927,-0.00015238022060657386,0.0001,0.2,0.000129589,0.000390625,-0.0005157004142900323,,
25,0.7533349095567785,0.5947598073355578,4329,864,854.25,266.7645166411423,11,51200,240,0.992955207824707,2.1547789558855586,0.2887803912162781,0.0010996038581652101,0.0001,0.2,8.3608684e-05,0.004833984375,-0.08786583121718658,,
26,0.7499497143678295,0.5999929923745035,4462,412,396.0,124.35891641611921,11,53248,250,0.8914997577667236,1.435018359904643,0.4556550681591034,0.00034357487384113484,0.0001,0.2,0.0048643434,0.000732421875,-0.007516457490471496,,
27,0.7478824558373525,0.5973796036207315,4594,901,908.0,275.70803104722455,12,55296,260,0.984398603439331,2.6366547942277974,0.41180869936943054,-0.0017479017638834192,0.0001,0.2,0.007316014,0.03642578125,-0.12712979978292857,,
28,0.7655275502496145,0.5911635354838588,4726,440,417.0,129.76776503150302,12,57344,270,0.9725733995437622,1.0255824468331411,0.1968756765127182,0.0007580581077490933,0.0001,0.2,0.00074898335,0.016064453125,-0.1501174823511974,,
29,0.7591449600887024,0.591945087521517,4858,923,929.0,281.60770397517126,12,59392,280,0.9941502809524536,2.634747395478189,7.06773042678833,0.0008403593987168278,0.0001,0.2,0.00061682216,0.008203125,-0.10494698376729525,,
,0.7794518365579493,0.5849911916155776,,119,,,,60000,290,0.9815660119056702,0.8341389585635625,0.24188897013664246,-0.001302909655714757,0.0001,0.2,0.0019404881,0.01279296875,-0.11080522684787866,945.0,294.304443359375
30,0.7239455583815774,0.6137084684438175,5457,360,348.0,106.66844251351993,11,61440,,,,,,,,,,,,
31,0.7370497380648184,0.606983453889779,5590,868,860.0,264.6046057918345,11,63488,300,0.9930047392845154,5.3924602583865635,3.8371403217315674,-1.3462109927786515e-05,0.0001,0.2,3.8897415e-06,0.0,-0.06193362562152205,,
32,0.7484185046175631,0.6192151356761049,5722,410,386.5,119.06448725706328,11,65536,310,0.9579862952232361,1.1397547967848367,1.0082274675369263,0.0010891038116824347,0.0001,0.2,4.433369e-05,0.004345703125,-0.048491211727014163,,
33,0.7455804268799221,0.6024891863094235,5853,911,898.5,278.8160594234319,11,67584,320,0.9832086563110352,2.8192655663995536,0.2981628179550171,0.0004226848112011794,0.0001,0.2,0.00080493523,0.0025390625,-0.1292227493161302,,
34,0.7609010771078908,0.6063473553761192,5985,460,431.25,131.71655431262766,11,69632,330,0.9767066836357117,1.1027298810950015,0.5538492202758789,0.0010365406516939402,0.0001,0.2,0.00023457763,0.008740234375,-0.04445370522112171,,
35,0.7195051163434982,0.708019882440567,6116,2,923.85,279.9531889411122,11,71680,340,0.9899910092353821,3.296453023259528,0.0630209818482399,-0.0006416277472453657,0.0001,0.2,0.0008944203,0.00185546875,-0.08264643707503816,,
36,0.7523213142550873,0.594615307821374,6248,514,480.25,146.3812514090081,11,73728,350,0.9899705648422241,1.1631461076205596,0.18858301639556885,-0.000537895208253758,0.0001,0.2,0.0012703098,0.009228515625,-0.0739186503726387,,
37,0.7724438003131322,0.6087038121053151,6379,70,84.34,25.88246365682069,11,75776,360,0.9845859408378601,3.6567103118344675,4.520814418792725,-0.00012209622000227682,0.0001,0.2,2.6061127e-05,0.0,-0.026146783481707382,,
38,0.7565451156079155,0.5908063651667428,6510,582,538.5,170.73765496753708,11,77824,370,0.9931262135505676,1.1935405934986192,0.1475907266139984,-0.00036997580609750004,0.0001,0.2,0.00013769799,0.00302734375,-0.07805424475943994,,
39,0.7384458499727771,0.6012111839372665,6642,128,89.0,27.6810794757783,12,79872,380,0.7124367952346802,2.5862815204192886,6.045590400695801,1.932494342327118e-09,0.0001,0.2,0.0,0.0,-2.422122706806306e-09,,
,0.7451269142095398,0.6002391044448756,,159,,,,80000,390,0.9952675700187683,1.5392084740771679,0.6286195516586304,0.00020786401219083928,0.0001,0.2,0.00017693528,0.00126953125,-0.0806414950199951,945.0,289.30987548828125
40,0.7602427070649962,0.588329557267328,7236,480,468.0,144.82341410924104,11,81920,,,,,,,,,,,,
41,0.7562694345201765,0.5756910136767797,7367,35,19.75,6.574091539639166,11,83968,400,0.1381981372833252,3.0260991383867806,0.3954915404319763,1.3751559890806674e-10,0.0001,0.2,0.0,0.0,-2.2343465364203254e-12,,
42,0.7507861239777731,0.5965165591218136,7498,547,531.75,168.3534081555076,11,86016,410,0.9951652884483337,1.1909895529621282,1.9046868085861206,0.00012525081183412112,0.0001,0.2,0.00012902872,0.001806640625,-0.06900074384760871,,
43,0.7561576922414124,0.6048296017031516,7630,93,79.25,23.984441379611564,11,88064,420,0.09633457660675049,3.53903082353645,0.18433877825737,-5.722540663555265e-10,0.0001,0.2,0.0,0.0,-3.5874865024616924e-12,,
44,0.7592907232932808,0.5897272698642794,7762,605,591.25,184.54225091228736,11,90112,430,0.9960177540779114,1.4153000548714771,0.37692615389823914,-0.0013286582623550202,0.0001,0.2,0.0011749468,0.012646484375,-0.057860614649314315,,
45,0.7495292828958712,0.5727974785330855,7894,162,149.0,45.52922021722713,11,92160,440,0.0635729432106018,1.519836138986284,0.2939581871032715,-8.512870408594608e-11,0.0001,0.2,0.0,0.0,-3.887469683502596e-13,,
46,0.7417848801091093,0.5895951366831358,8027,674,661.0,204.83291879287447,11,94208,450,0.995841920375824,1.5401095522218384,0.19359633326530457,0.00010144555853912607,0.0001,0.2,0.0013075477,0.001904296875,-0.05225747924667954,,
47,0.7206558386652587,0.5901565747755068,8159,222,211.75,63.42329561975905,11,96256,460,0.24364662170410156,2.1851213690359144,1.8636975288391113,1.2732925824820995e-10,0.0001,0.2,0.0,0.0,-2.3088844106026098e-08,,
48,0.7430471864551793,0.594733934636337,8291,734,723.75,221.02383091050476,11,98304,470,0.9967533349990845,2.801263085444225,2.0553603172302246,0.00033430724579375237,0.0001,0.2,0.0002189292,0.00341796875,-0.06898910135798672,,
,0.7573861351640767,0.5924594525306944,,189,,,,100000,480,0.571136474609375,1.7627577928476967,0.500592827796936,-2.572051016613841e-09,0.0001,0.2,0.0,0.0,-7.630036518970277e-06,945.0,294.40850830078125
49,0.7608551799573682,0.5995183624327183,8894,88,76.0,24.03047200898618,11,100352,,,,,,,,,,,,
