custom/images_selected,rollout/ep_rew_mean,custom/mean_entropy,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,custom/mean_confidence,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/n_updates,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
769,3360.9452925563783,11.340209970238615,19,766.5,3083,38912,12,8.993358973331352,0.2,0.011083984375,3.807997941970825,0.9871445894241333,0.0001,-0.0009271516843000427,0.0025780173,3.2410501246573404,180,-0.11888715698933083,,
71,,125.75741103417437,,,,40000,,99.65640687019052,0.2,0.0,3.749382495880127,0.789158284664154,0.0001,-2.9406895919237285e-06,1.0477379e-09,2.458113482675981,190,-0.0008016002059338945,294.0755920410156,945.0
240,4107.221158820534,43.90785551170508,20,228.0,3699,40960,11,34.78848872408271,,,,,,,,,,,,
752,4267.728968898837,14.53133457130257,21,740.0,3845,43008,11,11.493365826322995,0.2,0.000537109375,0.7415205240249634,0.993369996547699,0.0001,3.160295273119118e-05,0.00015600605,1.8045707797282375,200,-0.10891966460035327,,
303,4419.960729567915,37.31604453771323,22,285.75,3977,45056,11,29.538024488160318,0.2,0.0,0.44628259539604187,0.8346377015113831,0.0001,1.0425865184515715e-07,2.0372681e-10,2.263613353238907,210,-0.00015994632633979932,,
815,4579.969686650009,14.33279948410081,23,797.75,4110,47104,11,11.353153962189435,0.2,0.018212890625,2.490908145904541,0.9923065900802612,0.0001,-0.0022737661696737633,0.0068781804,2.860405503236689,220,-0.0772834955010353,,
360,4732.01003103174,33.50806766276558,24,348.25,4243,49152,11,26.558200083673,0.2,0.0,0.4296134412288666,0.8875088095664978,0.0001,8.577667176723481e-06,9.0757385e-07,1.9465839911950753,230,-3.605976020547401e-05,,
872,4890.052277678126,14.266354339248544,25,860.25,4377,51200,11,11.315008510416801,0.2,0.00224609375,0.23760326206684113,0.9957351088523865,0.0001,0.0002808869776345091,5.0362112e-05,3.9271546758536715,240,-0.06430559312408946,,
429,5044.391510716761,29.887518360533498,26,416.5,4509,53248,11,23.692173863624358,0.2,0.000244140625,0.22848087549209595,0.9727147221565247,0.0001,-3.294841226306744e-05,0.00018871634,1.0021188161452301,250,-0.0006368393003507822,,
937,5205.371122539847,14.040702544817826,27,928.5,4641,55296,11,11.119402968541468,0.2,0.004833984375,5.094157695770264,0.9947894215583801,0.0001,0.0013503641341230832,0.00029844756,3.5626946209173185,260,-0.041688997437063335,,
495,5359.759362057809,27.459461467720644,28,486.75,4773,57344,12,21.772426831662052,0.2,0.0640625,0.43972110748291016,0.990584135055542,0.0001,-0.012290203962766099,0.017794326,1.2015889935486483,270,-0.10035629983898513,,
3,5295.293220871318,4660.793702798585,29,707.67,4907,59392,12,3691.7132738928,0.2,0.0,0.38226887583732605,0.9832121133804321,0.0001,-3.506145367282443e-05,8.790812e-07,3.1491873497667258,280,-0.018442454141934662,,
154,,91.5372062487552,,,,60000,,72.487290218666,0.2,0.024462890625,0.28789496421813965,0.9942153692245483,0.0001,0.0004355779616162181,0.0027484815,1.1879940190119669,290,-0.21502195527718868,295.3848876953125,945.0
360,6255.519589345298,43.84588705372686,30,348.0,5513,61440,11,34.73762763399217,,,,,,,,,,,,
867,6411.8190716413,18.540845973216374,31,860.0,5646,63488,11,14.692104172234961,0.2,0.0,1.9156334400177002,0.6932827234268188,0.0001,2.0982406567782165e-08,0.0,5.797483670909424,300,-2.896025885612552e-06,,
414,6565.248218395409,39.97924406222711,32,397.75,5780,65536,11,31.67593391340424,0.2,0.005322265625,0.12788592278957367,0.9775652885437012,0.0001,-0.0006895289436215535,0.007896166,1.2482683216512669,310,-0.04475552807888335,,
915,6721.553806875353,18.28455880933218,33,909.75,5916,67584,11,14.489835438087228,0.2,0.001611328125,6.153018951416016,0.9959734678268433,0.0001,0.00014726979570696131,0.00016946087,3.9792592470534145,320,-0.0986878381550176,,
460,6871.392907300803,37.64800257124816,34,438.75,6051,69632,11,29.83905807727057,0.2,0.08828125,0.5445013046264648,0.9861988425254822,0.0001,-0.0017819764441810548,0.023636244,1.269176805805182,330,-0.19128243120976549,,
914,7015.689336098248,18.216952790536844,35,950.75,6186,71680,11,14.437576120864952,0.2,0.000439453125,0.5016247630119324,0.9954797625541687,0.0001,-1.4548816398018972e-05,2.5381683e-05,0.6013162258605007,340,-0.08625735958275982,,
445,7162.12398541234,40.64339287062542,36,429.5,6319,73728,11,32.2063380789221,0.2,0.029931640625,0.09084498137235641,0.9925112724304199,0.0001,-0.001110761305608321,0.0043398356,0.7725809935771395,350,-0.24345970775466413,,
921,7307.036817257559,19.296810694136184,37,941.5,6451,75776,11,15.300105229347103,0.2,0.0,1.4636071920394897,0.9963715672492981,0.0001,-0.0005255500997009222,9.551513e-05,2.6235345152788794,360,-0.09333340466203026,,
469,7459.272718229012,40.20583831389417,38,450.25,6582,77824,11,31.875776756102088,0.2,0.029541015625,0.3140242099761963,0.9907256960868835,0.0001,-0.0021179723858949727,0.0020176473,0.9921004236093722,370,-0.15772491221432575,,
935,7534.32707348297,19.60526311530843,39,922.73,6713,79872,11,15.554965254454803,0.2,0.0,0.6287135481834412,0.9951276779174805,0.0001,-8.624602924101054e-06,5.993905e-06,2.512254624464549,380,-0.06583612036563977,,
14,,1375.3933918484088,,,,80000,,1091.398248042379,0.2,0.08037109375,1.0322163105010986,0.9928183555603027,0.0001,-0.00929642746141326,0.05041402,0.9190341196139343,390,-0.10416744926333195,297.236083984375,945.0
480,8355.105731969621,43.823269629424125,40,468.0,7317,81920,11,34.788228705960016,,,,,,,,,,,,
34,8507.483579016369,630.3481743974502,41,17.25,7448,83968,11,500.27250003113465,0.2,0.0,1.8672232627868652,0.9877879619598389,0.0001,-0.00021190369297983125,6.8896334e-06,3.5694447889341974,400,-0.020671346791700258,,
546,8671.46283551738,39.964658150708665,42,529.25,7580,86016,11,31.705648828447956,0.2,0.0091796875,0.15647363662719727,0.9946092963218689,0.0001,-0.0006019434178597294,0.006698304,1.0227899158897344,410,-0.06980588193068193,,
94,8827.291803307717,236.29812076525326,43,79.25,7710,88064,11,187.42338546698397,0.2,0.0,0.1869058609008789,0.8846117258071899,0.0001,3.492459654808044e-11,0.0,2.4999989476345945,420,-1.8631231520265212e-13,,
606,8986.535852381341,37.2733877307302,44,591.25,7841,90112,11,29.578147626011678,0.2,0.010107421875,1.1960692405700684,0.993838906288147,0.0001,-0.00028597694472409785,0.000532735,1.4842180441570236,430,-0.0509011085825008,,
166,9144.357863986583,138.43293765867242,45,149.75,7971,92160,11,109.80851230922951,0.2,0.0,0.10362269729375839,0.8682417869567871,0.0001,2.5174813345074655e-10,0.0,2.3503999178123194,440,-2.4177350500309267e-13,,
678,9305.895889066265,34.466082072566785,46,661.75,8102,94208,11,27.339128165206375,0.2,0.00244140625,0.7640573978424072,0.9929555058479309,0.0001,0.0006603897702007089,3.916619e-06,2.0906994999037125,450,-0.0500417435497339,,
230,9462.85257887608,103.25394967141683,47,216.75,8232,96256,11,81.93389008602371,0.2,0.0,0.5706366300582886,0.899145245552063,0.0001,-9.309587767347694e-10,0.0,1.9233277677645675,460,-5.3889225424026624e-11,,
742,9622.627317631077,32.509674491682105,48,728.75,8362,98304,11,25.802882830891004,0.2,0.001123046875,2.236710786819458,0.9943217635154724,0.0001,3.760871768463403e-05,0.000101336394,1.9476423461630474,470,-0.048456912705557145,,
208,,117.49166182072189,,,,100000,,93.27926501574424,0.2,0.0,0.14052797853946686,0.9435490369796753,0.0001,-1.1415977496653796e-09,0.0,1.3026523249864113,480,-3.0385053968410054e-09,293.84637451171875,945.0
88,10362.21127603638,294.41434579511935,49,76.0,8952,100352,11,233.99947982755575,,,,,,,,,,,,
