custom/images_selected,rollout/ep_rew_mean,custom/mean_entropy,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,custom/mean_confidence,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/n_updates,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
417,130.23417731297067,0.7493490830238443,1,500.0,141,2048,14,0.6033806910854764,,,,,,,,,,,,
784,241.82449853090588,0.7526758678723127,2,1012.0,287,4096,14,0.5986672765866388,0.2,0.320458984375,0.1506042331457138,0.6389025449752808,0.0001,0.024121525407099397,0.031824816,2.205782366346102,10,-0.2887796629262084,,
229,358.22066908880777,4.841481031208229,3,221.0,424,6144,14,3.8498859465623103,0.2,0.21787109375,0.5470882654190063,0.3391701579093933,0.0001,-0.01557546252006432,0.025889773,1.118085734231863,20,-0.46838421280262993,,
718,512.5163238917917,2.0570347271859646,4,733.0,561,8192,14,1.6241327282190323,0.2,0.0689453125,0.8264601230621338,0.1975805163383484,0.0001,-0.0036049296337296254,0.035055008,2.2564146648044696,30,-0.36906077452003955,,
154,636.4012420258885,12.533455340167531,5,147.5,702,10240,14,9.880936274280796,0.2,0.02646484375,0.6967332363128662,-0.3271406888961792,0.0001,0.0015741269948193804,0.0027295195,1.8963986131828279,40,-0.14971813111478696,,
661,792.8753999641539,3.4796088579203093,6,659.5,839,12288,14,2.745969292995808,0.2,0.110302734375,0.8583545684814453,0.5293420553207397,0.0001,-0.00666756457721931,0.022497725,2.415485156606883,50,-0.37047330997884276,,
142,925.755743417416,19.00536167784266,7,137.75,974,14336,14,15.063850527498085,0.2,0.0037109375,3.493732452392578,-0.5520708560943604,0.0001,0.0024264788124128247,0.0055826535,2.723801374435425,60,-0.04635282241506502,,
654,1085.9759588665145,4.716053257773229,8,649.75,1110,16384,14,3.7314073651208792,0.2,0.078173828125,1.1870448589324951,0.9103001952171326,0.0001,-0.0027314191196637695,0.03945085,2.5212896732613443,70,-0.3083533347060438,,
178,1230.6836258224598,19.512361128008767,9,164.75,1244,18432,14,15.420642070723384,0.2,0.001123046875,2.7544641494750977,-0.16905009746551514,0.0001,-0.0002265858929604292,0.00026772503,3.5052601833594963,80,-0.0029320617515168125,,
569,,6.614601145572109,,,,20000,,5.235197148130313,0.2,0.022119140625,2.2677390575408936,0.8837904930114746,0.0001,0.0013324307765287813,0.00067181507,3.4039959864923732,90,-0.20391171256342205,295.2331237792969,945.0
120,1979.5450303430748,43.8224480604132,10,108.0,1853,20480,11,34.854196519653,,,,,,,,,,,,
632,2141.2810685264976,8.939977634992875,11,620.0,1986,22528,11,7.098401035594789,0.2,0.0,11.630582809448242,-2.2252843379974365,0.0001,-1.03142301668413e-06,0.0,5.329040055605583,100,-0.00023592453997451913,,
145,2282.6676833830775,41.55370140193865,12,136.0,2118,24576,11,33.1043223006972,0.2,0.0,1.156447172164917,-2.701672077178955,0.0001,-3.068279329454526e-05,1.4973921e-07,4.067223948356696,110,-0.0014019318917689815,,
657,2439.469680984718,9.763156854205933,13,648.0,2253,26624,11,7.767121380957657,0.2,0.03095703125,0.7675414085388184,0.9195041060447693,0.0001,0.00018457497644703836,0.005479772,4.030693344993051,120,-0.19475699101603822,,
178,2582.599152937141,38.213309744184606,14,161.5,2388,28672,12,30.348325214359196,0.2,0.0,5.171953201293945,-1.725459337234497,0.0001,-3.3860615076264367e-06,9.895302e-10,4.437216483987868,130,-0.0015120629304306021,,
690,2741.501395507572,10.41356460797614,15,673.5,2518,30720,12,8.270291636128356,0.2,0.029345703125,0.3853116035461426,0.9487942457199097,0.0001,-0.0012009288991976063,0.00041875226,3.4889104398316704,140,-0.17337830884498545,,
224,2891.8734208916735,33.78392285980018,16,206.25,2651,32768,12,26.829883777137315,0.2,0.0,1.7569169998168945,-3.648202896118164,0.0001,2.7582482289290054e-07,4.7439244e-09,4.056038222974166,150,-0.0006910855800150272,,
736,3049.635267299602,10.796009858412182,17,718.25,2791,34816,12,8.587743465464724,0.2,0.012109375,5.846364498138428,0.9618964791297913,0.0001,5.98035185248591e-06,0.0032502657,4.08145539148245,160,-0.1488858958113269,,
257,3200.3757549968605,32.44035455546838,18,254.5,2945,36864,12,25.741199770558204,0.2,0.0,3.2804973125457764,-0.4079786539077759,0.0001,7.56925146561116e-08,3.0559022e-09,4.368244777573272,170,-0.0005041517181002319,,
