epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1707.7,2.35505,3.76169,2.16611,0.45111,0.03901,0.02258,0.01109,2.19947,3.53527,2.00954,0.0670087,0.000333245,0.000333245
2,3304.45,1.85688,3.11669,1.82321,0.33322,0.10474,0.07033,0.03956,1.80016,2.76037,1.78304,0.0340081,0.000665928,0.000665928
3,4872.58,1.70528,2.82518,1.71641,0.27685,0.1637,0.11074,0.06374,1.63151,2.39654,1.66964,0.0010048,0.000996009,0.000996009
4,6423.58,1.61157,2.62183,1.65371,0.30321,0.18446,0.14743,0.08859,1.55014,2.23571,1.59957,0.000991232,0.000991232,0.000991232
5,7973.93,1.54821,2.47218,1.60638,0.3248,0.21203,0.16783,0.10395,1.47328,2.09266,1.55446,0.000984449,0.000984449,0.000984449
6,9526.26,1.50271,2.35478,1.57529,0.32745,0.23455,0.19545,0.12183,1.44077,1.98743,1.52509,0.000975773,0.000975773,0.000975773
7,11077.6,1.46746,2.27001,1.54526,0.36733,0.2567,0.22521,0.14243,1.39343,1.87946,1.48847,0.000965239,0.000965239,0.000965239
8,12629.4,1.43622,2.18503,1.52319,0.36267,0.26626,0.24137,0.15533,1.36849,1.82463,1.46249,0.000952889,0.000952889,0.000952889
9,14180.7,1.41415,2.13556,1.50799,0.39,0.27715,0.25688,0.16532,1.3382,1.77062,1.44271,0.000938772,0.000938772,0.000938772
10,15730.3,1.38837,2.06934,1.48903,0.39888,0.29454,0.27602,0.18055,1.31087,1.71452,1.42748,0.000922942,0.000922942,0.000922942
11,17283.2,1.37223,2.03108,1.47846,0.42299,0.302,0.29036,0.19102,1.28844,1.6665,1.40863,0.000905463,0.000905463,0.000905463
12,18834.5,1.3528,1.97716,1.46557,0.44134,0.30653,0.30292,0.20006,1.27467,1.62895,1.39978,0.000886404,0.000886404,0.000886404
13,20384.5,1.33262,1.92987,1.45083,0.46223,0.31636,0.31619,0.21059,1.25233,1.59243,1.38663,0.000865839,0.000865839,0.000865839
14,21943.9,1.3196,1.89094,1.44071,0.45322,0.33021,0.32984,0.22152,1.23368,1.55606,1.37128,0.000843851,0.000843851,0.000843851
15,23496.7,1.30346,1.85573,1.42876,0.45664,0.33743,0.33757,0.22769,1.22088,1.5269,1.3613,0.000820525,0.000820525,0.000820525
16,25048.9,1.29294,1.82149,1.42121,0.46605,0.34385,0.34738,0.23408,1.212,1.5011,1.35397,0.000795954,0.000795954,0.000795954
17,26600.6,1.27767,1.78769,1.40984,0.48168,0.34886,0.35757,0.24244,1.20165,1.47775,1.34678,0.000770234,0.000770234,0.000770234
18,28150.8,1.26319,1.75877,1.40226,0.51032,0.35459,0.36618,0.24884,1.19586,1.45721,1.34436,0.000743468,0.000743468,0.000743468
19,29705.4,1.25736,1.73134,1.3955,0.49016,0.36557,0.37272,0.25346,1.18748,1.43851,1.3378,0.000715761,0.000715761,0.000715761
20,31436.1,1.24523,1.70242,1.38658,0.50973,0.36086,0.37602,0.25668,1.17993,1.42211,1.32964,0.000687222,0.000687222,0.000687222
21,33234.6,1.23448,1.67575,1.37777,0.50647,0.37151,0.38343,0.26329,1.17207,1.4024,1.32446,0.000657963,0.000657963,0.000657963
22,35016.2,1.22596,1.64807,1.37045,0.51076,0.37106,0.38781,0.26685,1.16632,1.38932,1.31943,0.000628101,0.000628101,0.000628101
23,36774.3,1.21098,1.62075,1.36542,0.49919,0.38005,0.39369,0.2701,1.16176,1.37843,1.31507,0.000597754,0.000597754,0.000597754
24,38400.4,1.20005,1.60066,1.35594,0.49946,0.38648,0.39737,0.27317,1.15687,1.36701,1.31126,0.00056704,0.00056704,0.00056704
25,40035,1.19107,1.57983,1.34911,0.52075,0.38787,0.40262,0.27699,1.15114,1.3546,1.30825,0.000536081,0.000536081,0.000536081
26,41668.7,1.18343,1.54654,1.34042,0.50301,0.39392,0.40767,0.28048,1.14732,1.34525,1.30584,0.000505,0.000505,0.000505
27,43299.9,1.17447,1.52807,1.33606,0.50958,0.39452,0.41056,0.28339,1.14345,1.33627,1.3037,0.000473919,0.000473919,0.000473919
28,44942.2,1.17069,1.51075,1.32967,0.50987,0.3994,0.41319,0.28571,1.13997,1.32816,1.30102,0.00044296,0.00044296,0.00044296
29,46569.1,1.15925,1.48575,1.3239,0.52068,0.39801,0.41608,0.28787,1.13712,1.32213,1.29877,0.000412246,0.000412246,0.000412246
30,48198.2,1.15549,1.46931,1.31904,0.51964,0.40124,0.41808,0.28972,1.13491,1.31657,1.29698,0.000381899,0.000381899,0.000381899
31,49828,1.14409,1.45095,1.31392,0.5345,0.40035,0.41979,0.29122,1.13281,1.31159,1.29553,0.000352037,0.000352037,0.000352037
32,51446.4,1.13903,1.43773,1.30965,0.53431,0.40246,0.42146,0.29285,1.13062,1.30767,1.29352,0.000322778,0.000322778,0.000322778
33,53054.7,1.12989,1.41681,1.30313,0.53679,0.40142,0.42191,0.29329,1.12901,1.30369,1.29223,0.000294239,0.000294239,0.000294239
34,54670.4,1.12226,1.40122,1.29908,0.53818,0.40262,0.42398,0.29488,1.12743,1.29999,1.29121,0.000266532,0.000266532,0.000266532
35,56235.7,1.11824,1.38408,1.2947,0.53542,0.40514,0.42513,0.29569,1.12657,1.29681,1.29042,0.000239766,0.000239766,0.000239766
