epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1587.62,2.39282,3.79815,2.18852,0.48941,0.02411,0.02164,0.01065,2.28755,3.44802,2.07859,0.0670096,0.000333236,0.000333236
2,3093.88,1.88672,3.1462,1.83992,0.36512,0.09642,0.06212,0.03393,1.80672,2.72264,1.78583,0.034009,0.000665919,0.000665919
3,4607.18,1.72867,2.88153,1.73412,0.32976,0.143,0.09946,0.05679,1.6654,2.49831,1.69205,0.0010057,0.000996,0.000996
4,6114.07,1.63829,2.66881,1.66804,0.30346,0.16772,0.12424,0.07251,1.57959,2.30559,1.61816,0.000991232,0.000991232,0.000991232
5,7523.56,1.56984,2.52046,1.61864,0.32335,0.1954,0.15427,0.09217,1.51746,2.17268,1.57705,0.000984449,0.000984449,0.000984449
6,8939.29,1.52742,2.41595,1.58962,0.36923,0.21839,0.17529,0.10769,1.4686,2.06414,1.54327,0.000975773,0.000975773,0.000975773
7,10365.6,1.49029,2.32276,1.56568,0.32114,0.23665,0.19602,0.1225,1.42634,1.97208,1.51372,0.000965239,0.000965239,0.000965239
8,11776.8,1.45965,2.24912,1.5419,0.3605,0.24976,0.22278,0.14255,1.38868,1.88524,1.47787,0.000952889,0.000952889,0.000952889
9,13236.1,1.43472,2.17805,1.52298,0.39388,0.26719,0.24445,0.15612,1.36625,1.82305,1.46779,0.000938772,0.000938772,0.000938772
10,14696.3,1.40795,2.1238,1.50583,0.3909,0.27938,0.25667,0.16526,1.34599,1.77811,1.44979,0.000922942,0.000922942,0.000922942
11,16158.5,1.3958,2.07445,1.49095,0.41063,0.28602,0.27043,0.177,1.31797,1.72685,1.43579,0.000905463,0.000905463,0.000905463
12,17637.7,1.37556,2.02369,1.4791,0.40892,0.30355,0.28998,0.1909,1.30023,1.67987,1.41935,0.000886404,0.000886404,0.000886404
13,19193.4,1.35197,1.98112,1.46469,0.42402,0.31169,0.30043,0.19757,1.27965,1.64034,1.40252,0.000865839,0.000865839,0.000865839
14,20714.9,1.33888,1.94393,1.45339,0.45401,0.31446,0.31146,0.20484,1.26127,1.60673,1.39209,0.000843851,0.000843851,0.000843851
15,22178.6,1.32765,1.90451,1.44642,0.43299,0.31688,0.3194,0.21322,1.24701,1.583,1.38088,0.000820525,0.000820525,0.000820525
16,23655.3,1.31057,1.86782,1.4317,0.47352,0.3255,0.32823,0.22004,1.23913,1.55478,1.37676,0.000795954,0.000795954,0.000795954
17,25153.1,1.30026,1.83613,1.4246,0.45817,0.33996,0.34039,0.22818,1.22502,1.52733,1.36445,0.000770234,0.000770234,0.000770234
18,26656,1.28541,1.80942,1.4148,0.46127,0.34712,0.3459,0.23259,1.21713,1.50626,1.35857,0.000743468,0.000743468,0.000743468
19,28156.6,1.27587,1.77126,1.40383,0.47384,0.35845,0.35731,0.24063,1.20674,1.48261,1.34945,0.000715761,0.000715761,0.000715761
20,29650.2,1.26388,1.73982,1.39764,0.47367,0.36112,0.36083,0.24413,1.19948,1.46343,1.34549,0.000687222,0.000687222,0.000687222
21,31122.6,1.25016,1.71751,1.38911,0.47203,0.36853,0.36596,0.2475,1.19214,1.44886,1.33836,0.000657963,0.000657963,0.000657963
22,32617.6,1.24105,1.69271,1.38468,0.49323,0.36845,0.37255,0.25123,1.18442,1.42923,1.33492,0.000628101,0.000628101,0.000628101
23,34113.9,1.23112,1.66117,1.37492,0.49255,0.37372,0.37845,0.25557,1.1799,1.41498,1.33122,0.000597754,0.000597754,0.000597754
24,35614.7,1.22159,1.63266,1.36793,0.48425,0.37779,0.38326,0.2601,1.1742,1.40203,1.32573,0.00056704,0.00056704,0.00056704
25,37111.6,1.2127,1.61337,1.36151,0.50222,0.37544,0.38744,0.26314,1.16915,1.38803,1.32065,0.000536081,0.000536081,0.000536081
26,38605.1,1.20243,1.59375,1.35301,0.50091,0.38486,0.39315,0.26773,1.16456,1.3782,1.31714,0.000505,0.000505,0.000505
27,40103,1.1936,1.57485,1.34663,0.51327,0.38103,0.39555,0.27078,1.16016,1.36992,1.31324,0.000473919,0.000473919,0.000473919
28,41581.2,1.18362,1.55423,1.34061,0.51006,0.38294,0.39897,0.27303,1.15511,1.36099,1.30946,0.00044296,0.00044296,0.00044296
29,43056.8,1.17521,1.52057,1.33195,0.51133,0.38793,0.40097,0.27455,1.15235,1.3525,1.30774,0.000412246,0.000412246,0.000412246
30,44548.2,1.17289,1.50918,1.33027,0.52071,0.38759,0.40296,0.27649,1.1493,1.34491,1.30502,0.000381899,0.000381899,0.000381899
31,46044.6,1.16019,1.49244,1.32196,0.51806,0.39365,0.40637,0.27879,1.14662,1.33886,1.30306,0.000352037,0.000352037,0.000352037
32,47531.4,1.15365,1.47002,1.31645,0.5204,0.39304,0.40834,0.2806,1.14448,1.33339,1.30149,0.000322778,0.000322778,0.000322778
33,49052.5,1.14616,1.45066,1.31093,0.52536,0.39077,0.40964,0.28191,1.14221,1.32832,1.29957,0.000294239,0.000294239,0.000294239
34,50587.3,1.14107,1.43285,1.308,0.52977,0.39128,0.41157,0.28284,1.14067,1.32414,1.29825,0.000266532,0.000266532,0.000266532
35,52020.9,1.13123,1.42089,1.30312,0.54663,0.39143,0.41365,0.28426,1.13893,1.31977,1.29697,0.000239766,0.000239766,0.000239766
