custom/images_selected,rollout/ep_rew_mean,time/iterations,custom/mean_entropy,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,custom/mean_confidence,train/n_updates,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/value_loss,train/learning_rate,train/loss,train/approx_kl,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
417,124.42325136545722,1,0.75071154764737,500.0,13,148,2048,0.5944778208504431,,,,,,,,,,,,
911,274.74370536457116,2,0.7550749734582496,1012.0,13,294,4096,0.5946833699417766,10,0.2,0.040490188418334586,-0.032449931781209786,0.5803788900375366,2.1292068648384883,0.0001,0.8305055499076843,1.2752576,0.6359375,,
450,133.6369743105472,3,0.7477912966575887,437.0,14,438,6144,0.6190664881467819,20,0.2,0.0049102451434009705,-0.12873348368274265,0.32623279094696045,2.7903726958204063,0.0001,0.8416658043861389,0.007151125,0.024609375,,
938,284.79625554140154,4,0.7500098245973522,949.0,13,586,8192,0.604323575594569,30,0.2,0.0006985012623772491,-0.07985941196729925,-1.9243319034576416,2.401346767495852,0.0001,1.8430548906326294,0.00059178565,0.010205078125,,
494,146.78184267888383,5,0.7615993365735901,477.75,14,729,10240,0.6039080120291305,40,0.2,0.0016380914872570428,-0.1148976030256108,-0.22394394874572754,1.672322165663354,0.0001,0.28364866971969604,0.00929095,0.018798828125,,
29,45.242047811842646,6,0.7209749365675038,151.7,13,885,12288,0.6111480727277953,50,0.2,-0.0004605671583703952,-0.029347166557554222,0.6085699796676636,2.7022939348127695,0.0001,1.7251354455947876,2.2380176e-05,0.0,,
541,162.51993044547342,7,0.7534005560407797,526.5,13,1030,14336,0.601245977080904,60,0.2,-0.001992730505662621,-0.08640963292188353,0.6864269971847534,3.5431475625839086,0.0001,1.3647019863128662,0.0019662667,0.01826171875,,
90,22.87889341882926,8,0.7872623648908403,73.5,14,1169,16384,0.6090712587038676,70,0.2,1.6509147826582194e-09,-4.25129514124721e-09,-1.5012176036834717,4.03992528822273,0.0001,0.4009385406970978,0.0,0.0,,
602,177.6570531235564,9,0.7564200530218523,585.5,13,1319,18432,0.6086394440296085,80,0.2,0.0016236912830208893,-0.08703087669977023,0.8485147356987,2.943013210827485,0.0001,0.16459524631500244,0.0018960481,0.011083984375,,
20,,,0.6925209399312735,,,,20000,0.6043860703706742,90,0.2,-3.250897862017155e-08,-1.1876539861614689e-06,-2.2230119705200195,3.889176786202006,0.0001,0.9797974228858948,-2.910383e-11,0.0,294.25543212890625,946.0
120,33.83938646697253,10,0.7381398621946573,108.0,10,1951,20480,0.5929323057333629,,,,,,,,,,,,
632,193.5593373375881,11,0.7470071332505609,620.0,10,2090,22528,0.6012483238702333,100,0.2,0.0043689187168638455,-0.08507614812818645,0.8672782182693481,4.092039184388705,0.0001,0.5605784058570862,0.00013737386,0.01962890625,,
181,52.17328423865745,12,0.7640064709012021,167.25,11,2226,24576,0.607394290233844,110,0.2,2.049273462034762e-08,-1.425348524829867e-06,-2.0328643321990967,3.800251521507744,0.0001,2.892324209213257,0.0,0.0,,
693,206.77547115091656,13,0.7552039788291396,679.25,11,2361,26624,0.6082281240223119,120,0.2,0.0009161524885712424,-0.13054731146039558,0.9508196115493774,3.2835522003355435,0.0001,0.19760695099830627,0.00037123886,0.0126953125,,
220,61.46337280787633,14,0.7344655861231414,207.25,11,2496,28672,0.6169438381086696,130,0.2,-1.1853106116177515e-06,-0.0002252434007065318,-0.9185358285903931,3.3796826197998597,0.0001,0.5182576179504395,3.929017e-09,0.0,,
732,219.15181443468168,15,0.746057592067725,719.25,11,2631,30720,0.6121531674037866,140,0.2,0.0007772961831506109,-0.12381410583379875,0.9616668820381165,3.8582712314848324,0.0001,0.20202010869979858,0.002201105,0.02158203125,,
268,80.84565144571202,16,0.7395021004685715,261.75,11,2765,32768,0.5874778119040959,150,0.2,-2.2485473891720175e-07,-0.0001794609930119373,-2.113980531692505,3.6918157951557076,0.0001,2.987757921218872,1.4260877e-09,0.0,,
780,239.09313879462817,17,0.7425639174687557,773.75,12,2900,34816,0.6051921366116939,160,0.2,0.0032314595260686473,-0.13815420563714725,0.9728755354881287,4.626171755907126,0.0001,1.3243350982666016,0.0019460674,0.02099609375,,
318,94.63665225127912,18,0.7490378320685722,313.0,12,3034,36864,0.6067037644251337,170,0.2,-3.1645104172639547e-07,-0.0036520165513422853,-0.9173233509063721,3.17072457697941,0.0001,1.9772186279296875,1.9848812e-08,0.0,,
830,249.05352643917675,19,0.7519117448164756,825.0,12,3168,38912,0.6077105639210667,180,0.2,0.0013569732764153741,-0.13577460273504535,0.9788472056388855,3.477552690950688,0.0001,12.29223346710205,0.007166993,0.008447265625,,
133,,,0.7008666774832216,,,,40000,0.6290317473554969,190,0.2,-2.8272436611587182e-05,-0.002016399820202119,0.8362923264503479,2.1218160422868095,0.0001,0.9117668271064758,0.00039606128,0.00068359375,286.8819274902344,946.0
240,67.83630399526905,20,0.7563467705001433,228.0,10,3774,40960,0.6088106581320365,,,,,,,,,,,,
752,223.41288208150755,21,0.7490087658800977,740.0,11,3909,43008,0.6068208390807218,200,0.2,-7.853363968024496e-05,-0.08089675488511147,0.9901266098022461,2.726309979800135,0.0001,1.346835732460022,0.0002570653,0.004248046875,,
