time/time_elapsed,custom/images_selected,time/iterations,rollout/ep_len_mean,time/fps,custom/mean_entropy,rollout/ep_rew_mean,time/total_timesteps,custom/mean_confidence,train/learning_rate,train/value_loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
133,417,1,500.0,15,0.7714782530092634,129.1440284268451,2048,0.591244618233759,,,,,,,,,,,,
268,831,2,1012.0,15,0.7625657386670355,258.11648604458196,4096,0.5918828021094669,0.0001,2.2341202678740957,10,0.2,0.385986328125,0.6950680017471313,-0.23116725817581027,0.18952564895153046,0.08665701,0.020357442250679016,,
402,302,3,297.25,15,0.7706342373492275,91.2113496948102,6144,0.5989971145356517,0.0001,1.3135742244543507,20,0.2,0.12294921875,-0.4867393970489502,-0.3896556353312917,0.5541797876358032,0.031746086,-0.0068396119037061,,
536,798,4,809.25,15,0.7553655346434777,243.18240647043189,8192,0.5958825819585495,0.0001,1.9641225516214036,30,0.2,0.011279296875,-0.38760435581207275,-0.2770890245476039,0.8129533529281616,0.01878567,-0.0016292386411805638,,
670,293,5,279.0,15,0.7561294780758053,85.98376403438097,10240,0.5998279327215188,0.0001,1.839887447259389,40,0.2,0.02138671875,0.41367900371551514,-0.13167981144870283,0.22992336750030518,0.006902978,0.001799375632981537,,
805,795,6,791.0,15,0.7564277283014348,240.4598207700734,12288,0.6068082909776558,0.0001,2.0618537700967865,50,0.2,0.0486328125,0.9045293927192688,-0.23072869005554822,1.0735223293304443,0.0050449218,-0.003665151772293029,,
939,326,7,312.25,15,0.7528429298198844,96.29327409329116,14336,0.6102186654425837,0.0001,2.626334348320961,60,0.2,0.00927734375,0.6779069304466248,-0.04005982932292227,2.050898313522339,0.018090848,0.0009120879411057103,,
1072,837,8,824.25,15,0.7504416731961943,255.43511170030888,16384,0.6005373615993804,0.0001,3.2866232340107673,70,0.2,0.00478515625,0.9053822755813599,-0.15680136631716063,0.3352242112159729,0.00067844917,-8.780627067608293e-05,,
1205,365,9,354.25,15,0.7547942784551072,110.01511292032419,18432,0.6116641388364035,0.0001,2.7489715071977114,80,0.2,0.00244140625,0.3367818593978882,-0.01827291417098422,1.4880692958831787,0.00013518237,0.00030081465010880495,,
,756,,,,0.7452885595263627,,20000,0.6142958789354279,0.0001,3.8916283230762927,90,0.2,0.0240234375,0.9454401135444641,-0.1163834282662944,0.9543426632881165,0.002084481,0.00014178837518556974,296.38433837890625,945.0
1806,120,10,108.0,11,0.7725855489571889,34.41127780405245,20480,0.5901983340581258,,,,,,,,,,,,
1937,632,11,620.0,11,0.7509940912640547,196.398476288086,22528,0.6003524300795567,0.0001,5.348355022794567,100,0.2,0.0,0.4974760413169861,-0.0006774935024074225,2.695505142211914,1.0011718e-08,-4.137467112741433e-05,,
2069,178,12,164.25,11,0.7439785318428211,52.35938086581883,24576,0.5999408011021239,0.0001,3.4294958552578465,110,0.2,0.0,0.3435162305831909,-6.550563306248481e-06,1.7584023475646973,0.0,1.246371539309621e-09,,
2200,690,13,676.25,12,0.7554976608334244,212.90034078193904,26624,0.6035389928714089,0.0001,2.6489274440798907,120,0.2,0.009130859375,0.9482228755950928,-0.12379764611832797,0.34377291798591614,0.0010169162,0.0007001947407843546,,
2331,221,14,210.5,12,0.7660471267020541,65.09857231046956,28672,0.6243193520410029,0.0001,3.23951735352166,130,0.2,0.0,-0.027806520462036133,-2.1664660114584232e-05,1.1295881271362305,6.9849193e-10,-2.771776053123176e-08,,
2462,733,15,722.5,12,0.74817923516401,223.09354389820155,30720,0.6091761105626536,0.0001,4.300974406092427,140,0.2,0.009765625,0.9724370837211609,-0.13330473028245252,1.6917964220046997,0.00076911226,0.001227828607079573,,
2593,267,16,266.0,12,0.7662217452396615,81.68614448536766,32768,0.5952735462885225,0.0001,2.7426381530007347,150,0.2,0.0,0.2376604676246643,-0.00020525812637628427,1.9219127893447876,0.0,4.4349653762765227e-07,,
2724,779,17,778.0,12,0.7451518839069753,237.53241137696074,34816,0.5980426140789502,0.0001,3.49142644564854,160,0.2,0.01240234375,0.9826064109802246,-0.1395013824714562,5.879210948944092,4.143949e-06,0.0015043876355775865,,
2855,326,18,322.5,12,0.7588096266509565,100.57892516699128,36864,0.600062414181013,0.0001,2.762935930979438,170,0.2,0.0,-0.8916343450546265,-0.001342417368469917,0.19840063154697418,3.4924597e-10,4.0086088120006026e-07,,
2986,838,19,834.5,13,0.7577972439226643,262.0356015810471,38912,0.5952872978901237,0.0001,2.800467865692917,180,0.2,0.008984375,0.9730396270751953,-0.13063037777109895,0.8332329988479614,0.00036265678,-0.0014879047364956932,,
,131,,,,0.7198678613391541,,40000,0.5848919778834772,0.0001,1.689014064555522,190,0.2,0.000830078125,0.46657419204711914,-0.011349213480286835,0.7337700128555298,0.0010167612,0.00047905615574563856,292.1175842285156,945.0
3582,240,20,228.0,11,0.7379298860828082,69.76523999603293,40960,0.6136352756371101,,,,,,,,,,,,
3713,749,21,740.0,11,0.7607199003563282,229.31824644376556,43008,0.6073627500061659,0.0001,3.551823496731231,200,0.2,0.047119140625,0.9828848838806152,-0.15747972513618486,2.2118842601776123,0.011337768,-0.000624111218348844,,
3845,279,22,269.25,11,0.7355592592642726,83.27430784343292,45056,0.6064925832560413,0.0001,1.9367796570644713,210,0.2,0.004833984375,0.18645328283309937,-0.005153466080123792,0.3201737701892853,0.015444526,0.0017230767269211355,,
3976,791,23,781.25,11,0.7481397248700958,242.15374907557205,47104,0.6005139590138582,0.0001,2.1739322006935256,220,0.2,0.013427734375,0.9863170981407166,-0.12529918414020358,0.5081834197044373,0.000538496,0.0019744166907912585,,
4107,337,24,330.75,11,0.7328183091403115,101.50194525294772,49152,0.5916772931372023,0.0001,1.7841270513075869,230,0.2,0.00029296875,0.042683959007263184,-0.0015083151665328865,0.35546064376831055,0.0011538595,6.285636409302242e-05,,
4238,849,25,842.75,12,0.7456952554422779,260.480274345114,51200,0.598111644299488,0.0001,2.0868173669907266,240,0.2,0.001904296875,0.9909725785255432,-0.07163070685301136,0.2874337434768677,0.00012430258,-0.00020604778073902709,,
4369,409,26,398.25,12,0.7551417640776973,125.21373316542626,53248,0.6041991114616394,0.0001,1.7992140934220515,250,0.2,0.000390625,0.8911454081535339,-0.0004770474807954346,0.904102087020874,0.00031033292,-1.642993011046201e-05,,
4499,920,27,910.25,12,0.7619977943744838,287.15207604462233,55296,0.6004613689050872,0.0001,3.681401233148063,260,0.2,0.00185546875,0.9961235523223877,-0.05262468519827053,1.4423221349716187,0.0013793122,-0.00039502621948486196,,
