rollout/ep_len_mean,time/time_elapsed,custom/mean_confidence,time/fps,time/iterations,time/total_timesteps,custom/images_selected,custom/mean_entropy,rollout/ep_rew_mean,train/loss,train/value_loss,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
,,0.587942185997963,,,40000,160,0.774363620672375,,0.154277041554451,1.473166129575111,0.012191695,0.2,0.0001,190,0.01279296875,0.00160781318336376,0.6219112277030945,-0.060773054897208564,297.0966491699219,945.0
228.0,3699,0.6070202418913444,11,20,40960,240,0.7370803591484825,69.20436880271097,,,,,,,,,,,,
740.0,3836,0.6033829220748962,11,21,43008,746,0.7502357597522279,224.11287642326312,0.3070530593395233,3.1093058259924873,0.006888208,0.2,0.0001,200,0.040673828125,-0.004931133761419915,0.9865005612373352,-0.1314836621754838,,
261.0,3972,0.6012691895382992,11,22,45056,276,0.7579729242817216,83.75592514690776,0.5484192967414856,1.473981936823111,0.08424382,0.2,0.0001,210,0.021533203125,0.005405505593080307,0.6750097870826721,-0.0075250204353466184,,
773.0,4108,0.5934169941066485,11,23,47104,783,0.7560655401669784,239.1971413937337,0.6260166764259338,2.4278498477535324,0.007611718,0.2,0.0001,220,0.01494140625,0.0023902732566057237,0.9894273281097412,-0.15648727620573483,,
286.5,4243,0.6026984015829328,11,24,49152,293,0.7633070161521638,86.58200731791256,0.16235187649726868,1.6116964335902595,0.0012147357,0.2,0.0001,230,0.00283203125,0.00011443139956099913,0.5847684741020203,-0.02097973481140798,,
798.5,4379,0.6099595798838953,11,25,51200,804,0.7519251913202475,243.16359398435748,0.9362180233001709,2.390526204614434,0.0035157842,0.2,0.0001,240,0.037841796875,0.005832172692316817,0.9905261993408203,-0.1809954215757898,,
333.5,4516,0.5910504023734929,11,26,53248,357,0.7462355722816718,102.94068396950485,0.2552480399608612,1.4729910983180161,0.0018353718,0.2,0.0001,250,0.004296875,-7.434660219587385e-05,0.5177438259124756,-0.013747232210795346,,
845.5,4652,0.6021786568079774,11,27,55296,854,0.7560478774669941,257.3430939876411,0.09873003512620926,2.913559837907087,0.011650968,0.2,0.0001,260,0.020263671875,0.002413395081384806,0.9853016138076782,-0.14233016223015696,,
348.75,4788,0.5829642911488561,11,28,57344,377,0.7475567383775661,108.52429621362394,0.16155244410037994,1.148412072280189,0.0012279656,0.2,0.0001,270,0.017626953125,0.002912692251993576,0.837105929851532,-0.10892071030702936,,
860.75,4924,0.5964361431561117,12,29,59392,828,0.7570258549449146,250.01816720224997,8.981709480285645,2.5462820433895104,0.0053718854,0.2,0.0001,280,0.02294921875,-0.00015628449618816377,0.98289555311203,-0.20968502967371022,,
,,0.5967721752535838,,,60000,928,0.7601298978695503,,0.4232129156589508,0.9730734654178377,0.007321058,0.2,0.0001,290,0.06904296875,-0.00636300241931167,-0.13877665996551514,-0.24234301066899205,293.2052001953125,945.0
348.0,5553,0.6072796119583977,11,30,61440,359,0.7543910192325711,108.72120434307504,,,,,,,,,,,,
860.0,5689,0.598169691723968,11,31,63488,833,0.7439190442033043,255.25818058538,3.6634860038757324,4.182862395659322,0.016025968,0.2,0.0001,300,0.0072265625,0.002661997866380261,0.7057877779006958,-0.21794395750584955,,
319.5,5825,0.5976754988203505,11,32,65536,333,0.7421908186759777,98.29231354084038,0.1936555951833725,1.078868372720899,0.0046896543,0.2,0.0001,310,0.03603515625,-0.0005522294180991594,0.8167901635169983,-0.20643340008100494,,
831.5,5957,0.5954399169125455,11,33,67584,829,0.7488438099816477,251.10145860182558,3.054370880126953,3.2144647500361314,0.0016031484,0.2,0.0001,320,0.001220703125,2.4291023873956873e-05,0.9684725999832153,-0.22856633046467323,,
321.75,6090,0.5919187098826925,11,34,69632,349,0.7573241190104225,100.37512884419857,0.17766983807086945,1.1653604194056242,0.0024715676,0.2,0.0001,330,0.015234375,1.1598439232329839e-05,0.8309881687164307,-0.11308273572794861,,
833.75,6224,0.6035237869942229,11,35,71680,850,0.7475988853995393,254.19629519904456,0.41495007276535034,2.3811368332826532,0.0013785933,0.2,0.0001,340,0.0087890625,-0.0007590810615511146,0.9830889105796814,-0.2067870556057585,,
341.5,6363,0.6031844548317564,11,36,73728,357,0.7489361049664789,103.76346268632135,0.12902596592903137,1.1099491417000535,0.00053701736,0.2,0.0001,350,0.00966796875,0.00027250854764133693,0.9280028343200684,-0.07057702548336238,,
853.5,6501,0.6017208521536223,11,37,75776,865,0.7584119498455346,263.38550756726875,0.5662487149238586,4.069573720585322,0.0019068164,0.2,0.0001,360,0.022216796875,-0.0034597585916344544,0.992852509021759,-0.15769916987591584,,
