rollout/ep_len_mean,custom/images_selected,rollout/ep_rew_mean,time/fps,custom/mean_confidence,time/time_elapsed,time/iterations,custom/mean_entropy,time/total_timesteps,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_range,train/n_updates,train/entropy_loss,train/value_loss,train/learning_rate,train/explained_variance,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
500.0,417,129.29049729238153,14,0.5942005550023168,139,1,0.7535241781151854,2048,,,,,,,,,,,,
1012.0,738,227.55231590462506,14,0.5887631039367989,284,2,0.7479802851012209,4096,0.019309609566698784,0.21855749,0.7953202724456787,0.2,10,-0.25428744939999887,1.9851095764548519,0.0001,0.6267085671424866,0.35361328125,,
136.75,141,40.23905252374171,14,0.5888345683647307,426,3,0.7267031761392063,6144,-0.01566722911011311,0.023649082,0.6317089200019836,0.2,20,-0.579946186253801,0.9029639719286934,0.0001,0.15657013654708862,0.3173828125,,
648.75,587,174.07598133279,14,0.607485972288687,568,4,0.7414811632257421,8192,-0.006118814012734219,0.01985364,1.2301815748214722,0.2,30,-0.46603520107455554,2.2862305709859356,0.0001,-1.454986572265625,0.1443359375,,
1125.5,929,272.5300611428882,14,0.6003860587515729,708,5,0.7511764528015826,10240,-0.0008122505860228557,0.0049924143,0.5170816779136658,0.2,40,-0.3054427759954706,1.6343609838047997,0.0001,-0.423001766204834,0.08388671875,,
464.75,477,142.5307403277683,14,0.6122345920667609,847,6,0.7449616254365296,12288,-0.024369457484863234,0.054725453,0.3343867063522339,0.2,50,-0.48616756349802015,0.9412896820926108,0.0001,0.3920467495918274,0.329931640625,,
976.75,906,280.1570438412353,14,0.6033596390149962,986,7,0.7531632263835527,14336,-0.00021383974890341051,0.00064373494,3.682512044906616,0.2,60,-0.06997571450228861,2.1133821585564876,0.0001,0.8596584796905518,0.00634765625,,
441.0,433,135.18137195538412,14,0.6099458755301548,1123,8,0.7486242133668058,16384,-0.004229144837518106,0.010698659,0.5367953181266785,0.2,70,-0.29159157935064284,1.024231214640895,0.0001,0.7670332789421082,0.070947265625,,
705.5,908,207.65583447311553,14,0.6037100732641876,1260,9,0.7556201782018419,18432,-0.0002255380211863667,0.0017803411,1.0983105897903442,0.2,80,-0.07918354689383023,2.416492493334226,0.0001,0.9376136660575867,0.0009765625,,
,330,,,0.5856182906663779,,,0.7513239744937781,20000,0.0011850835238874425,0.00023499777,1.783299446105957,0.2,90,-0.18075768229173264,1.7217445875459816,0.0001,0.9088358879089355,0.0220703125,946.0,292.8048400878906
108.0,120,34.190678595786444,10,0.5931842811405659,1871,10,0.7677505711714426,20480,,,,,,,,,,,,
620.0,632,189.22670497449715,11,0.6028069529823864,2004,11,0.7447403021439721,22528,-2.0963401766493916e-06,4.993228e-06,2.157991886138916,0.2,100,-0.05504039065520914,3.780463319120463,0.0001,0.9537466168403625,0.0,,
