epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1555.85,2.41018,3.7699,2.18483,0.47543,0.04062,0.02459,0.01244,2.15037,3.35106,2.04059,0.0670096,0.000333236,0.000333236
2,3046.34,1.8722,3.09827,1.82769,0.32449,0.09876,0.0672,0.03729,1.81404,2.74203,1.78941,0.034009,0.000665918,0.000665918
3,4462.89,1.72487,2.81944,1.72364,0.27702,0.15588,0.10793,0.06237,1.66275,2.43478,1.69384,0.00100572,0.000996,0.000996
4,5867.94,1.62715,2.62194,1.6573,0.30498,0.17674,0.13578,0.08068,1.58174,2.28539,1.6085,0.000991232,0.000991232,0.000991232
5,7378.71,1.5659,2.47211,1.61243,0.32846,0.20513,0.17304,0.10573,1.50516,2.12868,1.56698,0.000984449,0.000984449,0.000984449
6,8853.4,1.51532,2.35422,1.57301,0.33508,0.22516,0.19302,0.12088,1.47204,2.02278,1.5317,0.000975773,0.000975773,0.000975773
7,10330.8,1.47925,2.25889,1.54761,0.36615,0.24436,0.21578,0.13681,1.41822,1.93527,1.49361,0.000965239,0.000965239,0.000965239
8,11804,1.4493,2.18309,1.52675,0.38874,0.25609,0.23489,0.1494,1.3934,1.86926,1.47647,0.000952889,0.000952889,0.000952889
9,13309.3,1.42403,2.11965,1.50877,0.41083,0.26665,0.25562,0.16442,1.35711,1.80678,1.44759,0.000938772,0.000938772,0.000938772
10,14820.2,1.40111,2.05644,1.4908,0.41637,0.28341,0.27027,0.1754,1.34013,1.75638,1.43645,0.000922942,0.000922942,0.000922942
11,16323.9,1.37932,2.00393,1.47364,0.42611,0.29542,0.2816,0.18505,1.3165,1.70744,1.42041,0.000905463,0.000905463,0.000905463
12,17800.9,1.35889,1.95295,1.45991,0.43776,0.29884,0.2985,0.19663,1.29571,1.66125,1.40813,0.000886404,0.000886404,0.000886404
13,19272.1,1.34807,1.92067,1.45529,0.44551,0.31769,0.30941,0.20463,1.27805,1.63282,1.39667,0.000865839,0.000865839,0.000865839
14,20743.4,1.32587,1.87734,1.43908,0.46739,0.32009,0.32241,0.21479,1.26213,1.59208,1.38537,0.000843851,0.000843851,0.000843851
15,22213.4,1.31377,1.84355,1.42951,0.45963,0.33428,0.3316,0.22143,1.24723,1.56429,1.37505,0.000820525,0.000820525,0.000820525
16,23686,1.30258,1.79181,1.41602,0.47848,0.33953,0.34254,0.2287,1.23664,1.53639,1.36556,0.000795954,0.000795954,0.000795954
17,25159.2,1.28909,1.77128,1.40778,0.48444,0.34171,0.3506,0.23463,1.22678,1.51192,1.35872,0.000770234,0.000770234,0.000770234
18,26634.7,1.27207,1.73861,1.39657,0.47826,0.35505,0.35743,0.24135,1.21665,1.49109,1.35063,0.000743468,0.000743468,0.000743468
19,28108.9,1.26138,1.70999,1.39012,0.47278,0.35779,0.36173,0.2449,1.205,1.46978,1.34319,0.000715761,0.000715761,0.000715761
20,29579.9,1.2469,1.67173,1.38094,0.49749,0.36288,0.37268,0.25288,1.19485,1.44827,1.33639,0.000687222,0.000687222,0.000687222
21,31053.8,1.24134,1.64659,1.37252,0.50225,0.36739,0.37789,0.2568,1.1893,1.43564,1.33095,0.000657963,0.000657963,0.000657963
22,32524.7,1.23061,1.62544,1.3658,0.50646,0.37033,0.38406,0.26171,1.18234,1.42275,1.32637,0.000628101,0.000628101,0.000628101
23,33997,1.21797,1.59769,1.35977,0.51909,0.37471,0.38922,0.26537,1.17611,1.40599,1.32099,0.000597754,0.000597754,0.000597754
24,35469.6,1.20981,1.57348,1.35317,0.5138,0.38394,0.39424,0.26881,1.16966,1.39085,1.31699,0.00056704,0.00056704,0.00056704
25,36943.2,1.19514,1.55833,1.3437,0.50366,0.3921,0.39838,0.27226,1.16332,1.38113,1.31091,0.000536081,0.000536081,0.000536081
26,38416.4,1.18928,1.52951,1.33754,0.52012,0.39218,0.40252,0.27574,1.15901,1.36992,1.3067,0.000505,0.000505,0.000505
27,39889.2,1.18061,1.50616,1.33086,0.52739,0.39106,0.40618,0.27853,1.15503,1.35903,1.30428,0.000473919,0.000473919,0.000473919
28,41362.9,1.17215,1.48969,1.32415,0.52321,0.39571,0.4094,0.28084,1.1508,1.34997,1.30196,0.00044296,0.00044296,0.00044296
29,42834.7,1.16217,1.46636,1.31688,0.52439,0.39511,0.41189,0.28336,1.14778,1.34183,1.29978,0.000412246,0.000412246,0.000412246
30,44309.5,1.15714,1.45036,1.31425,0.52664,0.40194,0.41432,0.2856,1.1449,1.3355,1.29804,0.000381899,0.000381899,0.000381899
31,45778.8,1.14634,1.42679,1.30571,0.527,0.40513,0.41698,0.28746,1.14252,1.32866,1.29622,0.000352037,0.000352037,0.000352037
32,47249.2,1.14049,1.40922,1.3036,0.5284,0.40619,0.41906,0.28886,1.14057,1.32287,1.29436,0.000322778,0.000322778,0.000322778
33,48721.4,1.12976,1.39037,1.29568,0.53116,0.40752,0.42057,0.29047,1.13897,1.31828,1.2929,0.000294239,0.000294239,0.000294239
34,50192.3,1.12433,1.3705,1.28952,0.54091,0.40544,0.42206,0.29184,1.13735,1.31348,1.29143,0.000266532,0.000266532,0.000266532
35,51660.9,1.11726,1.36155,1.28489,0.54342,0.40629,0.42397,0.29314,1.13573,1.31018,1.29014,0.000239766,0.000239766,0.000239766
36,53133.9,1.10911,1.34208,1.28004,0.5469,0.40547,0.42528,0.29443,1.134,1.30722,1.289,0.000214046,0.000214046,0.000214046
37,54607.1,1.10577,1.33379,1.27856,0.54928,0.40476,0.42625,0.29514,1.1329,1.30429,1.28806,0.000189475,0.000189475,0.000189475
38,56080.9,1.09781,1.31466,1.27416,0.54786,0.40633,0.42741,0.29593,1.13176,1.3012,1.28726,0.000166149,0.000166149,0.000166149
39,57557,1.09752,1.30584,1.27281,0.54924,0.40712,0.42843,0.29667,1.13113,1.29868,1.28662,0.000144161,0.000144161,0.000144161
40,59033.3,1.09123,1.29682,1.26986,0.54866,0.40765,0.42913,0.29735,1.12998,1.29637,1.28569,0.000123596,0.000123596,0.000123596
41,60525.2,1.06639,1.19248,1.24668,0.55074,0.40718,0.42972,0.29771,1.12962,1.29419,1.28533,0.000104537,0.000104537,0.000104537
42,61987.6,1.05671,1.16704,1.24058,0.55273,0.40712,0.43067,0.29832,1.1291,1.2923,1.2849,8.70577e-05,8.70577e-05,8.70577e-05
43,63459.7,1.05193,1.15517,1.23714,0.55318,0.40819,0.43146,0.29875,1.12819,1.29066,1.2843,7.12282e-05,7.12282e-05,7.12282e-05
44,64934.3,1.04402,1.1431,1.23237,0.55401,0.40943,0.43206,0.29931,1.12765,1.28892,1.284,5.71106e-05,5.71106e-05,5.71106e-05
45,66468.3,1.03986,1.13078,1.22868,0.5518,0.41006,0.43206,0.29962,1.12725,1.28765,1.28388,4.47606e-05,4.47606e-05,4.47606e-05
46,68011.9,1.03924,1.12572,1.22931,0.55118,0.41145,0.43232,0.29988,1.12688,1.28668,1.28363,3.4227e-05,3.4227e-05,3.4227e-05
47,69548.3,1.0343,1.12101,1.22627,0.55147,0.41177,0.43281,0.30036,1.12663,1.28553,1.2834,2.55513e-05,2.55513e-05,2.55513e-05
48,71054.7,1.03646,1.11436,1.22706,0.55319,0.41171,0.43313,0.30068,1.1264,1.28456,1.28329,1.87678e-05,1.87678e-05,1.87678e-05
49,72567.2,1.03098,1.11384,1.2256,0.5534,0.41237,0.43336,0.301,1.12615,1.28372,1.28312,1.39032e-05,1.39032e-05,1.39032e-05
