rollout/ep_len_mean,custom/mean_confidence,rollout/ep_rew_mean,custom/mean_entropy,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,custom/images_selected,train/explained_variance,train/clip_range,train/loss,train/n_updates,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/learning_rate
500.0,0.5903147705830634,126.96549105051673,0.7529506782302633,13,2048,1,150,417,,,,,,,,,,
1012.0,0.5922455976833589,231.68038327697693,0.7510925463284366,13,4096,2,296,758,0.6343003511428833,0.2,0.46660882234573364,10,0.028696131,0.261083984375,0.015358870447380468,-0.31367475071056106,1.9547851456445642,0.0001
172.0,0.566995667723509,50.747881638696825,0.7838753711043315,13,6144,3,440,171,0.33209794759750366,0.2,0.3831939101219177,20,0.03439544,0.29140625,-0.016656979190156563,-0.5298629244090989,1.0627803246141412,0.0001
684.0,0.5854139556888202,203.04803820785864,0.7485826846496645,14,8192,4,582,661,-0.20231711864471436,0.2,0.4513559937477112,30,0.02345188,0.06845703125,-0.0046221546232118275,-0.4411953694769181,2.2111994301551023,0.0001
78.25,0.5560970751207266,24.11554608065551,0.734239013782188,14,10240,5,724,67,-0.7311923503875732,0.2,0.6078128814697266,40,0.0018136919,0.02548828125,0.0018687536918150726,-0.17319597111199983,1.598293534759432,0.0001
590.25,0.5899161544076725,180.06208851084753,0.753983684952189,14,12288,6,865,577,0.6748811602592468,0.2,0.7637255191802979,50,0.045555167,0.186083984375,-0.017424537061015145,-0.3995647669187747,2.482826314098202,0.0001
88.0,0.5721846423042354,27.313719786397446,0.7246777904567434,14,14336,7,1005,67,-0.01849079132080078,0.2,2.12520432472229,60,7.125229e-05,0.0009765625,8.432632603216916e-06,-0.014156332491620561,3.2716041239211338,0.0001
600.0,0.6042454959712086,186.1263397530023,0.7523010119873007,14,16384,8,1143,579,0.8620963096618652,0.2,1.0113822221755981,70,0.02089084,0.060400390625,-0.005637380619009491,-0.23796245682169684,2.7724564192234538,0.0001
126.75,0.6107105432913221,38.20246176738511,0.7579363353293518,14,18432,9,1281,116,-0.0877678394317627,0.2,0.2182447761297226,80,3.2041105e-05,0.000390625,-5.1580397121142595e-05,-0.00022466944311752,3.1300039098598065,0.0001
