custom/images_selected,rollout/ep_len_mean,time/total_timesteps,custom/mean_confidence,time/fps,rollout/ep_rew_mean,time/iterations,custom/mean_entropy,time/time_elapsed,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/n_updates,train/loss,train/clip_range,train/value_loss,eval/mean_ep_length,eval/mean_reward
417,500.0,2048,0.595467554172501,14,129.00095883238956,1,0.7507211895426735,138,,,,,,,,,,,,
911,1012.0,4096,0.5908160318213049,14,280.1070422144848,2,0.7486966530123027,286,0.6389284729957581,2.301406,0.04102552920376183,0.0001,0.644189453125,-0.03118832918316885,10,0.5853930711746216,0.2,2.0747797831660137,,
452,441.5,6144,0.5887147215879069,14,136.0765102924478,3,0.7449100797715704,431,0.47377902269363403,0.0029219016,0.0035837166040437298,0.0001,0.025537109375,-0.13070945558388303,20,0.570587158203125,0.2,2.8186420650221407,,
944,953.5,8192,0.590340938063578,14,287.1055832745358,4,0.7414267397103097,577,-1.4130661487579346,0.00030379224,-0.00011761496352846734,0.0001,0.000927734375,-0.07448051601922026,30,0.8953235149383545,0.2,2.171724232356064,,
509,486.25,10240,0.6056393214550843,14,148.16746729054472,5,0.7391759747957668,721,0.2891450524330139,0.027983464,0.003685442706773756,0.0001,0.013427734375,-0.14870842802083645,40,0.859936535358429,0.2,1.545701549644582,,
11,867.21,12288,0.6520488099618391,14,251.73012603750598,6,0.7398128523067995,863,0.7463724613189697,2.0144798e-06,-4.167894876445643e-05,0.0001,0.0,-0.018702536099426226,50,5.203761100769043,0.2,2.9503598261391746,,
523,501.25,14336,0.6009969943796015,14,156.3991308366257,7,0.7489748290574345,1006,0.7510892152786255,0.008127945,-0.002907705336838262,0.0001,0.041943359375,-0.20129487474623603,60,1.2292066812515259,0.2,1.9283759692218154,,
43,60.45,16384,0.5878391203492187,14,17.564586102418854,8,0.7770940803511198,1145,0.2754365801811218,6.213668e-08,-1.5162483032327146e-05,0.0001,0.0,-0.002782487609209028,70,1.7890815734863281,0.2,3.824613839783706,,
555,532.25,18432,0.5983640963966782,14,163.2532132351556,9,0.7517380421360333,1287,0.8936403393745422,0.006668697,-0.0006180852971738205,0.0001,0.0234375,-0.17189533122291323,80,1.7156386375427246,0.2,2.3403360125492325,,
926,,20000,0.6051352931379516,,,,0.7535221016006919,,-1.592453956604004,0.0,1.3371645763982086e-07,0.0001,0.0,-1.4606398073629957e-06,90,6.0641374588012695,0.2,3.8025965257780627,946.0,290.251953125
