epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1499.97,2.39358,3.81869,2.20696,0.4513,0.02847,0.02128,0.01091,2.16648,3.42937,2.07333,0.0670099,0.000333233,0.000333233
2,2965.41,1.88572,3.16683,1.85368,0.35556,0.09941,0.06058,0.03293,1.80109,2.79602,1.81749,0.0340093,0.000665915,0.000665915
3,4418.34,1.7332,2.89168,1.75079,0.30425,0.13226,0.09165,0.0527,1.6826,2.49406,1.70869,0.00100604,0.000995997,0.000995997
4,5862.18,1.64172,2.68663,1.67967,0.30126,0.17659,0.12468,0.07314,1.57824,2.29465,1.62666,0.000991232,0.000991232,0.000991232
5,7306.85,1.57925,2.54828,1.63653,0.30329,0.19636,0.15481,0.09346,1.51251,2.17344,1.58833,0.000984449,0.000984449,0.000984449
6,8753.63,1.52834,2.4332,1.6016,0.31258,0.21243,0.17399,0.10715,1.4746,2.08416,1.54915,0.000975773,0.000975773,0.000975773
7,10200.4,1.49293,2.34208,1.57087,0.33716,0.23557,0.19768,0.12227,1.42848,1.97953,1.52293,0.000965239,0.000965239,0.000965239
8,11645.1,1.46091,2.26315,1.54717,0.34349,0.24952,0.22295,0.14123,1.3909,1.89587,1.49136,0.000952889,0.000952889,0.000952889
9,13091.8,1.43422,2.20082,1.53059,0.3732,0.25868,0.23286,0.14896,1.37061,1.85184,1.47889,0.000938772,0.000938772,0.000938772
10,14534.7,1.41179,2.14247,1.51253,0.39778,0.27378,0.2522,0.1617,1.34663,1.7834,1.45697,0.000922942,0.000922942,0.000922942
11,15979,1.39555,2.0824,1.49535,0.39015,0.27986,0.26067,0.16844,1.32363,1.74017,1.44209,0.000905463,0.000905463,0.000905463
12,17425.7,1.3766,2.03905,1.48457,0.39492,0.29285,0.27782,0.18193,1.30375,1.70321,1.43057,0.000886404,0.000886404,0.000886404
13,18874.7,1.35966,1.99217,1.47072,0.41092,0.30314,0.28943,0.19127,1.28575,1.66921,1.41672,0.000865839,0.000865839,0.000865839
14,20323.7,1.34308,1.96133,1.46212,0.41461,0.31625,0.30762,0.20351,1.26288,1.62413,1.40255,0.000843851,0.000843851,0.000843851
15,21767.7,1.32574,1.91585,1.44693,0.43277,0.32815,0.31905,0.21299,1.25327,1.59115,1.38972,0.000820525,0.000820525,0.000820525
16,23212.8,1.31666,1.88237,1.44041,0.44561,0.33132,0.32721,0.2183,1.2453,1.56209,1.38447,0.000795954,0.000795954,0.000795954
17,24661.1,1.29939,1.84866,1.42871,0.44966,0.33748,0.33168,0.22193,1.22901,1.5401,1.37222,0.000770234,0.000770234,0.000770234
18,26115.5,1.28689,1.81248,1.41833,0.46633,0.3389,0.34173,0.22975,1.22309,1.51681,1.37105,0.000743468,0.000743468,0.000743468
19,27565,1.27561,1.78298,1.41003,0.47652,0.34718,0.34916,0.23535,1.21141,1.4942,1.36021,0.000715761,0.000715761,0.000715761
20,28989.8,1.26686,1.76039,1.40265,0.46349,0.35416,0.35389,0.23866,1.2,1.47555,1.34991,0.000687222,0.000687222,0.000687222
21,30426,1.25377,1.73116,1.39403,0.48101,0.35701,0.36121,0.24466,1.19441,1.45709,1.34513,0.000657963,0.000657963,0.000657963
22,31882.4,1.24248,1.70401,1.38708,0.47323,0.36118,0.36536,0.24758,1.1891,1.44279,1.34144,0.000628101,0.000628101,0.000628101
23,33377.3,1.23543,1.67322,1.37906,0.48876,0.36201,0.37016,0.25163,1.1832,1.42602,1.33782,0.000597754,0.000597754,0.000597754
24,34791.3,1.22422,1.65692,1.37009,0.49512,0.36674,0.37651,0.25532,1.17672,1.41213,1.33106,0.00056704,0.00056704,0.00056704
25,36186.7,1.21484,1.63129,1.36569,0.48407,0.37389,0.38051,0.25853,1.17089,1.39922,1.32692,0.000536081,0.000536081,0.000536081
26,37724.7,1.20893,1.61288,1.36153,0.48717,0.38065,0.38403,0.26137,1.16762,1.38925,1.32465,0.000505,0.000505,0.000505
27,39159.3,1.19466,1.58514,1.35019,0.49507,0.38107,0.38859,0.26491,1.16412,1.37974,1.32257,0.000473919,0.000473919,0.000473919
28,40595.6,1.18987,1.56406,1.34641,0.50283,0.38521,0.39372,0.26842,1.15988,1.36772,1.31853,0.00044296,0.00044296,0.00044296
29,42056.8,1.18025,1.53972,1.34032,0.49463,0.39163,0.39854,0.27161,1.15654,1.35933,1.31633,0.000412246,0.000412246,0.000412246
30,43556.7,1.17151,1.52203,1.33186,0.49714,0.39459,0.40165,0.27427,1.15431,1.35225,1.31464,0.000381899,0.000381899,0.000381899
31,45063.4,1.16094,1.50168,1.32456,0.50746,0.39532,0.40444,0.27633,1.15136,1.34575,1.31237,0.000352037,0.000352037,0.000352037
32,46503,1.15556,1.48062,1.32174,0.51069,0.39562,0.40643,0.278,1.14884,1.34071,1.31063,0.000322778,0.000322778,0.000322778
33,47931.8,1.14815,1.46408,1.31442,0.51116,0.39661,0.40867,0.27964,1.14709,1.33641,1.3087,0.000294239,0.000294239,0.000294239
34,49370.7,1.14156,1.44565,1.31035,0.51159,0.39886,0.41123,0.28209,1.14543,1.33304,1.30699,0.000266532,0.000266532,0.000266532
35,50784.9,1.13719,1.43342,1.30776,0.51372,0.40121,0.41288,0.28337,1.14404,1.3291,1.30525,0.000239766,0.000239766,0.000239766
36,52192.1,1.13055,1.41612,1.30403,0.51547,0.4009,0.41392,0.28413,1.14311,1.32555,1.3042,0.000214046,0.000214046,0.000214046
37,53550.7,1.12649,1.4016,1.29822,0.51269,0.40269,0.41536,0.28532,1.14205,1.32204,1.30303,0.000189475,0.000189475,0.000189475
38,54895,1.1159,1.38504,1.29462,0.51942,0.40189,0.41644,0.28576,1.14081,1.31936,1.302,0.000166149,0.000166149,0.000166149
39,56234.9,1.11371,1.37724,1.29029,0.52433,0.40117,0.41785,0.28684,1.14009,1.31689,1.3012,0.000144161,0.000144161,0.000144161
40,57584.1,1.10536,1.36425,1.28606,0.52512,0.39885,0.41864,0.28761,1.13952,1.31436,1.3005,0.000123596,0.000123596,0.000123596
