epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1459.17,2.4133,3.80922,2.2209,0.4376,0.05968,0.02387,0.01149,2.13537,3.31844,2.03842,0.0670107,0.000333225,0.000333225
2,2857.25,1.89394,3.14988,1.85619,0.34969,0.10799,0.06619,0.0356,1.83058,2.73741,1.79917,0.0340101,0.000665907,0.000665907
3,4241.78,1.74134,2.88092,1.75026,0.30148,0.13778,0.09246,0.05338,1.67885,2.51756,1.71955,0.00100683,0.000995989,0.000995989
4,5555.6,1.64704,2.67652,1.68417,0.30277,0.17509,0.12938,0.07715,1.59708,2.32517,1.6545,0.000991232,0.000991232,0.000991232
5,6902.14,1.58348,2.52511,1.63625,0.28729,0.20078,0.15383,0.09294,1.54445,2.20358,1.61131,0.000984449,0.000984449,0.000984449
6,8282.96,1.53789,2.40805,1.60398,0.33787,0.22005,0.18183,0.11287,1.48307,2.06574,1.56579,0.000975773,0.000975773,0.000975773
7,9695.5,1.49159,2.31086,1.57153,0.35697,0.23476,0.20417,0.12785,1.44903,2.00399,1.53814,0.000965239,0.000965239,0.000965239
8,11097.7,1.46393,2.23904,1.55149,0.36447,0.25123,0.22533,0.14319,1.41438,1.91208,1.50887,0.000952889,0.000952889,0.000952889
9,12447.5,1.43899,2.16471,1.53007,0.39667,0.25105,0.236,0.15043,1.39541,1.89051,1.49256,0.000938772,0.000938772,0.000938772
10,13810,1.41152,2.10542,1.51344,0.41521,0.27118,0.25467,0.16377,1.36514,1.81345,1.47218,0.000922942,0.000922942,0.000922942
11,15216,1.39346,2.04445,1.49684,0.41112,0.28069,0.27105,0.17663,1.33895,1.75688,1.45529,0.000905463,0.000905463,0.000905463
12,16640.7,1.37428,2.00136,1.48261,0.41764,0.29398,0.28115,0.18366,1.32439,1.71478,1.44195,0.000886404,0.000886404,0.000886404
13,18023.1,1.35702,1.95701,1.46934,0.42942,0.29813,0.29459,0.19408,1.30355,1.67471,1.42509,0.000865839,0.000865839,0.000865839
14,19362.4,1.34154,1.92151,1.45823,0.44495,0.31015,0.30576,0.20362,1.28847,1.63602,1.41734,0.000843851,0.000843851,0.000843851
15,20711.7,1.32843,1.88471,1.44814,0.46272,0.31723,0.31815,0.21163,1.27489,1.60974,1.40523,0.000820525,0.000820525,0.000820525
16,22049.5,1.31417,1.83943,1.43751,0.45079,0.3229,0.32563,0.21672,1.26108,1.581,1.39427,0.000795954,0.000795954,0.000795954
17,23376.1,1.30156,1.81074,1.42863,0.45959,0.33913,0.33796,0.22658,1.24639,1.55091,1.38667,0.000770234,0.000770234,0.000770234
18,24687.5,1.28677,1.77731,1.4199,0.46044,0.34263,0.34504,0.23264,1.23577,1.52667,1.37945,0.000743468,0.000743468,0.000743468
19,26055.2,1.27339,1.74492,1.40896,0.48813,0.34409,0.35282,0.23814,1.2254,1.5049,1.36999,0.000715761,0.000715761,0.000715761
20,27422,1.26314,1.71818,1.40248,0.49922,0.34645,0.35959,0.24292,1.21838,1.48739,1.36413,0.000687222,0.000687222,0.000687222
21,28740.5,1.2541,1.68848,1.3922,0.49519,0.35524,0.36627,0.24734,1.21074,1.46849,1.35817,0.000657963,0.000657963,0.000657963
22,30073.2,1.24205,1.65889,1.38413,0.5043,0.35801,0.37272,0.25312,1.20209,1.45055,1.35406,0.000628101,0.000628101,0.000628101
23,31402,1.23157,1.63829,1.37758,0.52231,0.35749,0.37837,0.2574,1.19534,1.43402,1.3467,0.000597754,0.000597754,0.000597754
24,32732,1.2226,1.60982,1.37118,0.50306,0.37075,0.38289,0.26042,1.18955,1.41977,1.34283,0.00056704,0.00056704,0.00056704
25,34062.9,1.21254,1.58184,1.36312,0.50435,0.37319,0.38656,0.26231,1.18343,1.40746,1.33912,0.000536081,0.000536081,0.000536081
26,35391.9,1.20661,1.56005,1.35742,0.50624,0.373,0.38865,0.26483,1.17775,1.3971,1.33396,0.000505,0.000505,0.000505
27,36700.5,1.19183,1.53596,1.34694,0.50605,0.37755,0.39287,0.268,1.173,1.38538,1.32947,0.000473919,0.000473919,0.000473919
28,38021.4,1.18591,1.51929,1.3454,0.51548,0.38014,0.39603,0.27104,1.1695,1.37442,1.32725,0.00044296,0.00044296,0.00044296
29,39346.4,1.17261,1.49499,1.33486,0.51941,0.38229,0.40019,0.274,1.16629,1.36495,1.32422,0.000412246,0.000412246,0.000412246
30,40670.7,1.16594,1.47844,1.33106,0.53148,0.38182,0.40294,0.27639,1.16263,1.35755,1.32154,0.000381899,0.000381899,0.000381899
31,41992.2,1.16261,1.45621,1.3253,0.51791,0.38881,0.40403,0.27749,1.16024,1.35102,1.31876,0.000352037,0.000352037,0.000352037
32,43317.2,1.15573,1.4478,1.32116,0.52747,0.38604,0.40689,0.28022,1.15777,1.34454,1.31716,0.000322778,0.000322778,0.000322778
33,44643.4,1.14323,1.42125,1.31237,0.53093,0.38624,0.40865,0.28066,1.15521,1.3401,1.31494,0.000294239,0.000294239,0.000294239
34,45974.5,1.13877,1.40334,1.3092,0.52706,0.39066,0.41095,0.28245,1.15389,1.33524,1.3138,0.000266532,0.000266532,0.000266532
35,47303.6,1.13138,1.3865,1.30249,0.5213,0.39575,0.4125,0.28376,1.15266,1.33151,1.3127,0.000239766,0.000239766,0.000239766
36,48633.8,1.12356,1.37166,1.2987,0.52364,0.39824,0.41431,0.28486,1.15126,1.32763,1.31206,0.000214046,0.000214046,0.000214046
37,49959,1.11807,1.35486,1.29487,0.52798,0.39857,0.41556,0.28568,1.14972,1.32461,1.31091,0.000189475,0.000189475,0.000189475
38,51288.4,1.11437,1.35083,1.2921,0.52946,0.39907,0.41654,0.28627,1.14928,1.32191,1.31059,0.000166149,0.000166149,0.000166149
39,52613.9,1.10736,1.333,1.28922,0.53088,0.4004,0.41719,0.28673,1.1486,1.31961,1.3101,0.000144161,0.000144161,0.000144161
40,53946.1,1.09947,1.32025,1.28293,0.53172,0.39999,0.41781,0.28719,1.14763,1.31736,1.30911,0.000123596,0.000123596,0.000123596
41,55295.3,1.07634,1.21346,1.26339,0.53759,0.39614,0.41825,0.28774,1.14704,1.31617,1.30857,0.000104537,0.000104537,0.000104537
42,56620.8,1.0658,1.1882,1.25848,0.53475,0.39799,0.41929,0.28866,1.14643,1.31443,1.30824,8.70577e-05,8.70577e-05,8.70577e-05
43,57946.9,1.05681,1.17507,1.25216,0.53378,0.40012,0.41998,0.28926,1.14607,1.31276,1.30815,7.12282e-05,7.12282e-05,7.12282e-05
44,59268.7,1.05482,1.1635,1.24952,0.53222,0.40122,0.42069,0.28967,1.1459,1.31178,1.30799,5.71106e-05,5.71106e-05,5.71106e-05
45,60593.7,1.05034,1.15586,1.24609,0.5331,0.40148,0.42097,0.28984,1.14558,1.311,1.30799,4.47606e-05,4.47606e-05,4.47606e-05
46,61924.4,1.04577,1.14752,1.24254,0.53266,0.40276,0.42125,0.29007,1.14552,1.31014,1.30809,3.4227e-05,3.4227e-05,3.4227e-05
47,63255.2,1.04421,1.14386,1.24283,0.53164,0.4031,0.42132,0.29037,1.14552,1.30926,1.30818,2.55513e-05,2.55513e-05,2.55513e-05
48,64577.9,1.04498,1.13583,1.24037,0.53053,0.40513,0.42182,0.29052,1.14554,1.30867,1.30821,1.87678e-05,1.87678e-05,1.87678e-05
49,65902,1.04128,1.13337,1.23861,0.5317,0.40392,0.42206,0.29071,1.14536,1.30819,1.30818,1.39032e-05,1.39032e-05,1.39032e-05
50,67226.1,1.03974,1.1299,1.23694,0.52979,0.40465,0.42221,0.29074,1.14523,1.30766,1.30817,1.09768e-05,1.09768e-05,1.09768e-05
