rollout/ep_len_mean,custom/mean_entropy,time/iterations,time/total_timesteps,rollout/ep_rew_mean,custom/mean_confidence,time/time_elapsed,time/fps,custom/images_selected,train/clip_range,train/value_loss,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/learning_rate,train/loss,eval/mean_reward,eval/mean_ep_length
500.0,0.7421494523005094,1,2048,123.26477276262945,0.5927412147284485,141,14,417,,,,,,,,,,,,
1012.0,0.7373108591273194,2,4096,249.36565895137343,0.6092110541067086,286,14,851,0.2,2.025196086685173,0.089294955,-0.2877242425849545,0.019034531706711277,10,0.6603178977966309,0.306982421875,0.0001,0.2859906852245331,,
322.75,0.7474338836604502,3,6144,98.66891964949421,0.6022344046249622,433,14,324,0.2,1.3945883146254345,0.02305297,-0.3295307294116355,-0.00434244694915833,20,-0.049607157707214355,0.099951171875,0.0001,0.4352456331253052,,
834.75,0.746427983010099,4,8192,241.33908986790436,0.6068888630185808,578,14,803,0.2,2.0322521966765636,0.00417143,-0.24465547807922122,-0.00015610143673256972,30,-1.7798528671264648,0.010888671875,0.0001,0.20683200657367706,,
286.0,0.7392872627379544,5,10240,84.43912050468542,0.6303532040159857,721,14,293,0.2,1.399650679784827,0.0038276734,-0.18581731404992752,-0.0019526764106558403,40,0.2150549292564392,0.035009765625,0.0001,0.7387004494667053,,
798.0,0.7394098652075537,6,12288,235.4456165474812,0.6109873454022852,866,14,801,0.2,1.8588918514200485,0.026669582,-0.23504078833465628,-0.004479684039688436,50,0.8736674189567566,0.06962890625,0.0001,0.5128193497657776,,
324.75,0.7487240921772883,7,14336,99.9176484319561,0.5901649160656387,1010,14,334,0.2,2.2249461822910233,0.000690339,-0.03579912560144294,0.0015634521383617538,60,0.45772844552993774,0.004345703125,0.0001,3.238450527191162,,
836.75,0.741902407417272,8,16384,256.52076489849094,0.6014115356313985,1150,14,844,0.2,3.1384840319398792,0.00046387,-0.15805597734869242,0.0004155702139541972,70,0.8704319000244141,0.005615234375,0.0001,1.020429253578186,,
361.25,0.7372052340574984,9,18432,107.8094976664429,0.6063462709480861,1292,14,371,0.2,2.453755370946601,0.00013178017,-0.017793553293677176,0.00018754187403828836,80,0.41146838665008545,0.002685546875,0.0001,0.3628624677658081,,
,0.746227175075551,,20000,,0.6000778338336569,,,762,0.2,3.2828330074320546,0.0018115556,-0.12902617106011355,-0.0010200995231571142,90,0.9523105621337891,0.014404296875,0.0001,0.617191731929779,287.0059814453125,946.0
108.0,0.7460557500521342,10,20480,33.70165599393872,0.5867641503612201,1924,10,120,,,,,,,,,,,,
620.0,0.7428336699222085,11,22528,189.18101098459275,0.6048838815451423,2060,10,632,0.2,4.78008243269287,2.3283064e-10,-0.0005092009909098749,1.1021750833606347e-05,100,0.514578104019165,0.0,0.0001,2.5341341495513916,,
165.75,0.7733730150191165,12,24576,50.81378629344642,0.6192615705629738,2195,11,181,0.2,3.9695325344568118,0.0,-2.259968666608325e-06,-7.865310180932283e-10,110,0.16315144300460815,0.0,0.0001,0.6543715000152588,,
677.75,0.7590312445576572,13,26624,206.79700788112893,0.6066331324983297,2331,11,693,0.2,3.644637534022331,0.00056861335,-0.10932452750112134,0.0008494286110362736,120,0.9491170644760132,0.00625,0.0001,0.26299819350242615,,
206.75,0.7330458680024514,14,28672,61.99845772517414,0.6069305245153505,2468,11,221,0.2,3.782182649592869,0.0,-0.00010690011307552538,-1.1503216228447854e-07,130,0.057618141174316406,0.0,0.0001,2.0117931365966797,,
718.75,0.742262299926024,15,30720,219.5265848406999,0.602518969839299,2606,11,733,0.2,3.1274216267163863,0.00090746704,-0.13670592108646815,0.0007592562360514421,140,0.9647163152694702,0.00771484375,0.0001,1.3806931972503662,,
257.25,0.7528019563387368,16,32768,78.97487575348833,0.599674618767418,2742,11,262,0.2,3.3346658886759544,3.0559022e-09,-0.0004859347371883871,5.971742211841047e-08,150,-2.3631057739257812,0.0,0.0001,0.2600851356983185,,
769.25,0.7427936982777383,17,34816,232.3528380863463,0.6074532710535582,2877,12,774,0.2,3.7111767193302514,0.011354158,-0.17314215324913676,0.002546311749756569,160,0.9619624614715576,0.019677734375,0.0001,0.5971739888191223,,
295.75,0.7512391239901384,18,36864,91.9649216376942,0.6030217283964157,3010,12,300,0.2,2.4147061060881243,0.0013405565,-0.01395520071911278,0.0006919724044564645,170,-0.5749692916870117,0.000634765625,0.0001,1.3981099128723145,,
807.75,0.7406412785863642,19,38912,245.4023434403731,0.6060951226597349,3143,12,806,0.2,2.7932203189004214,0.0026043984,-0.18781780641584192,0.0029600137717352482,180,0.9825969338417053,0.022021484375,0.0001,0.6087732315063477,,
