time/total_timesteps,custom/mean_confidence,custom/images_selected,time/fps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,custom/mean_entropy,rollout/ep_len_mean,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/n_updates,eval/mean_ep_length,eval/mean_reward
75776,0.6032457008592872,914,11,37,6493,233.08127334925484,0.7566777603091778,775.93,-1.3870984548702837e-05,-0.06247874531416642,0.2,0.0001,0.0,0.19135765731334686,0.9956960082054138,3.074027484405087,4.8795046e-06,360,,
77824,0.6169543749930566,456,11,38,6627,147.16711679466798,0.7394812762279782,481.0,-0.0013890597423596774,-0.1763579793390818,0.2,0.0001,0.015234375,0.18750587105751038,0.9966323375701904,0.849788301542867,0.0048518707,370,,
79872,0.6157635489463313,932,11,39,6759,144.40518395122962,0.7404987935654141,498.25,2.476952358847484e-05,-0.03156992780113441,0.2,0.0001,0.0,0.39952558279037476,0.9883858561515808,1.7891303517855703,1.01770565e-05,380,,
80000,0.39052605132261914,6,,,,,0.7129566768805186,,-0.0032739500275056344,-0.12454600309538363,0.2,0.0001,0.0501953125,0.5310643315315247,0.9958356618881226,0.9735392097616569,0.03786005,390,946.0,291.36376953125
81920,0.6121108463654915,480,11,40,7358,140.02632877883542,0.7366913282002012,468.0,,,,,,,,,,,,
83968,0.6030469715595246,30,11,41,7491,38.29060051356067,0.7431758825977643,127.79,-5.34112608875148e-05,-0.011280625412320711,0.2,0.0001,0.0,0.5209199786186218,0.9806740283966064,3.6074604979774447,1.8107821e-06,400,,
86016,0.6091450502291816,542,11,42,7625,159.17215104503273,0.7466323216517913,523.25,-0.0018255292321555316,-0.07394911932021006,0.2,0.0001,0.0171875,0.1053105890750885,0.9955533742904663,0.8880430201767012,0.0022085402,410,,
88064,0.5800324449936549,90,11,43,7758,21.496222924340508,0.7886935306919945,72.0,-1.8844730220735072e-10,-1.0641971766132297e-11,0.2,0.0001,0.0,0.43940773606300354,0.6365529298782349,2.540816749929218,0.0,420,,
90112,0.5952700110665984,602,11,44,7890,179.16846071887124,0.7704706483851635,584.0,0.00025740058117662556,-0.0670395144658528,0.2,0.0001,0.003271484375,0.7035261392593384,0.9954466819763184,1.1878059489361477,0.00036227546,430,,
92160,0.6072584335377674,151,11,45,8023,42.04015744884477,0.7547783051302891,137.25,-5.340552888810635e-10,-4.256981511450633e-11,0.2,0.0001,0.0,0.38957977294921875,0.49661576747894287,1.1943346141488291,0.0,440,,
94208,0.6089759229894497,663,11,46,8156,196.90647632945365,0.7480006723427305,649.25,6.669164577033371e-05,-0.05752717137483395,0.2,0.0001,0.000927734375,0.16147932410240173,0.9960523247718811,1.6553587779984809,5.754824e-05,450,,
96256,0.6103540197495492,217,11,47,8289,61.339495424982054,0.7504814543894359,202.75,3.4779077395796774e-10,-1.1058538357250497e-09,0.2,0.0001,0.0,0.7204237580299377,0.3951292037963867,1.2794405158609152,0.0,460,,
98304,0.6081714305122203,729,11,48,8420,216.89038122879438,0.7393444463999019,714.75,-0.0014983126930019353,-0.04589151345162708,0.2,0.0001,0.01015625,0.1405489146709442,0.9963877201080322,1.8724847607431,0.0017797569,470,,
100000,0.6147561059260244,191,,,,,0.75318848452877,,7.767084753140807e-10,-9.202792836695295e-10,0.2,0.0001,0.0,0.5041903853416443,0.6680456399917603,1.7015588780515827,0.0,480,946.0,292.5723571777344
100352,0.6218598525632512,88,11,49,9019,22.669363440824444,0.7364837490022182,76.0,,,,,,,,,,,,
