custom/mean_entropy,custom/images_selected,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,custom/mean_confidence,time/total_timesteps,time/time_elapsed,time/fps,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/explained_variance,train/clip_fraction,train/loss,train/entropy_loss,train/clip_range,train/approx_kl,train/n_updates,eval/mean_ep_length,eval/mean_reward
0.7489152908019605,417,125.6425657831498,500.0,1,0.6033911663107574,2048,154,13,,,,,,,,,,,,
0.7430182857206091,899,269.5915593494348,1012.0,2,0.6080882061214652,4096,292,13,0.03488050842715893,0.0001,1.9155267260503024,0.6414857506752014,0.573193359375,0.19370470941066742,-0.09927628876763492,0.2,1.3313954,10,,
0.7440309790677803,430,124.44525550799776,416.25,3,0.6235135917053666,6144,430,14,0.0030880685735610314,0.0001,2.095589472469874,0.2717781662940979,0.03349609375,0.4718080163002014,-0.18541750572476304,0.2,0.012389953,20,,
0.7450990553969031,924,273.13495942476925,928.25,4,0.6122685228879791,8192,564,14,0.0010362571876612492,0.0001,2.050852567504626,-1.7352781295776367,0.016357421875,0.2829350233078003,-0.10516078049808437,0.2,0.0010736168,30,,
0.7538432993326977,471,139.21592737459252,457.0,5,0.6163043681603328,10240,699,14,0.002966130632557906,0.0001,1.8423963034641928,-0.1739649772644043,0.0130859375,0.4442375898361206,-0.12346480175092438,0.2,0.0007640339,40,,
0.7508194998043115,945,251.02866069967138,851.68,6,0.622263930487851,12288,832,14,0.00025699991019791926,0.0001,2.492762585869059,0.5572274327278137,0.010986328125,0.5608963966369629,-0.05430569229056083,0.2,0.0004609279,50,,
0.7717515091790119,512,153.82863846056273,501.75,7,0.6047802733955905,14336,966,14,-0.0021571036966633985,0.0001,1.7724872538412455,0.7504816651344299,0.01650390625,0.2877811789512634,-0.11343616813276185,0.2,0.0045544067,60,,
0.8029364996722766,56,14.41639685582072,49.5,8,0.6042442976364067,16384,1099,14,-1.0091687727253884e-05,0.0001,2.774539661756717,0.48246484994888306,0.0,2.066643714904785,-0.0016853313081328166,0.2,1.6676495e-08,70,,
0.7456657645672979,568,170.8091473338869,561.5,9,0.5971953682601452,18432,1231,14,0.0001364252617349848,0.0001,2.753011573397089,0.8772169947624207,0.003662109375,0.25041520595550537,-0.08250709794880891,0.2,0.0013096797,80,,
0.7450193889260416,942,,,,0.5940445458926299,20000,,,-1.3729732017964124e-09,0.0001,3.871232214407064,-0.4234132766723633,0.0,2.1192798614501953,-4.245558339688993e-11,0.2,0.0,90,945.0,291.4165954589844
0.7235159173607826,120,32.28223476780284,108.0,10,0.6104904224475225,20480,1825,11,,,,,,,,,,,,
0.7507475605234504,632,187.22344087547953,620.0,11,0.6084673084035704,22528,1958,11,0.0005255215255601797,0.0001,4.804764276044443,0.8560630083084106,0.013037109375,0.2727948725223541,-0.08809737074473674,0.2,0.014920227,100,,
0.7679590976097175,169,47.551178810833434,158.75,12,0.5876893161316595,24576,2091,11,1.570813765283674e-07,0.0001,2.7087169004953466,0.26254886388778687,0.0,1.3571399450302124,-4.515764589210214e-05,0.2,0.0,110,,
0.7464867886620821,681,203.23521144698418,670.75,13,0.6081891253743753,26624,2223,11,0.0008470108012261334,0.0001,3.214403959456831,0.9573578238487244,0.015234375,0.22462208569049835,-0.1149622925764561,0.2,0.00023450372,120,,
