time/total_timesteps,rollout/ep_rew_mean,custom/mean_confidence,time/iterations,custom/mean_entropy,rollout/ep_len_mean,time/time_elapsed,time/fps,custom/images_selected,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/n_updates,train/value_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
67584,234.3056987207202,0.6208667202810177,33,0.7383061918520751,792.75,6025,11,789,-0.002265801879184437,0.031103515625,0.2,1.3467463254928589,0.006367176,0.9955453872680664,-0.2822509344492573,320,2.125509789842181,0.0001,,
69632,78.84598319626656,0.6221142874463744,34,0.7387923639591621,260.25,6160,11,276,-0.002723760132357711,0.027392578125,0.2,0.059823691844940186,0.0075235288,0.9386767745018005,-0.11572776800458087,330,0.9157278181519359,0.0001,,
71680,228.58789901417242,0.6159905930461013,35,0.7469879276577742,772.25,6300,11,780,-0.004453931261377875,0.0318359375,0.2,0.33147671818733215,0.0025659767,0.9970133900642395,-0.25934737784555184,340,2.115417277062079,0.0001,,
73728,83.35322662214921,0.607613838777162,36,0.7310109880847343,274.75,6436,11,276,0.00022130405450297984,0.0080078125,0.2,0.0826442614197731,0.00025106876,0.956812858581543,-0.042564420890266776,350,1.0312414192128927,0.0001,,
75776,240.26334718903954,0.6071748097384642,37,0.747158609311744,786.75,6573,11,787,-0.0051901980470574925,0.0373046875,0.2,0.5103809237480164,0.005303709,0.9965649843215942,-0.2017468692480037,360,2.5206933946697974,0.0001,,
77824,91.0359908235386,0.617617842555046,38,0.7456019458174705,301.25,6707,11,300,-2.457524860801641e-05,0.00048828125,0.2,0.18178433179855347,3.8393773e-07,0.9347538352012634,-0.021076144405105877,370,1.5627896040445193,0.0001,,
79872,244.53357778941805,0.6122984206441588,39,0.7465456735269336,813.25,6842,11,809,-0.0019149962132360087,0.0330078125,0.2,1.211075782775879,0.0018361118,0.996199905872345,-0.1618809178387412,380,2.1078107688284944,0.0001,,
80000,,0.6123358687896321,,0.747230736677969,,,,838,0.00022700284607708455,0.00576171875,0.2,0.26031020283699036,0.00025583198,0.9588253498077393,-0.013384458067343985,390,0.9931748580944258,0.0001,946.0,290.94976806640625
81920,142.87918934612307,0.5948256261646747,40,0.7447230892876784,468.0,7444,11,480,,,,,,,,,,,,
83968,57.13152307525605,0.5650831590096156,41,0.7623467753330867,194.52,7577,11,30,-0.0013336553645785898,0.003271484375,0.2,0.2105771005153656,0.002895201,-0.1672816276550293,-0.007221419776933543,400,2.462381137924967,0.0001,,
86016,159.13780010973903,0.6092317504086617,42,0.7485006022992169,521.5,7710,11,542,0.0017596600351680535,0.01259765625,0.2,0.4334031343460083,0.00018232272,0.9817743897438049,-0.12297764975835435,410,1.008557132713031,0.0001,,
88064,18.524958912054924,0.571464965196505,43,0.7861191997789356,59.5,7845,11,73,-6.257323548197746e-10,0.0,0.2,2.5133097171783447,0.0,0.6119054555892944,-1.0351122825317215e-07,420,1.8792785965488292,0.0001,,
90112,173.76329063473003,0.6056278373950567,44,0.7498710918757651,571.5,7977,11,585,-7.394916901830584e-05,0.003955078125,0.2,0.2455105036497116,0.0009856501,0.9882155060768127,-0.10512506359700638,430,0.9778949063824257,0.0001,,
92160,33.89241778895667,0.6295464892584578,45,0.7217617866240049,114.0,8109,11,133,5.071342457085848e-10,0.0,0.2,0.6585766077041626,0.0,0.29062992334365845,-1.268255876421358e-07,440,1.7255230700364337,0.0001,,
94208,190.01903121774157,0.6024759597094484,46,0.7485741841931676,626.0,8243,11,645,0.003336786726868013,0.0078125,0.2,5.5688958168029785,0.0013788475,0.9906893372535706,-0.11259150804471574,450,1.1808453511446715,0.0001,,
96256,47.40311628483007,0.611906794791526,47,0.7641938206680278,164.5,8378,11,188,2.2004678612574936e-08,0.0,0.2,0.4940236806869507,0.0,0.441764235496521,-7.262095664600788e-06,460,0.9480197109223809,0.0001,,
98304,204.44116071140425,0.6105329397746495,48,0.7597022737349782,676.5,8512,11,700,0.0009740812689415179,0.006884765625,0.2,1.2017279863357544,0.00018025695,0.9920141696929932,-0.11729652153044298,470,1.6235345572815276,0.0001,,
100000,,0.6199039698411257,,0.7310504293403565,,,,156,2.549204509705305e-08,0.0,0.2,0.24811716377735138,0.0,0.0748741626739502,-3.847008244722838e-05,480,1.3329464625043328,0.0001,946.0,288.6695861816406
100352,23.98904567724107,0.5846430415456946,49,0.7433582693338394,76.0,9108,11,88,,,,,,,,,,,,
