epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1511.25,2.42138,3.81986,2.21278,0.37068,0.0347,0.01779,0.00858,2.2454,3.41577,2.05802,0.0670103,0.000333229,0.000333229
2,2956.55,1.89339,3.18204,1.86079,0.35252,0.09422,0.05915,0.03169,1.82787,2.79125,1.82399,0.0340097,0.000665911,0.000665911
3,4371.95,1.74091,2.91152,1.75063,0.29375,0.1349,0.08822,0.04926,1.68429,2.51553,1.71374,0.00100641,0.000995993,0.000995993
4,5780.81,1.65621,2.71819,1.68827,0.29937,0.16415,0.11671,0.06806,1.60144,2.32566,1.6454,0.000991232,0.000991232,0.000991232
5,7190.06,1.58622,2.57196,1.63282,0.29843,0.18925,0.14378,0.08662,1.53093,2.19815,1.5959,0.000984449,0.000984449,0.000984449
6,8604.8,1.53667,2.46234,1.60377,0.31919,0.2039,0.16557,0.09994,1.49005,2.10605,1.55626,0.000975773,0.000975773,0.000975773
7,10017.2,1.50448,2.37474,1.57718,0.34466,0.22516,0.19051,0.1186,1.44657,2.00141,1.53252,0.000965239,0.000965239,0.000965239
8,11432.4,1.47853,2.2949,1.55463,0.35351,0.24327,0.20969,0.13098,1.40846,1.9332,1.50509,0.000952889,0.000952889,0.000952889
9,12840,1.44706,2.22768,1.5291,0.37425,0.24765,0.2228,0.14144,1.38773,1.8755,1.4865,0.000938772,0.000938772,0.000938772
10,14252.7,1.42889,2.17553,1.51966,0.36951,0.26325,0.24052,0.15462,1.34668,1.81903,1.45566,0.000922942,0.000922942,0.000922942
11,15666.8,1.40809,2.11679,1.50337,0.39033,0.27397,0.25671,0.16567,1.33035,1.76127,1.44472,0.000905463,0.000905463,0.000905463
12,17082.4,1.38985,2.07813,1.48799,0.40861,0.28704,0.2715,0.17665,1.31302,1.72806,1.43217,0.000886404,0.000886404,0.000886404
13,18499.7,1.37534,2.02676,1.47658,0.39511,0.29734,0.28294,0.18511,1.29354,1.6789,1.41329,0.000865839,0.000865839,0.000865839
14,19908.7,1.35524,1.98859,1.46306,0.42221,0.30513,0.29125,0.19135,1.28165,1.65046,1.40691,0.000843851,0.000843851,0.000843851
15,21323,1.34012,1.95889,1.45558,0.43226,0.31087,0.30391,0.20171,1.26555,1.61551,1.39273,0.000820525,0.000820525,0.000820525
16,22736.8,1.33143,1.91871,1.44598,0.43307,0.32256,0.31158,0.20669,1.25085,1.58323,1.38275,0.000795954,0.000795954,0.000795954
17,24150.7,1.31464,1.88465,1.43167,0.44941,0.32262,0.3209,0.21337,1.2441,1.56296,1.37733,0.000770234,0.000770234,0.000770234
18,25563.2,1.30346,1.8431,1.42372,0.43847,0.33608,0.33454,0.22444,1.22549,1.53034,1.36351,0.000743468,0.000743468,0.000743468
19,26977.9,1.28738,1.81547,1.41369,0.45778,0.33887,0.33909,0.22837,1.21853,1.5116,1.35774,0.000715761,0.000715761,0.000715761
20,28394.7,1.27764,1.78117,1.40398,0.45054,0.34983,0.34559,0.23333,1.21181,1.49284,1.35245,0.000687222,0.000687222,0.000687222
21,29808.2,1.27093,1.75663,1.39627,0.4698,0.34703,0.3524,0.23826,1.20677,1.47711,1.34735,0.000657963,0.000657963,0.000657963
22,31228.6,1.25712,1.73364,1.38944,0.47808,0.35042,0.35892,0.24202,1.19578,1.45812,1.34248,0.000628101,0.000628101,0.000628101
23,32644.5,1.24511,1.70237,1.38116,0.48254,0.35785,0.3637,0.24623,1.19476,1.44153,1.34205,0.000597754,0.000597754,0.000597754
24,34061.8,1.23453,1.68262,1.37631,0.47299,0.36684,0.36714,0.24884,1.18652,1.42932,1.3349,0.00056704,0.00056704,0.00056704
25,35478.3,1.22752,1.65753,1.36884,0.48984,0.36591,0.37302,0.25312,1.17926,1.4167,1.32904,0.000536081,0.000536081,0.000536081
