custom/mean_confidence,time/iterations,rollout/ep_rew_mean,custom/mean_entropy,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,custom/images_selected,train/value_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/loss,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
0.6067450463888235,1,25.686332125091067,0.748192716302583,15,2048,134,500.0,73,,,,,,,,,,,,
0.6024660242255777,2,179.80323775120493,0.7460614826050005,14,4096,275,1012.0,585,6.738259183533955,22.297028,0.11705631017684937,-0.00047602801589568145,10,0.2,0.3638503815731383,0.0003,9.53010082244873,0.99921875,,
6.353877722394877,3,334.41776336383236,7.907337735798852,14,6144,416,139.25,145,3.0724046700634062,0.0,0.9104385375976562,-0.0015381553367696623,20,0.2,2.2310686472337692e-05,0.0003,1.6179790496826172,0.000439453125,,
1.872463935903944,4,495.2783669329037,2.3310772445126573,14,8192,555,651.25,657,3.7288648090325296,0.0074236365,0.9380794167518616,-0.03892422783928691,30,0.2,0.0006914934987435117,0.0003,0.5907617211341858,0.0060546875,,
7.343042462779004,5,651.3135290332418,9.203752794227247,14,10240,692,207.0,209,3.837695344607346,0.0,0.8297727704048157,-1.0016495004888528e-11,40,0.2,-3.569584805518389e-09,0.0003,0.5988807082176208,0.0,,
2.5658069369118355,6,811.0064561285972,3.197680146607794,14,12288,828,719.0,721,3.245942704763729,0.004337489,0.9540501832962036,-0.06170860737823567,50,0.2,0.00038708571519237013,0.0003,4.7767462730407715,0.00791015625,,
8.415044639608823,7,959.401740052224,10.496103584911907,14,14336,966,258.5,256,3.808831465616822,2.5320332e-09,0.7736676335334778,-5.544484083514489e-05,60,0.2,1.0662188287824393e-08,0.0003,1.4196968078613281,0.0,,
3.2069317852923027,8,1117.4441544259919,4.001152138739902,14,16384,1101,770.5,768,5.362581137160305,0.0062956093,0.974652886390686,-0.09047498402916006,70,0.2,-0.0007385203200101387,0.0003,5.26727294921875,0.01904296875,,
8.607478969123052,9,1272.2904411778677,10.715749352314273,14,18432,1236,320.0,322,2.087959163857158,4.656613e-10,0.8355494737625122,-3.3350343209531674e-05,80,0.2,-6.321424734778703e-08,0.0003,7.027450084686279,0.0,,
4.211712157157828,,,5.258765193086436,,20000,,,713,5.239527762215585,0.0014749058,0.9844924807548523,-0.07625889367545827,90,0.2,0.0003205287801392842,0.0003,0.17030826210975647,0.008203125,295.81927490234375,946.0
35.17588961645961,10,2025.3386545318028,43.8480025448526,11,20480,1843,108.0,120,,,,,,,,,,,,
7.168025782638336,11,2184.2180692573006,8.93479157459651,11,22528,1976,620.0,632,6.700730671128258,0.0,0.593043863773346,-6.349329400886847e-07,100,0.2,-6.622613000217825e-07,0.0003,6.075283050537109,0.0,,
25.72770545092669,12,2335.5039355403164,32.046041686642674,11,24576,2108,170.25,188,3.8105353021179327,0.0,0.788179337978363,-2.115003328754159e-09,110,0.2,1.244188752025366e-10,0.0003,0.2546178102493286,0.0,,
7.3512737951108384,13,2493.483511174759,9.147364958237324,11,26624,2240,682.25,700,4.057275828230194,0.000648475,0.9837629199028015,-0.06313179440403013,120,0.2,0.0015142972690227908,0.0003,1.0240966081619263,0.0103515625,,
21.132931870892065,14,2648.3517140451163,26.329921252188065,12,28672,2372,234.25,258,3.048291419725865,0.0,0.776736319065094,-3.400168171310984e-08,130,0.2,5.165929906070232e-10,0.0003,1.7609076499938965,0.0,,
7.493894261353976,15,2805.093465844082,9.309030838891283,12,30720,2503,746.25,770,2.2227846465306356,0.00019922173,0.9895709156990051,-0.1003496149961082,140,0.2,0.0003594309921027161,0.0003,1.538352370262146,0.021826171875,,
18.919620140876354,16,2958.746308313287,23.526029037584397,12,32768,2634,296.0,321,3.9318942984333263,0.0,0.6561107635498047,-1.0564464475196575e-06,150,0.2,-5.311449058353901e-10,0.0003,0.5417622327804565,0.0,,
7.653431527432846,17,3113.606606500219,9.515182123697247,12,34816,2765,808.0,833,4.264455469563837,0.0007746979,0.9948107600212097,-0.06139041115919701,160,0.2,0.0029492036908777665,0.0003,0.13806003332138062,0.01396484375,,
17.586584674135636,18,3267.3772192073257,21.89212987540584,12,36864,2896,358.0,380,2.5633341538603416,0.0,0.8827311992645264,-2.936803474082438e-05,170,0.2,1.7716956790536642e-08,0.0003,0.15060223639011383,0.0,,
7.838455290070029,19,3426.217755202208,9.760050695573268,12,38912,3026,870.0,892,4.468010396280443,0.0019380529,0.9963957071304321,-0.048923715716572135,180,0.2,0.0013007958346861414,0.0003,1.1569488048553467,0.02119140625,,
41.846233364085705,,,52.10551406355978,,40000,,,171,1.7704185628332199,0.0013258014,0.9724823236465454,-0.032970306181798706,190,0.2,-0.0008973750929726521,0.0003,0.6345822215080261,0.002734375,295.34832763671875,946.4
35.096361858273546,20,4161.94135136625,43.85350975068286,11,40960,3620,228.5,240,,,,,,,,,,,,
11.613551460365032,21,4318.407806880503,14.49839882819636,11,43008,3751,740.5,748,3.2688580427493434,0.0018588353,0.9968468546867371,-0.12200515364322768,200,0.2,0.002313784497528104,0.0003,7.706517696380615,0.027734375,,
33.34690887153808,22,4463.897798812296,41.65045055289275,11,45056,3882,267.0,271,2.2703683960891796,0.022737097,0.5312241315841675,-0.024130945748372313,210,0.2,0.00044015829626005144,0.0003,2.558366537094116,0.005322265625,,
