custom/images_selected,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,custom/mean_entropy,time/time_elapsed,time/iterations,custom/mean_confidence,train/policy_gradient_loss,train/loss,train/approx_kl,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range,train/value_loss,train/clip_fraction,train/n_updates,eval/mean_reward,eval/mean_ep_length
338,326.75,11,99.77344345789137,49152,0.7340140170996359,4152,24,0.6187630272828616,6.060159648768604e-06,0.5177814364433289,0.00011045649,-0.002343598527616564,0.8582908511161804,0.0001,0.2,1.1738084215437994,0.000244140625,230,,
850,838.75,11,256.9813678718621,51200,0.7405113136943648,4283,25,0.6039803728285957,0.0003248791494115721,1.2686108350753784,0.0002734251,-0.11888662089222635,0.9953323006629944,0.0001,0.2,2.3871639263466933,0.00517578125,240,,
408,389.0,12,115.22868101028284,53248,0.7313314170814028,4413,26,0.6121899240887633,0.00010258373877150006,0.43999120593070984,0.000648233,-0.0075321385709145264,0.9130176901817322,0.0001,0.2,1.2222389701695646,0.0005859375,250,,
915,901.0,12,270.8016164275396,55296,0.740259346106778,4544,27,0.6089739073229873,0.0001107774005504325,0.8255090713500977,0.00035365176,-0.08225225725376782,0.9947332739830017,0.0001,0.2,3.238435488427058,0.001318359375,260,,
455,441.5,12,138.3147219574239,57344,0.7546876585418052,4674,28,0.6057552261666937,-0.00044331290482659826,0.28557315468788147,0.008943167,-0.062325096118411236,0.9843086004257202,0.0001,0.2,1.1064716615073849,0.00615234375,270,,
928,953.5,12,282.26047528300444,59392,0.7509277051058526,4805,29,0.6058233097395951,-4.6794762602075936e-05,2.41086745262146,2.2133594e-05,-0.0766879605980904,0.9942150115966797,0.0001,0.2,3.2264054015860895,0.0,280,,
124,,,,60000,0.7312252456622739,,,0.6227232448516353,-0.0011844076088891597,0.12186174094676971,0.002318697,-0.1658498574703117,0.9893209934234619,0.0001,0.2,0.7884963116201107,0.02509765625,290,290.3869323730469,946.0
360,348.0,11,105.38888981029558,61440,0.7386297811236646,5392,30,0.6017132413884004,,,,,,,,,,,,
866,860.0,11,259.91850516220546,63488,0.7457643332164905,5523,31,0.6033768717780572,-2.261496483697556e-05,0.7124963402748108,2.0940788e-06,-0.04172919372679464,0.9937098622322083,0.0001,0.2,1.8232056537410244,0.0,300,,
399,379.5,11,116.75779505245856,65536,0.763436521690591,5652,32,0.6125825594989279,0.0006774264162231703,0.2316409796476364,0.00043266517,-0.05530713865100552,0.9688157439231873,0.0001,0.2,1.2091489731858018,0.010400390625,310,,
896,891.5,11,269.0140118792323,67584,0.7490831874760786,5783,33,0.6042568249184266,0.0012327943921263795,0.3488571345806122,6.4578344e-05,-0.14436759664020257,0.9964468479156494,0.0001,0.2,1.4805400851590094,0.005419921875,320,,
429,403.75,11,120.60072772649136,69632,0.7512492230444243,5913,34,0.5997217244757361,0.000534410482578096,0.1063583493232727,0.0008082212,-0.10412523488557782,0.9858782887458801,0.0001,0.2,1.1911622844811063,0.006396484375,330,,
892,915.75,11,263.0793668376009,71680,0.7513246275444974,6043,35,0.602012416571537,-1.4979380648583173e-05,0.35191547870635986,0.00016059229,-0.13003259519773563,0.9963732957839966,0.0001,0.2,3.3960518180392683,0.0,340,,
404,391.25,11,119.09485488808727,73728,0.7539724791491473,6173,36,0.6051478508813881,-0.000600145905991667,0.4197233319282532,0.002057565,-0.20798392231808976,0.9899430871009827,0.0001,0.2,0.9024997586093377,0.03193359375,350,,
890,903.25,12,266.57198814064327,75776,0.7426722910633003,6304,37,0.6054748494336494,-0.0015972933942975942,1.1949424743652344,0.00087621115,-0.1402854539103373,0.9969760775566101,0.0001,0.2,2.5936724591301754,0.000390625,360,,
428,406.5,12,123.41307567483011,77824,0.7519035614748425,6434,38,0.6090623897230514,-0.001011256228230195,0.5293247103691101,0.0011318502,-0.1293491341115441,0.9869486093521118,0.0001,0.2,1.1050411838281433,0.022021484375,370,,
912,918.5,12,272.3269172998412,79872,0.7373076378348026,6564,39,0.6069138173727279,3.278866643086076e-07,0.7518572807312012,1.0955118e-06,-0.11721873769787408,0.9967610239982605,0.0001,0.2,1.3241734905983322,0.0,380,,
930,,,,80000,0.7346661170344151,,,0.6063112719358549,-0.0033023276402673217,0.16472287476062775,0.0055431677,-0.10983916374971159,0.9906160235404968,0.0001,0.2,0.8528340082091745,0.03291015625,390,288.21624755859375,946.0
480,468.0,11,141.97212141367208,81920,0.748202886347038,7152,40,0.6062149958064159,,,,,,,,,,,,
28,222.89,11,65.42762313218118,83968,0.7767891734838486,7283,41,0.6274546991501536,-0.000721955230255844,0.7001505494117737,0.00038437586,-0.03796678987135859,-0.0629812479019165,0.0001,0.2,7.467573727294803,0.000390625,400,,
540,520.25,11,159.09194680757489,86016,0.7510481287759764,7413,42,0.6073942462603251,0.0003117758213193156,1.8267086744308472,0.0017257719,-0.11362061006852855,0.9520055055618286,0.0001,0.2,1.107834072469268,0.004150390625,410,,
75,61.75,11,18.909966927067448,88064,0.7394117343425751,7544,43,0.6338799015680949,-3.965396899729967e-10,0.5722311735153198,0.0,-3.837171883278902e-08,0.5242854952812195,0.0001,0.2,6.953821421443718,0.0,420,,
587,573.75,11,176.27697241145,90112,0.7388977255716641,7674,44,0.6103525712096102,-0.0010662560809578281,0.18779511749744415,0.0003422185,-0.08973963306830228,0.9772579073905945,0.0001,0.2,1.3214897077006753,0.009375,430,,
137,119.0,11,36.207110087936336,92160,0.7162414095262541,7805,45,0.6315354282838584,5.165929906070232e-10,0.17401427030563354,0.0,-9.626992684594836e-08,0.39455485343933105,0.0001,0.2,3.0813584028510377,0.0,440,,
649,631.0,11,195.46260361058606,94208,0.7553285903803924,7935,46,0.596448332392747,-0.0001655928041145671,0.2698952555656433,0.014488076,-0.11218765578032616,0.9905412197113037,0.0001,0.2,1.658110734442016,0.00908203125,450,,
167,146.75,11,43.353628555851074,96256,0.7548041575683091,8065,47,0.6142567146324112,-5.056427471572533e-06,1.1948597431182861,5.296897e-09,-0.002249986225081102,0.6211780309677124,0.0001,0.2,2.2912792065239045,0.0,460,,
679,658.75,11,198.07195979835345,98304,0.7475656803055435,8195,48,0.6106846074468082,-0.00020341327399364673,0.16726374626159668,0.00037877006,-0.19897422454087063,0.9952815175056458,0.0001,0.2,2.1073563942685722,0.010546875,470,,
113,,,,100000,0.7179150481139664,,,0.59078860678504,-4.509877544478513e-06,0.13285760581493378,2.6759808e-06,-0.00281908164890865,0.6055834293365479,0.0001,0.2,1.3731904192536604,0.0,480,289.5538635253906,946.0
88,76.0,11,24.037264180944334,100352,0.7499606758356094,8784,49,0.6139192249287259,,,,,,,,,,,,
