time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,custom/images_selected,custom/mean_confidence,custom/mean_entropy,train/loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/clip_range,train/approx_kl,train/value_loss,train/learning_rate,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
2048,500.0,13,1,125.50207301641072,146,417,0.608107901411131,0.7378929643600713,,,,,,,,,,,,
4096,1012.0,13,2,242.6752339838749,293,797,0.6040282673493493,0.7368456032709219,0.2167171835899353,0.33974609375,10,-0.26028451802558267,0.6017163991928101,0.2,0.09649694,1.7543517258600332,0.0001,0.02141781914178864,,
6144,240.75,13,3,73.74557642408189,441,257,0.5867341214236412,0.7622057641109893,0.376991331577301,0.227978515625,20,-0.43790155873866754,0.03722989559173584,0.2,0.046964154,1.2884678485803307,0.0001,-0.014559240958624287,,
8192,752.75,13,4,222.34146076780198,586,741,0.5821582814365702,0.7522323691702474,0.7914375066757202,0.03388671875,30,-0.33997603571624496,-1.267059087753296,0.2,0.011771745,2.5190756680676714,0.0001,-0.0013173628103686497,,
10240,188.0,14,5,58.60540405373713,730,215,0.6072239594404087,0.7473904593739399,0.8380982875823975,0.0265625,40,-0.19250102181977127,-0.2280658483505249,0.2,0.008520186,1.838359500374645,0.0001,0.0008822587653412484,,
12288,700.0,14,6,218.5324336479224,872,724,0.59886623244666,0.7568457345318106,0.94267338514328,0.077587890625,50,-0.3104802462272346,0.86752849817276,0.2,0.02782799,2.287332139501814,0.0001,-0.0076581741108384446,,
14336,232.5,14,7,70.85394570998916,1013,260,0.5925690002166308,0.7394653119146823,3.3739326000213623,0.001904296875,60,-0.011533790212257599,0.5931944251060486,0.2,0.006866062,2.5001984737464227,0.0001,0.0004387032036902383,,
16384,744.5,14,8,230.4609489477494,1155,772,0.597733322666099,0.756377950233499,1.2684129476547241,0.02255859375,70,-0.12049454013285868,0.9288091063499451,0.2,0.008609664,3.8262776628602295,0.0001,-0.0005329295468982309,,
18432,289.75,14,9,89.87907312199947,1294,327,0.5940384235950785,0.7451073302223777,2.021735191345215,0.000341796875,80,-0.00022732943739295353,0.6163311004638672,0.2,0.0004444691,3.066183636360802,0.0001,-0.000145383544077049,,
20000,,,,,,718,0.5926630040397219,0.7582914584360415,3.9196510314941406,0.002392578125,90,-0.08928922825784866,0.9203170537948608,0.2,0.0014292459,4.251926485751755,0.0001,-0.00016305604949593545,945.0,292.94403076171875
20480,108.0,10,10,33.117987709897655,1925,120,0.5802298036714395,0.755129237473011,,,,,,,,,,,,
22528,620.0,10,11,191.47150035072298,2077,632,0.5907414380602444,0.7486781111765134,3.3270487785339355,0.0,100,-1.5992721326969338e-06,0.2869012951850891,0.2,-8.731149e-11,5.330432036402636,0.0001,5.3541589295491575e-08,,
24576,169.75,11,12,52.1593498240133,2225,183,0.597828003552442,0.7465532474179085,0.8569709658622742,0.0,110,-5.20453065254911e-08,0.42658132314682007,0.2,0.0,4.724444325710647,0.0001,1.1845258995890618e-09,,
26624,681.75,11,13,210.025992677469,2375,695,0.5983528870472805,0.7517834619866858,2.4536092281341553,0.011328125,120,-0.06412022896615568,0.953091561794281,0.2,0.00025126874,3.971683838998433,0.0001,0.0017031890049111098,,
28672,229.25,11,14,70.18289213993778,2524,236,0.6132574585282197,0.7460756017116167,0.973624587059021,0.0,130,-2.677981146887885e-07,0.21773886680603027,0.2,0.0,3.6506694042356687,0.0001,3.1042873160913585e-09,,
30720,741.25,11,15,230.5792176877481,2671,748,0.6050261001296859,0.7450211983632277,2.029165744781494,0.0056640625,140,-0.07442588088749176,0.9626377820968628,0.2,0.0006382909,4.195580061676447,0.0001,0.0008507308724801987,,
32768,292.25,11,16,91.58608559269916,2819,291,0.5935104950187132,0.7663420673101321,1.2906550168991089,0.0,150,-2.850304377760316e-06,-0.07688522338867188,0.2,0.0,3.318320700008189,0.0001,-6.995469448156655e-09,,
34816,804.25,11,17,250.09900373481818,2960,802,0.5914469926176155,0.7594908148092061,6.909043788909912,0.027294921875,160,-0.11102462574116476,0.971710741519928,0.2,0.00935677,3.764665917935781,0.0001,-0.003688034875813173,,
36864,354.75,11,18,108.53138475898542,3106,359,0.6092797300277646,0.7496640805289938,0.249831423163414,0.003662109375,170,-0.0019174217116216196,-0.472454309463501,0.2,0.009515295,2.6681431320728732,0.0001,0.0003397507702175062,,
38912,866.75,11,19,266.4921687421236,3248,858,0.598767877891061,0.7517404902029257,0.024557583034038544,0.075537109375,180,-0.1474184587631276,0.9664969444274902,0.2,0.016426628,3.8604207455180584,0.0001,-0.008018118236941518,,
40000,,,,,,146,0.5940703088290071,0.730156972034745,0.894527018070221,0.0203125,190,-0.07796854631901624,0.6828685402870178,0.2,0.004639955,1.917299607465975,0.0001,0.0038944460087805056,945.0,293.8742370605469
40960,228.0,10,20,72.11051839126787,3892,240,0.5830491607387861,0.7654086317246159,,,,,,,,,,,,
43008,740.0,10,21,225.57445674300496,4035,736,0.5915111924343287,0.762602547624525,0.5867220163345337,0.018115234375,200,-0.16110589041809648,0.9867486357688904,0.2,0.0030325102,4.334008413564879,0.0001,-0.0005771690062829294,,
