custom/mean_entropy,custom/images_selected,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,custom/mean_confidence,rollout/ep_rew_mean,train/loss,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/explained_variance,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
0.7564386773156002,417,500.0,1,141,2048,14,0.6160809905268252,127.8516718911621,,,,,,,,,,,,
0.7450609481165884,858,1012.0,2,287,4096,14,0.6126054498017766,259.2782255164917,0.3765313923358917,0.013785582192940637,0.2673828125,0.064466074,2.024056569603272,10,0.0001,0.2,0.6810703277587891,-0.3037941684493489,,
3.284105575131385,350,343.0,3,430,6144,14,2.6681038092004608,395.3681170946615,0.7692912817001343,-0.002697645683292649,0.084130859375,0.013605596,1.4438140680082143,20,0.0001,0.2,-0.2963007688522339,-0.30164905123529023,,
1.7802257863664406,844,855.0,4,573,8192,14,1.4424301023969506,547.5156022626824,0.6205822229385376,-0.00116526710553444,0.0013671875,0.0005428751,1.9231200858717785,30,0.0001,0.2,-1.474731206893921,-0.20436054598922054,,
5.51698530549103,347,330.5,5,714,10240,14,4.484601086687286,682.552424105366,0.39442136883735657,0.003308620515599614,0.01826171875,0.0010450021,1.5255357931251639,40,0.0001,0.2,0.18547236919403076,-0.16526987491524778,,
2.671166453410777,843,842.5,6,854,12288,14,2.1732887583714287,837.1727438360388,0.3433336317539215,-0.0022003696256433615,0.02568359375,0.0050150007,2.559671385597903,50,0.0001,0.2,0.8788989186286926,-0.20820039182895017,,
7.231881826772761,369,357.75,7,993,14336,14,5.897037417423435,981.7740365014756,0.7002877593040466,0.003677714576406288,0.021142578125,0.0047667027,1.8389516952098348,60,0.0001,0.2,0.678460419178009,-0.058219172307008196,,
3.4643632358491896,860,869.75,8,1131,16384,14,2.8196748340170448,1132.471127139507,1.7180918455123901,0.001034130615153117,0.016552734375,0.0034884403,2.915762366517447,70,0.0001,0.2,0.9215376973152161,-0.15360044919971458,,
9.536221123571377,359,347.5,9,1268,18432,14,7.726948822716927,1268.9284740270405,0.32157647609710693,0.0005528479603526648,0.03251953125,0.00989891,1.902457991114352,80,0.0001,0.2,0.6898825168609619,-0.11763012851733948,,
4.973120974218275,747,,,,20000,,4.01949142878677,,0.7261179089546204,-0.003024376846587984,0.0146484375,0.005053532,2.7039853736641817,90,0.0001,0.2,0.966454029083252,-0.19100113442976863,291.16558837890625,946.0
43.654232804911835,120,108.0,10,1891,20480,10,35.244708046813805,2001.657885987581,,,,,,,,,,,,
8.88720196597514,632,620.0,11,2026,22528,11,7.186231319427113,2155.9667927644773,0.8311951756477356,-0.001741429229514324,0.005029296875,0.010603192,5.093493353750091,100,0.0001,0.2,0.6377882361412048,-0.009949127581489848,,
35.94665808377866,167,153.75,12,2162,24576,11,29.006502562654234,2301.7463341348857,2.4762346744537354,1.4835677575320006e-09,0.0,-9.895302e-10,3.421204266848508,110,0.0001,0.2,0.5966613292694092,-0.00018707472070786935,,
9.402102280929356,679,665.75,13,2298,26624,11,7.590776327300668,2457.264438878533,0.37937965989112854,-0.0004953254254360217,0.01201171875,0.0011738644,2.880755679158028,120,0.0001,0.2,0.9571716785430908,-0.1403464467744925,,
32.83602182324795,206,187.5,14,2433,28672,11,26.467697385590053,2602.444992734536,0.6295108795166016,5.847403372172267e-07,0.0,2.8812792e-09,3.408759016590193,130,0.0001,0.2,0.5501777529716492,-0.00025979787520924447,,
9.953096919373964,718,699.5,15,2568,30720,11,8.028673570094666,2759.2113118785305,2.0798377990722656,-0.0016086272087704856,0.011181640625,0.002037427,3.1083053529146127,140,0.0001,0.2,0.9717535376548767,-0.1466151132579398,,
29.409802431677235,256,239.0,16,2703,32768,12,23.73268383333925,2906.7149437581065,0.551787793636322,2.412027242826298e-06,0.0,0.0,2.309328428807203,150,0.0001,0.2,0.15607720613479614,-0.00023776939977269152,,
10.302993889131661,768,751.0,17,2838,34816,12,8.317064346241144,3062.2312735867245,0.8225017189979553,0.0020226469889166763,0.01259765625,0.0013223663,2.9231094080721958,160,0.0001,0.2,0.9682866334915161,-0.14638120962372342,,
26.59257543695947,312,293.5,18,2973,36864,12,21.44838117597959,3211.939451303946,1.1915626525878906,-1.2464806786738336e-07,0.0,3.2014214e-09,2.617349559662398,170,0.0001,0.2,0.011673033237457275,-0.0006598331513536948,,
10.540221682369927,812,805.5,19,3108,38912,12,8.500119772387071,3365.335529858683,1.9387462139129639,-0.00024575849893153644,0.012939453125,0.013646377,3.3580014190403746,180,0.0001,0.2,0.9818482398986816,-0.14394287395789435,,
107.13599469656327,83,,,,40000,,86.34544498626008,,3.879915475845337,0.0005829870526213199,0.009765625,0.00966567,1.910621148883365,190,0.0001,0.2,0.3499884605407715,-0.049316437642846725,292.4052429199219,946.0
43.68524208534509,240,228.0,20,3721,40960,11,35.19298926008244,4093.5787569390477,,,,,,,,,,,,
14.463386298969706,751,740.0,21,3855,43008,11,11.645445640892424,4253.601719356195,1.4223065376281738,0.0005531428512767888,0.0072265625,0.0006221369,2.8390379641728942,200,0.0001,0.2,0.9703726172447205,-0.17618527424252434,,
42.34698277532606,266,253.5,22,3990,45056,11,34.083737494129885,4394.744030867693,0.3861304521560669,0.00012266392404853833,0.000732421875,4.3226173e-05,1.7770127766416408,210,0.0001,0.2,-0.594768762588501,-0.010721825119435379,,
