custom/images_selected,custom/mean_confidence,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,custom/mean_entropy,time/fps,time/iterations,time/time_elapsed,train/entropy_loss,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/loss,eval/mean_reward,eval/mean_ep_length
669,7.598644873441958,652.75,2553.4952450214782,26624,9.620441469696583,11,13,2274,-0.1729452368184866,120,0.2,3.8869248344097285,0.0158203125,7.494507008232176e-06,0.0013105052,0.0003,0.9671032428741455,0.20778845250606537,,
193,27.91825726412121,173.25,2697.8544279969315,28672,35.35390542025818,11,14,2407,-0.0010336436953764406,130,0.2,4.712919082515873,0.0,-6.16897814325057e-05,1.0675285e-07,0.0003,0.7976855039596558,0.22634543478488922,,
705,8.072662975602116,685.25,2856.6960037353356,30720,10.217671467863182,12,15,2540,-0.17934426050014735,140,0.2,4.6608060338068755,0.0173828125,0.0027263194504485,0.0049212296,0.0003,0.9847742319107056,0.6127339601516724,,
236,25.407220255520386,218.5,3002.6532185173205,32768,32.152271572066375,12,16,2673,-5.6488766660767184e-05,150,0.2,2.0617705623852087,0.0,-5.536410753848032e-07,1.193257e-09,0.0003,0.5864794254302979,0.12198624759912491,,
748,8.42634951072262,730.5,3161.261090079845,34816,10.661031564301688,12,17,2806,-0.13454450408554522,160,0.2,2.5379935937467963,0.00927734375,0.0016080239045550115,0.0007371272,0.0003,0.9918074607849121,0.2290334552526474,,
296,22.3430052676515,272.75,3312.779345131592,36864,28.226630167009912,12,18,2939,-0.0002595183042818583,170,0.2,2.8969507519563193,0.0,2.307154500158504e-06,5.7043508e-09,0.0003,0.5553268194198608,3.5779144763946533,,
804,8.566843907136729,784.75,3474.7142720900515,38912,10.813481468119484,12,19,3071,-0.14722470788037753,180,0.2,2.363261239544954,0.014111328125,0.0005639562761643902,0.0029859466,0.0003,0.9955226182937622,0.41602787375450134,,
105,67.44651387078422,,,40000,85.16924024481504,,,,-0.00398320818312996,190,0.2,1.5647208967246116,0.0021484375,0.00020733199344249442,0.0015760617,0.0003,0.9017356634140015,2.8648455142974854,294.1261291503906,945.0
240,34.73627961029609,228.0,4214.742696983065,40960,43.93012439145241,11,20,3673,,,,,,,,,,,,
752,11.492585872478308,740.0,4371.990910922674,43008,14.540217809173516,11,21,3805,-0.1269621619821919,200,0.2,1.1132366802659817,0.007373046875,-0.00012172335627838037,0.0007632932,0.0003,0.9967888593673706,0.6109389662742615,,
290,30.85975093132463,283.0,4524.631999209184,45056,39.01240343766865,11,22,3937,-0.00023188612589881697,210,0.2,3.8076207973761482,0.0,-1.7854315956356004e-06,0.0,0.0003,0.6927273273468018,2.0323612689971924,,
802,11.529076413174817,795.0,4685.057859552294,47104,14.58044791562794,11,23,4069,-0.08953845790700571,220,0.2,4.971936811401974,0.022900390625,0.0032404246703663375,0.0046854196,0.0003,0.9937546849250793,3.243115186691284,,
