rollout/ep_len_mean,time/fps,time/time_elapsed,custom/mean_entropy,time/total_timesteps,custom/mean_confidence,rollout/ep_rew_mean,custom/images_selected,time/iterations,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/learning_rate,train/loss,train/value_loss,train/clip_range,eval/mean_ep_length,eval/mean_reward
500.0,14,145,0.7438190068423864,2048,0.6250348718021996,124.75455688716772,417,1,,,,,,,,,,,,
1012.0,14,291,0.7399058904520643,4096,0.6139045291638467,270.8064203107346,905,2,0.03586141424748348,1.601376,-0.10551260373807167,0.545361328125,10,0.6556731462478638,0.0001,1.5047184228897095,2.226266714814119,0.2,,
423.5,14,435,0.7521256489315252,6144,0.6107741429202858,127.42541758085159,435,3,0.0023758701332553755,0.005797457,-0.14757023340571324,0.0240234375,20,0.296136736869812,0.0001,0.7831892967224121,2.8386792581761258,0.2,,
935.5,14,578,0.7486450659954939,8192,0.6028410463486704,275.83271248567854,920,4,-0.0006209416969795711,0.0004774376,-0.09903233796153836,0.004443359375,30,-0.7884945869445801,0.0001,0.5917801260948181,2.314833061536774,0.2,,
453.75,14,718,0.7378034745182457,10240,0.6115850978370371,136.83867089694385,464,5,0.001495491847890662,0.0015860957,-0.14527645641028358,0.017919921875,40,0.18669486045837402,0.0001,0.9357931613922119,1.442894497141242,0.2,,
965.75,14,857,0.7466083836253182,12288,0.6079564241112255,275.74093789868135,924,6,-0.0004255469044437632,5.4771983e-05,-0.060452249901147545,0.00224609375,50,0.8641510605812073,0.0001,0.9104354381561279,2.7426097587333063,0.2,,
468.5,14,995,0.7420207541241526,14336,0.6210258021359653,137.39024094983398,479,7,-0.0019213204046536702,0.013883555,-0.1945334780451958,0.041552734375,60,0.8162239193916321,0.0001,0.7646141052246094,1.2571115929633379,0.2,,
980.5,14,1132,0.746324211877783,16384,0.6031041820162361,276.3036181063849,919,8,1.982053800020367e-05,0.014842501,-0.04468496112503999,0.00048828125,70,0.9310612082481384,0.0001,0.7356643080711365,2.95178017988801,0.2,,
449.75,14,1269,0.7613975256681442,18432,0.5879814938426539,139.64674236539605,457,9,-0.002498303523316281,0.018148128,-0.25492362866934853,0.062353515625,80,0.881023645401001,0.0001,1.2260328531265259,1.2963992683799006,0.2,,
,,,0.752096106292783,20000,0.5960166891696737,,828,,5.094209336675704e-06,1.0204152e-05,-0.06973341039611114,0.00029296875,90,0.9846259951591492,0.0001,0.1326266974210739,2.595698638004251,0.2,945.0,282.21661376953125
108.0,10,1880,0.7293275212248166,20480,0.5946322657167912,31.591486370749088,120,10,,,,,,,,,,,,
620.0,11,2012,0.7257216886346098,22528,0.602463212524411,184.71534903367083,632,11,-0.0004991802423319313,0.06017055,-0.03358608770190585,0.03193359375,100,0.7263400554656982,0.0001,1.065009355545044,6.100628489116207,0.2,,
158.25,11,2145,0.7499582467710271,24576,0.6133426398038864,46.98791533490826,170,12,-5.218680598773062e-09,0.0,-6.385026699993191e-05,0.0,110,0.6992098093032837,0.0001,0.22665387392044067,3.0982475443510338,0.2,,
670.25,11,2278,0.7608203479796211,26624,0.6050328484291205,202.00118500557954,682,13,0.0021594630998151843,0.0020151976,-0.1538491138308018,0.01298828125,120,0.9567084908485413,0.0001,0.16821414232254028,2.735921670484822,0.2,,
195.0,11,2411,0.7377134653606585,28672,0.6002001607701892,62.450834526254866,210,14,-2.9989270842634143e-06,5.820766e-11,-0.00038234408231545557,0.0,130,0.6963723301887512,0.0001,0.4616045355796814,2.8268865911872125,0.2,,
