time/iterations,custom/mean_confidence,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,custom/mean_entropy,custom/images_selected,time/time_elapsed,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/loss,train/approx_kl,train/learning_rate,train/n_updates,train/clip_range,eval/mean_reward,eval/mean_ep_length
26,0.5901960934857903,39.64816660673821,129.5,11,53248,0.7640530453912867,159,4459,2.126608636183664,0.638393759727478,-0.0008545182397938333,0.00576171875,-0.04001557160008815,0.23855195939540863,0.00025970006,0.0001,250,0.2,,
27,0.5958188934759661,194.6316786706376,641.5,12,55296,0.7458211591830908,664,4590,1.3670231896423501,0.9937520027160645,-0.004687122188624926,0.036181640625,-0.3102741665556096,0.6497296690940857,0.002163725,0.0001,260,0.2,,
28,0.5798411807685933,48.545583134054326,154.0,12,57344,0.7674766639001155,189,4721,1.728538495284738,0.7880551815032959,0.0008969595342932735,0.00908203125,-0.007911630532129265,2.5844361782073975,0.027440457,0.0001,270,0.2,,
29,0.5986224795969338,203.3328284922649,666.0,12,59392,0.7512509825290015,701,4853,1.8377135297982021,0.9961987733840942,-0.002031779428216396,0.013623046875,-0.19086279890907462,0.21310096979141235,0.0019996846,0.0001,280,0.2,,
,0.5997663008774949,,,,60000,0.7475912266021743,849,,1.7735308187257033,0.8336999416351318,-1.4251250104280188e-05,0.0,-0.0011544193607704756,1.2372801303863525,6.7520887e-09,0.0001,290,0.2,287.24566650390625,945.0
30,0.5809051276908981,108.21243746543783,348.0,11,61440,0.7563603337854147,360,5445,,,,,,,,,,,,
31,0.593693196807706,263.7810287477098,860.0,11,63488,0.7444570990569821,871,5576,3.328210833936464,0.5830391049385071,-0.000571757627039915,0.002783203125,-0.014792273642628006,3.8083860874176025,0.0026882654,0.0001,300,0.2,,
32,0.6022157987766859,124.11454996011906,406.0,11,65536,0.7376301756315824,418,5708,1.1965348149533384,0.8518327474594116,-0.0006983584575209534,0.00341796875,-0.01342345782537393,1.1785500049591064,0.0004122881,0.0001,310,0.2,,
33,0.6052648434395431,275.8684539348017,918.0,11,67584,0.7427775622776118,911,5839,3.087882519577397,0.992939293384552,-0.002577548031695187,0.008544921875,-0.0984811923957263,0.09257590770721436,0.0057212324,0.0001,320,0.2,,
34,0.6023018958140776,132.87015081026234,437.5,11,69632,0.7300428093392687,457,5970,0.8207375942729414,0.9599989652633667,0.0016653921506076586,0.012060546875,-0.14390661331271987,0.26201891899108887,0.00086022826,0.0001,330,0.2,,
35,0.5963572007829806,280.5700557435748,949.5,11,71680,0.7502434248617929,925,6102,2.834619073953945,0.9940237998962402,0.000469412277743686,0.0,-0.08233045297460535,1.2842376232147217,6.99923e-05,0.0001,340,0.2,,
36,0.5872228895134168,137.78847148789063,448.0,11,73728,0.7422906165950544,466,6233,1.051092741737375,0.9852713346481323,-0.0009161841386230663,0.017919921875,-0.182022597535979,0.3462923467159271,0.0020680514,0.0001,350,0.2,,
37,0.5959559051293293,282.7121129206835,960.0,11,75776,0.7454561674643636,933,6364,3.132053957763128,0.9964540600776672,1.2094853445887565e-06,0.0,-0.06984711173572578,3.565845012664795,8.6802174e-08,0.0001,360,0.2,,
38,0.601332368159149,143.60319153692558,470.0,11,77824,0.7431672135817593,493,6496,0.7463334572617896,0.9916913509368896,-0.002905940049822675,0.023486328125,-0.18945261705375743,0.16549967229366302,0.00248817,0.0001,370,0.2,,
39,0.5930542187257246,196.81138739692932,665.88,12,79872,0.6203419213945215,11,6626,1.632845655712299,0.9940343499183655,1.123305264627561e-06,0.0,-0.04020615850296849,0.2533162236213684,3.2216485e-07,0.0001,380,0.2,,
,0.5596637222028914,,,,80000,0.7216866420848029,42,,0.905390117818024,0.9961199164390564,9.272388197132387e-05,0.0205078125,-0.17852746549760923,0.3485899269580841,0.002739033,0.0001,390,0.2,287.8722839355469,945.0
40,0.588528597044448,144.03501125333457,468.0,11,81920,0.7397736959780256,480,7217,,,,,,,,,,,,
41,0.6024764753304995,195.19228418179577,666.1,11,83968,0.7687877049812903,13,7348,1.6058225605287588,0.9640771746635437,-3.5620258131530134e-06,0.0,-0.004383164742929458,0.4006195366382599,3.707828e-08,0.0001,400,0.2,,
42,0.6055490946769715,149.3693599557789,507.75,11,86016,0.7099514650730859,525,7478,0.8135857456421945,0.9943948984146118,-0.0007207989634480328,0.00888671875,-0.16058072314408492,0.15107201039791107,0.0005231184,0.0001,410,0.2,,
43,0.6493135399144628,12.372605315410732,39.0,11,88064,0.7145622022773909,46,7609,2.6641042266739534,0.8464027643203735,2.027227310463786e-08,0.0,-0.00034218268508879045,0.35812878608703613,0.0,0.0001,420,0.2,,
44,0.6111398353692024,166.32873075734383,551.0,11,90112,0.7530985949394097,558,7740,1.4870419568906073,0.9961038827896118,-0.0008122862185700796,0.01552734375,-0.1289824854276958,0.6765590906143188,0.0024316432,0.0001,430,0.2,,
45,0.6013336614347421,28.88460296009823,93.75,11,92160,0.7564184290285294,104,7871,2.0991447172418702,0.8388623595237732,-1.3460521586239338e-09,0.0,-3.545753062585144e-07,0.4202533960342407,0.0,0.0001,440,0.2,,
46,0.5924481072209098,187.18304460726029,605.75,11,94208,0.7613432141286987,616,8002,1.3731504002702422,0.9961265325546265,-0.0011331973364576697,0.010986328125,-0.0878599118319869,1.4686226844787598,0.003896086,0.0001,450,0.2,,
47,0.5746506571072584,45.436753678717686,155.25,11,96256,0.7355346512376216,171,8133,1.7362092008406762,0.886938214302063,2.2933818399906158e-09,0.0,-3.044730662270867e-08,0.8933131694793701,0.0,0.0001,460,0.2,,
48,0.597970335497514,201.07279530288832,667.25,11,98304,0.7472684634290363,683,8264,1.4492591809277655,0.9946759939193726,0.0003701569825352635,0.00390625,-0.07712349532126836,0.7901986241340637,3.6504323e-05,0.0001,470,0.2,,
,0.5853521381916643,,,,100000,0.7442094692770316,147,,0.8802544797363225,0.6302861571311951,1.960506779141724e-08,0.0,-2.8323903543247403e-06,0.24197787046432495,-1.7462298e-10,0.0001,480,0.2,289.012939453125,945.0
49,0.5956665944646705,23.105660157153025,76.0,11,100352,0.74662794071165,88,8854,,,,,,,,,,,,
