rollout/ep_len_mean,time/fps,time/iterations,custom/images_selected,custom/mean_entropy,time/total_timesteps,time/time_elapsed,custom/mean_confidence,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/value_loss,train/n_updates,train/explained_variance,train/approx_kl,train/loss,eval/mean_ep_length,eval/mean_reward
358.5,11,32,376,43.850918734386724,65536,5814,35.28489453789402,6558.187300504916,0.003726168381399475,-0.10051515412560548,0.2,0.0003,0.01630859375,1.2747066791343968,310,0.8980318903923035,0.0024190573,1.095037579536438,,
870.5,11,33,876,18.98460361682852,67584,5949,15.290621977064523,6710.614653599473,-0.0015284096261893865,-0.16602972258585352,0.2,0.0003,0.007275390625,0.6916836567921564,320,0.9923405647277832,0.0009816453,1.112282156944275,,
405.0,11,34,421,40.963642321190754,69632,6084,32.98389646764889,6860.92658722424,0.0003540828009136021,-0.040467214474938375,0.2,0.0003,0.010888671875,1.4746717588102911,330,0.9796478152275085,0.006642164,0.22385850548744202,,
917.0,11,35,930,18.897349635855818,71680,6219,15.218527705275871,7018.273314160853,0.0016779456251242663,-0.06456492331253175,0.2,0.0003,0.02802734375,2.018121222429909,340,0.9962954521179199,0.012262999,0.31209680438041687,,
474.5,11,36,493,36.55763669390586,73728,6357,29.42493280163885,7173.213416958875,-0.00041168650132021866,-0.01781238824435782,0.2,0.0003,0.00419921875,0.8668621034361422,350,0.9949864149093628,0.0015937592,0.09574940800666809,,
137.1,11,37,40,459.9791303306818,75776,6490,370.323779052496,7252.871879265612,4.28652492701076e-05,-0.026727366740109552,0.2,0.0003,0.00126953125,1.5393595172674395,360,0.9929853081703186,0.0012759962,1.982337236404419,,
531.5,11,38,552,34.025650540434256,77824,6622,27.394202374731716,7480.636253129744,-0.0018917671746748964,-0.07312740920654051,0.2,0.0003,0.01064453125,1.0205274362000636,370,0.9948654174804688,0.0019770805,0.1838294267654419,,
84.75,11,39,104,184.2707497637289,79872,6755,148.3508847395961,7634.201826288253,-6.119080353528261e-10,-1.742770886056434e-10,0.2,0.0003,0.0,2.049028988275677,380,0.13362395763397217,0.0,0.6533291339874268,,
,,,135,142.12271787430402,80000,,114.42591789541422,,0.0004206781268294435,-0.055755530729235184,0.2,0.0003,0.009619140625,1.2582488823274616,390,0.9968914985656738,0.001897371,0.4385547637939453,946.0,289.76153564453125
468.0,11,40,480,43.66074525214887,81920,7350,35.19603738983472,8370.011378074008,,,,,,,,,,,,
27.93,11,41,32,666.7057041536318,83968,7481,537.7284757327288,8441.612240640632,-1.4770193956792355e-10,-8.077692914607175e-12,0.2,0.0003,0.0,2.7309509798535148,400,0.5242011547088623,0.0,0.10839122533798218,,
530.25,11,42,544,39.916665908723026,86016,7612,32.199162635952234,8679.125312629838,4.521457303781062e-05,-0.06977447889759673,0.2,0.0003,0.003857421875,0.9555699266085866,410,0.9951591491699219,0.0011447307,2.7719011306762695,,
85.0,11,43,99,223.24212042780385,88064,7743,180.07081529648616,8836.036235403199,-6.402842700481415e-11,-4.011928438475181e-13,0.2,0.0003,0.0,2.2290802012546918,420,0.6990489959716797,0.0,0.696185827255249,,
597.0,11,44,611,36.7973106920585,90112,7874,29.681596875678498,8992.600585780969,-0.001701907385722734,-0.037005377310201905,0.2,0.0003,0.016064453125,1.3032863820379135,430,0.9955625534057617,0.011266721,0.19926145672798157,,
157.0,11,45,168,136.10508277003342,92160,8006,109.787278311061,9147.091496374353,-1.7353158909827472e-10,-5.560054056416829e-22,0.2,0.0003,0.0,0.9755102917959448,440,0.7492124438285828,0.0,0.09608466178178787,,
669.0,11,46,680,34.180619518190404,94208,8137,27.578826281209203,9305.447583687677,-0.00011487865176604828,-0.02909663639053579,0.2,0.0003,0.001220703125,1.2807753812201554,450,0.9959956407546997,0.00038903463,0.07326105982065201,,
224.75,11,47,237,99.7253362658249,96256,8268,80.45345736203818,9461.15000682829,-6.599293556064368e-10,-1.852958325565002e-15,0.2,0.0003,0.0,1.5781962337496225,460,0.710396945476532,0.0,0.10913275182247162,,
736.75,11,48,749,32.057733001896196,98304,8399,25.867341794501318,9618.247747772346,4.116131021874026e-05,-0.03246030785618846,0.2,0.0003,0.003271484375,1.4663974345079622,470,0.9965649247169495,0.000995852,1.862165927886963,,
,,,216,112.60845175770076,100000,,90.8768038297141,,3.303284756839275e-10,-6.575425336160365e-14,0.2,0.0003,0.0,1.1087055548268836,480,0.8523386716842651,0.0,0.7507318258285522,946.0,290.24945068359375
76.0,11,49,88,293.41708949077025,100352,8992,236.62261615083978,10353.868465276339,,,,,,,,,,,,
